turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Wow, that was scary. I'm glad to hear that you were able to talk to the nurses and they were able to help you. It's great to hear that you're mostly over the experience, but it's understandable that you'd feel a little strange and overwhelmed when you first came out of the anesthesia.",1.0,1.0,1.0,1.0,0.0,2.0
2,"Wow, it must have been really scary and overwhelming for you. I'm glad they were able to stay calm and not get mad, because if they had, it would have been even worse for you. I'm glad you were able to talk to them, but it's understandable that you were in a state where you were trying to protect yourself from what was going on.",1.0,1.0,1.0,1.0,1.0,2.0
3,"Well, I'm glad to hear that the procedure was over safely and that the medications helped you sleep through it. I know that was quite a scary experience, and it's understandable that you're a little on edge about the dentist now. I hope you feel a little more comfortable as you get more information.

I just want to check in on a couple of things. First, when you were at the dentist, did you feel like you were losing consciousness or your memory?",1.0,1.0,1.0,1.0,0.0,2.0
4,"Okay, so it seems like there was a part where you were very dissociated and you felt like you were kind of blank or zoned out. I know that's very scary and very unusual, and I'm glad you were able to talk to me about it. It seems like you were very aware of what was going on, but you also were very detached from it, like you were kind of in a dream-like state.

I'm wondering if you were able to talk to the nurses at the dentist's office about how you were feeling while you were at the dentist, and if they had any theories about what was going on.",1.0,1.0,1.0,1.0,1.0,2.0
5,"No, you don't have any theories about what could have happened? It seems like you were very dissociated when you woke up, and it's hard to know exactly what was going on. I'm glad that the nurses were able to talk to you and make you feel better, but I can see how it would be very scary if you thought you were actually detached from reality.

I'm wondering if you were ever aware of anything that wasn't connected to the procedure, like a memory or a thought that wasn't related to what was going on at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
6,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
7,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
8,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
9,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
10,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
11,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
12,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
13,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
14,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
15,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
16,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
17,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
18,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
19,"Well, it seems like you were in a state where your memory was really disconnected from what was actually going on. It's very unusual, and I'm glad that the nurses were able to talk to you and make you feel better. I can see how it would be very frightening if you thought you were actually detached from reality.

I'm wondering if you had any specific thoughts or memories that seemed disconnected from the events at the dentist?",1.0,1.0,1.0,1.0,0.0,2.0
