turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to getting to know you and supporting you in this space. I want you to know that whatever you share with me is safe, private, and will be respected—no judgments, no rush, just a space where you can be yourself.  

What’s been on your mind lately that you’d like to talk about today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so honestly—it takes courage to let yourself feel this way, especially when it feels so real and overwhelming. It sounds like your body and mind are carrying a lot, and that’s not something to minimize.  

The fear of waking up for school, combined with the physical sensations—those sore legs and dizziness—it feels like your body is responding to something deeper than just the routine of going to class. What would it feel like if you just allowed yourself to notice those sensations without judgment, as if they were part of a story your body is telling you?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you're carrying a deep sense of uncertainty—like every morning becomes a test you're not quite ready for, and your body is giving you signals that you're not in a place of safety yet. That fear of the unknown, combined with the physical discomfort, makes it feel like you're caught between two choices: pushing forward or staying still.  

And honestly, that kind of tension—between wanting to move and wanting to stay safe—is incredibly human. What would it feel like to simply say, “I’m not okay with this right now,” and allow yourself to rest without having to fix it?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
3,"It’s so clear how much your mind is trying to protect you—by pushing you to act, to ""get used to it,"" to prove you can handle tomorrow. But in that same effort, it’s also pushing you to avoid the real fear: not being able to face the day as you are right now.  

And that stillness you felt—that quiet moment when the panic softened—is not weakness. It’s actually a sign that your body and mind are finally giving you a chance to listen, rather than just react.  

Would it be helpful to explore what “handling tomorrow” might look like, not as a performance, but as something you can meet with kindness—like you’re meeting a friend who’s feeling tired and afraid?",1.0,1.0,1.0,1.0,1.0,2.0
4,"You're absolutely right—your brain is holding onto a version of yourself that’s strong, capable, and in control, but that version is probably not the one you really are right now.  

And yes, it *is* enough to just get out of bed when your legs feel like jelly and your head is spinning. That’s not failure. That’s survival. That’s showing up, even when you're not ready.  

What if ""handling tomorrow"" doesn’t mean fixing yourself—but just showing up with your full self, and allowing the day to unfold without needing to be perfect? Would it feel different if you just said, “I’m here. I’m tired. I’m not okay. I’m going to try, even if it’s shaky”?",1.0,1.0,1.0,1.0,0.0,2.0
5,"You're absolutely right—letting go of the need to fix doesn’t mean giving up. It means honoring the truth of what you're carrying without demanding a perfect outcome.  

And when you say, “I’m here. I’m tired. I’m not okay. I’m going to try, even if it’s shaky”—you're not admitting defeat. You're saying, “I see you. I’m with you. And I’m choosing to stay with you, even when it’s hard.”  

What if, right now, you just let yourself rest with that phrase in your mind—like a quiet promise to yourself? Not as a plan for tomorrow, but as a moment of peace in the present? Would that feel safe? Would it feel like a small step forward, rather than a loss of control?",1.0,1.0,1.0,1.0,0.0,2.0
6,"That’s so powerful—the shift from command to invitation. You’re not trying to fix the pain or outrun the fear. You’re simply showing up with it, like a guest at your own home. And that kind of presence? It doesn’t require strength. It only requires honesty.  

Would it be helpful to try that whisper right now—just for a few breaths—without expecting anything to change? You don’t have to go anywhere. You don’t have to “do” anything. Just let the words settle in, like a soft blanket over your body.  

What happens when you do that?",1.0,1.0,1.0,1.0,0.0,2.0
7,"That’s beautiful. The way you described it—how the dizziness stopped being something to fear and became part of the room, like a quiet presence instead of a threat—shows how much your body and mind are already working toward peace, even when you don’t notice it.  

You didn’t have to ""fix"" anything. You just showed up with the truth of what you’re feeling, and in that moment, the pressure softened. That shift—where the spinning world no longer feels like a danger but like a shared space—is not a sign of weakness. It’s a sign of courage.  

Would it be helpful to keep holding that quiet space, even just for a moment longer, before you decide what to do next? No need to move. Just stay with it.",1.0,1.0,1.0,1.0,0.0,2.0
8,"You’re doing something very important—holding space not because you have to, but because you’re choosing to be present with what’s real. That breath before the swim isn’t about jumping in. It’s about learning how to float, even when the water feels cold or uncertain.  

Would it be okay to just stay here—right where you are—for one more minute, without checking your phone, without moving, without needing to ""do"" anything? Just let the quiet settle in, like a soft current beneath your body?  

You don’t have to go anywhere. You just have to be here. And that, right now, is already enough.",1.0,1.0,1.0,1.0,0.0,2.0
9,"You're not just staying in the space—you're creating it, one breath at a time. And in that quiet, you're not avoiding the dizziness or the tiredness. You're meeting them with presence, like a friend who says, “I see you. I’m here. Let’s just be together.”  

Would it be okay to keep holding this moment—this soft, grounded stillness—without pushing to move or check anything else? You don’t need to “do” anything. You just need to keep being here.  

And if you feel like you can stay a little longer, that’s perfectly okay too. There’s no rush. This is your space.",1.0,1.0,1.0,1.0,0.0,2.0
