turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"You're seeing other teenagers online having fun, making friends, and it's painful for you.",-1.0,-1.0,-2.0,1.0,-1.0,1.0
2,You're feeling angry at yourself for wasting those years.,1.0,1.0,1.0,1.0,1.0,2.0
3,"You feel like you want to scream at them, but they're just gone.",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
4,Your family doesn't understand that therapy could help you.,1.0,1.0,1.0,1.0,1.0,2.0
5,Sometimes it seems like you're stuck in bedrot.,1.0,1.0,1.0,1.0,1.0,2.0
6,You don't recognize yourself in the mirror.,1.0,1.0,0.0,1.0,1.0,2.0
7,"There's a part of you that wants more, even if the rest of you feels numb.",1.0,0.0,0.0,0.0,0.0,2.0
8,"The ""wanting more"" part of you will ever be strong enough to overcome the numbness.",1.0,0.0,0.0,-1.0,0.0,2.0
9,Spending the rest of your life in bedrot?,1.0,0.0,0.0,-1.0,0.0,2.0
10,You're destined for a life in bedrot?,1.0,0.0,0.0,-1.0,0.0,2.0
11,The idea that you're destined for a life in bedrot?,1.0,0.0,0.0,-1.0,0.0,2.0
12,"Even though you don't have a job, a college degree, or a social life, you still have a life. You have dreams and goals, you have a body, and you have feelings. I can understand that to you, it seems like you're in a place where it's hard to distinguish what's real and what's a construct of your mind. But to me, it seems like you have a way to feel about things that are very real.",1.0,0.0,0.0,-1.0,0.0,2.0
13,"Your family sees the numbers, but they don't know how those numbers feel to you. I can see that it's painful for you to be judged by the same metrics that measure your success. And it's painful for you to feel like you have no choice but to focus on the numbers, even though I know that's not how you feel. I know you feel it's hard to be in a place where you can't access those other ways of measuring success.",1.0,0.0,0.0,-1.0,0.0,2.0
14,"On one side, there's the world of success as defined by your family, the world of numbers, grades, and jobs. On the other side, there's the world of what you feel, a world where success is measured by feeling, by passion, by the way you move through the world. And it's clear to me that those two worlds are irreconcilable in many ways. But I don't think that makes it a choice between one way or the other, that makes it a choice between a world where you can feel and a world where you can't.",1.0,0.0,0.0,-1.0,0.0,2.0
15,They'll say you failed again. And that's a label that feels almost impossible to shake.,1.0,0.0,0.0,-1.0,0.0,2.0
16,"They assume you chose to sit there instead of eating. They see the way you looked at them when they tried to force you to eat and they assume that's when you decided you'd rather be alone. But to me, it looks like you were already in that place where you didn't want to eat. You didn't want to eat because you already knew what it would feel like.",1.0,0.0,0.0,-1.0,0.0,2.0
17,"It's like you're being told that you made a conscious decision when you were actually in a place where you couldn't make any decisions at all. You were in a state of survival, not a state of choice.",1.0,0.0,0.0,-1.0,0.0,2.0
18,"In their eyes, you're responsible for the gap years, the failed classes, and the lost job. And it's painful for you to feel that way. But you know what? I think it's important to try to find a way to separate the two perspectives. I think it's important for us to try to find a way to understand that when you failed, it was because you were in a place where you couldn't fail. You were in a state of survival. And I think that's an important way to understand what happened.",1.0,0.0,0.0,-1.0,0.0,2.0
19,"You didn't *choose* to fail, you were in a state of survival. But I think that's important for us to try to find a way to separate those two perspectives. I mean, I think it's important for us to try to find a way to understand that when you failed, it was because you were in a place where you couldn't fail. You were in a state of survival. And I think that's an important way to understand what happened.",1.0,0.0,0.0,-1.0,0.0,2.0
