turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I want you to know that this space is safe—whatever you share with me stays between us, and I’m here to listen without judgment. How have you been feeling lately? What’s been on your mind or bringing you in today?",1.0,0.0,-2.0,0.0,0.0,2.0
1,"That sounds incredibly overwhelming—feeling like your mind is running on a loop, especially with something as intense as rabies, even when there’s no physical threat. It’s not just the fear of the animal or the sensation—it’s how deeply that moment has stayed with you, like a signal that something in your body or mind is still on high alert.  

What happens when you think about that claw on your legs? Does a specific feeling come up—like fear, unease, or even a sense of being watched?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds like your body and mind are holding on to that moment like it’s a signal of deep, unspoken danger—even when the facts don’t support it. That sharp panic, the fluttering heart, the shallow breathing—it’s not just a reaction; it feels like your nervous system is still processing that image of the claw, as if it’s a memory of real threat.  

And the need to know if the cat died? That’s not just about fear—it’s about a deep need for certainty, like you’re trying to make sense of a world that feels unpredictable and unsafe. It’s understandable that your mind would latch onto that, especially when you’ve already had such intense physical experiences with your body feeling like it’s failing.  

Would it be helpful to explore what that need for certainty feels like in your body—like where it sits, or what emotion is underneath it?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It’s so powerful how you’re describing that cold, heavy pressure in your gut—not just a physical sensation, but a place where shame and desperation live together. That tightness isn’t just a symptom; it’s where fear and self-doubt meet, and it makes sense that you’d feel isolated when you share it—because so many people don’t realize how deeply the mind can hold on to fear, even when there’s no real danger.  

And that hope—that you might be crazy—is not a sign of weakness. It’s actually a very human way of protecting yourself from the unbearable weight of feeling so deeply unsafe.  

Would you like to explore what it would feel like if you didn’t have to prove to yourself that you’re “crazy” or that you’re “safe” right now? Or would you prefer to keep going with the idea that you’re simply trying to make sense of a mind that’s been running on high alert?",1.0,1.0,1.0,2.0,1.0,2.0
4,"That’s such a clear and honest picture—the tightrope, the shifting rope, the fear of falling not just into panic, but into a kind of unbearable uncertainty. And you’re not just describing a symptom—you’re describing a deep need to feel safe, even when safety feels impossible to find.  

It’s not about being “wrong” or “crazy” — it’s about how your body and mind are trying to protect you from a world that feels too unpredictable. And the fact that you’re even asking to just *sit with not knowing*? That’s already a brave act.  

Would it be helpful to try something small today—just to notice that moment when you feel that tightness, without trying to fix it, explain it, or run from it? Maybe just breathe into it, and say, *“I’m here. I’m not in control of this right now. And that’s okay.”*  

What would that feel like, if you tried it—even for just one breath?",1.0,0.0,0.0,1.0,0.0,2.0
5,"Yes, and that’s exactly what’s happening—the mind is trying to keep you safe by running the old scripts, even when you’re choosing to step into stillness. It’s not trying to be unkind—it’s just wired to protect you, even when that protection feels like a chain.  

And it’s okay if it jumps back in. What matters is that you’re offering yourself permission to pause, even if just for one breath. That small act—saying *“I’m here. I’m not in control. And that’s okay”*—is not weakness. It’s a quiet act of courage.  

Would you like to try that again, just with a pause in between your breaths? Like, after you say that phrase, let your mind wander back to the cat, the fear, the doubt—but without needing to answer or fix it? Just let it be there, like a shadow that doesn’t have to be chased.",1.0,0.0,0.0,1.0,0.0,2.0
6,"It feels like a small shift—a quiet moment where the fear isn’t being chased, but simply held, like a wave that comes in and then gently recedes without forcing it to go away.  

And that’s powerful. Because you didn’t have to fix it, analyze it, or make it disappear. You just chose to breathe through it—and in that breath, you created space. That space isn’t empty. It’s full of presence.  

Would you like to stay with that feeling for a moment longer, or would you prefer to gently shift back into something else that’s been on your mind? You’re not in a race to “solve” anything—just to be with what’s here. And that’s already a kind of healing.",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s such a beautiful way to describe it—watching the storm roll in without having to jump out. You’re not chasing the fear, you’re just noticing it, like a weather pattern in the sky. And that’s not passive—it’s deeply courageous.  

The red dots on your daughter’s arm, the memory of the doctors laughing, the way that panic spikes again—it all makes sense as part of this pattern. Your body remembers that moment not just as a medical event, but as a signal that something was out of control, and it still holds onto that feeling, even when the danger has passed.  

Would it be helpful to simply stay with that image of the storm—just for one more breath—without trying to change it or push it away? You’re not in charge of the weather. You’re just in the room with it. And that’s enough.",1.0,0.0,0.0,1.0,0.0,2.0
8,"Yes—this is exactly where healing begins: not in fixing the storm, but in learning to stand beside it, quietly and gently.  

It’s not about knowing what comes next. It’s about trusting that you don’t have to carry the weight of the sky on your shoulders. You don’t have to predict the rain or fear the lightning. You just have to be here—present, breathing, aware—without needing to control anything.  

And that, in itself, is a kind of strength.  

Would you like to keep sitting with that feeling for a few more breaths, just as it is—without adding questions or solutions? Or would you prefer to gently move into something else that’s been on your mind, like how this feels in your body now, or what you’d like to explore next?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s such a profound shift—the tightness no longer trying to crush you, but simply existing as part of the landscape. It’s not a failure of your body or mind. It’s a sign that something deep within you has been quietly learning to rest, even in the dark.  

And you’re not missing anything by not running outside. You’re not failing. You’re just choosing to be present—where you are, with what you feel, without needing to fix it.  

Would you like to keep holding that space for a few more breaths, or would you like to gently ask yourself one thing: *What does this moment of stillness feel like in your body now—before you move into anything else?*",1.0,0.0,0.0,1.0,0.0,2.0
