Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"So, today's the day.",T,dNfM2ihfSSE_2,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,,"**Session Notes**

**Client:** Sarah, 35, female, anxious about her upcoming job interview

**Therapist:** (Reflective listening) It sounds like you're feeling a bit anxious about the interview. Can you tell me more about what's on your mind? What are some of the things that are worrying you about the interview?

**Sarah:** (nervously) I just feel like I'm not good enough. I've been preparing for weeks, but I still feel like I'm not prepared. What if I say something stupid or forget something important? What if I don't get the job?

**Ther"
"Let's slow it down so we can catch it. We agreed to look for Mr. Anxiety, and it looks like he's here. Does this feel like familiar territory to you?",T,dNfM2ihfSSE_4,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,"Therapist: So, today's the day.
Patient: Yeah, but I'm not really feeling it. I haven't been able to stop thinking about it all week, my chest is tight, and I almost didn't come. I'm afraid I'll lose it once I walk inside the mall.","It sounds like you're feeling overwhelmed and anxious about the situation. It's completely understandable that your chest is tight and you're worried about walking into a crowded place like the mall. It's natural to feel that way when we're faced with uncertainty and fear.

Can you tell me more about what's been going on and how you've been feeling since this incident? What's been on your mind, and how has it been affecting your daily life?"
"It's big time and very familiar. How old would you say these urgent, racing thoughts are? One leads to another, saying this is going to happen, then that. Are you with me?",T,dNfM2ihfSSE_6,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: So, today's the day.
Patient: Yeah, but I'm not really feeling it. I haven't been able to stop thinking about it all week, my chest is tight, and I almost didn't come. I'm afraid I'll lose it once I walk inside the mall.
Therapist: Let's slow it down so we can catch it. We agreed to look for Mr. Anxiety, and it looks like he's here. Does this feel like familiar territory to you?
Patient: Yeah, it happens to me all the time. That's why I came here.","It sounds like you're carrying a lot of weight with you, and it's affecting your daily life. It's completely understandable that you'd feel anxious about walking into a crowded place like the mall. Can you tell me more about what's been going on in your life lately that might be contributing to these feelings?"
"How old is that specific process, even if the exact words are different?",T,dNfM2ihfSSE_8,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,"Therapist: So, today's the day.
Patient: Yeah, but I'm not really feeling it. I haven't been able to stop thinking about it all week, my chest is tight, and I almost didn't come. I'm afraid I'll lose it once I walk inside the mall.
Therapist: Let's slow it down so we can catch it. We agreed to look for Mr. Anxiety, and it looks like he's here. Does this feel like familiar territory to you?
Patient: Yeah, it happens to me all the time. That's why I came here.
Therapist: It's big time and very familiar. How old would you say these urgent, racing thoughts are? One leads to another, saying this is going to happen, then that. Are you with me?
Patient: Mhm, I see what you're saying.",It sounds like you're trying to make sense of it all. You're trying to make sense of the what-ifs and the maybes. It's like you're trying to find a way to calm the storm inside. Can you tell me more about what's going through your mind when you're thinking about walking into the mall? What's the first thing that comes to mind?
So this has a long history. Is it fair to say you've been turning your life over to that process? We're working to create a space where something different can happen.,T,dNfM2ihfSSE_10,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Let's slow it down so we can catch it. We agreed to look for Mr. Anxiety, and it looks like he's here. Does this feel like familiar territory to you?
Patient: Yeah, it happens to me all the time. That's why I came here.
Therapist: It's big time and very familiar. How old would you say these urgent, racing thoughts are? One leads to another, saying this is going to happen, then that. Are you with me?
Patient: Mhm, I see what you're saying.
Therapist: How old is that specific process, even if the exact words are different?
Patient: It's happened since I was a kid. Before I was a teenager, my parents would try to take me to a mall or a street fair and I'd be a wreck in the car on the way there.","It sounds like the anxiety and stress of being in a crowded place, especially with the pressure to be a certain way, is still lingering. It's like a pattern that's been stuck with you since you were a kid. Can you tell me more about what it's like for you when you're in those situations?"
"We're right at the point where the action happens. You aren't in the situation yet, but we're where the thoughts are being conceived. Can we slow down and just watch it? I want to do something odd to show how the mind works. I have a pen here that says something: 'woo.'",T,dNfM2ihfSSE_12,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,"Therapist: It's big time and very familiar. How old would you say these urgent, racing thoughts are? One leads to another, saying this is going to happen, then that. Are you with me?
Patient: Mhm, I see what you're saying.
Therapist: How old is that specific process, even if the exact words are different?
Patient: It's happened since I was a kid. Before I was a teenager, my parents would try to take me to a mall or a street fair and I'd be a wreck in the car on the way there.
Therapist: So this has a long history. Is it fair to say you've been turning your life over to that process? We're working to create a space where something different can happen.
Patient: That's what I hope for. I've missed out on a lot because I can't keep it together enough to go where other people go.","It sounds like you're carrying a lot of anxiety and self-doubt with you. It's like you're trying to navigate a crowded space, but you're not sure how to get through. Can you tell me more about what it's like to feel like you're not good enough or that you're not in control?"
"If I ask you what this says next week, or next month, or even next year, what would you say?",T,dNfM2ihfSSE_14,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: How old is that specific process, even if the exact words are different?
Patient: It's happened since I was a kid. Before I was a teenager, my parents would try to take me to a mall or a street fair and I'd be a wreck in the car on the way there.
Therapist: So this has a long history. Is it fair to say you've been turning your life over to that process? We're working to create a space where something different can happen.
Patient: That's what I hope for. I've missed out on a lot because I can't keep it together enough to go where other people go.
Therapist: We're right at the point where the action happens. You aren't in the situation yet, but we're where the thoughts are being conceived. Can we slow down and just watch it? I want to do something odd to show how the mind works. I have a pen here that says something: 'woo.'
Patient: Yes, you do. It says woo.",That's a good reminder. It's a reminder that our thoughts can be a powerful force. It sounds like you're feeling a bit of a sense of disconnection from your body and your emotions. Can you tell me more about what happens when you're in that state?
"Exactly. Letting that thought run your life is what brought you here. Notice how old this thought is and the cost it's produced. This pen says 'woo,' and your mind says if you go to the mall, you're going to...",T,dNfM2ihfSSE_16,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,"Therapist: So this has a long history. Is it fair to say you've been turning your life over to that process? We're working to create a space where something different can happen.
Patient: That's what I hope for. I've missed out on a lot because I can't keep it together enough to go where other people go.
Therapist: We're right at the point where the action happens. You aren't in the situation yet, but we're where the thoughts are being conceived. Can we slow down and just watch it? I want to do something odd to show how the mind works. I have a pen here that says something: 'woo.'
Patient: Yes, you do. It says woo.
Therapist: If I ask you what this says next week, or next month, or even next year, what would you say?
Patient: I'd still say it says 'woo.' I see what you're saying. I've been thinking for years that I'll lose it in a crowd, and here it's happening again.","It sounds like the 'woo' is a constant companion, a reminder of the anxiety that's been lurking beneath the surface. It's like a gentle whisper that says, ""You're not in control."" Can you think of a time when you felt like you were in control, and then something happened that made you feel like you weren't?"
Your mind is just doing what minds do. Is it really your enemy?,T,dNfM2ihfSSE_18,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: We're right at the point where the action happens. You aren't in the situation yet, but we're where the thoughts are being conceived. Can we slow down and just watch it? I want to do something odd to show how the mind works. I have a pen here that says something: 'woo.'
Patient: Yes, you do. It says woo.
Therapist: If I ask you what this says next week, or next month, or even next year, what would you say?
Patient: I'd still say it says 'woo.' I see what you're saying. I've been thinking for years that I'll lose it in a crowd, and here it's happening again.
Therapist: Exactly. Letting that thought run your life is what brought you here. Notice how old this thought is and the cost it's produced. This pen says 'woo,' and your mind says if you go to the mall, you're going to...
Patient: Lose it.","It's a pattern, isn't it? The thought of losing it in a crowd, the fear of being overwhelmed, the anxiety of being judged. It's like a familiar script, one that's been playing out for a long time. What do you think is the most significant part of this pattern for you?"
"As we prepare for this session, I want you to watch your mind as it constructs these scary futures. Notice them like you would carry something fragile. It's not your boss, just your mind doing its thing. Are you willing to try that?",T,dNfM2ihfSSE_20,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,"Therapist: If I ask you what this says next week, or next month, or even next year, what would you say?
Patient: I'd still say it says 'woo.' I see what you're saying. I've been thinking for years that I'll lose it in a crowd, and here it's happening again.
Therapist: Exactly. Letting that thought run your life is what brought you here. Notice how old this thought is and the cost it's produced. This pen says 'woo,' and your mind says if you go to the mall, you're going to...
Patient: Lose it.
Therapist: Your mind is just doing what minds do. Is it really your enemy?
Patient: No, I guess that's just what happens. If I can learn a pen says 'woo' in two seconds, I've had a lifetime of this other thought.","It's a pattern that's been repeated for a long time. You've been trying to break free from it, but it's hard to shake. Can you think of a time when you felt like you were in control of your thoughts, and then something shifted?"
"Good catch. Let's do the same thing with that thought too. That segment was ACT consistent, using techniques to create separation between the person and their mind. Now let's look at an inconsistent example.",T,dNfM2ihfSSE_22,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Exactly. Letting that thought run your life is what brought you here. Notice how old this thought is and the cost it's produced. This pen says 'woo,' and your mind says if you go to the mall, you're going to...
Patient: Lose it.
Therapist: Your mind is just doing what minds do. Is it really your enemy?
Patient: No, I guess that's just what happens. If I can learn a pen says 'woo' in two seconds, I've had a lifetime of this other thought.
Therapist: As we prepare for this session, I want you to watch your mind as it constructs these scary futures. Notice them like you would carry something fragile. It's not your boss, just your mind doing its thing. Are you willing to try that?
Patient: Yeah, I can try. I can feel my mind kicking in now, telling me I'm going to fall apart.","It sounds like your mind is trying to protect you from the uncertainty. That's a natural response. It's like your mind is saying, ""If you're not careful, you'll get hurt."" But what if I told you that your mind is also capable of creating a new narrative, one that's not about being broken, but about being resilient?"
"So, today is the day. Ready for Mr. Anxiety?",T,dNfM2ihfSSE_23,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Patient: Lose it.
Therapist: Your mind is just doing what minds do. Is it really your enemy?
Patient: No, I guess that's just what happens. If I can learn a pen says 'woo' in two seconds, I've had a lifetime of this other thought.
Therapist: As we prepare for this session, I want you to watch your mind as it constructs these scary futures. Notice them like you would carry something fragile. It's not your boss, just your mind doing its thing. Are you willing to try that?
Patient: Yeah, I can try. I can feel my mind kicking in now, telling me I'm going to fall apart.
Therapist: Good catch. Let's do the same thing with that thought too. That segment was ACT consistent, using techniques to create separation between the person and their mind. Now let's look at an inconsistent example.",It sounds like you're trying to make sense of this feeling of being overwhelmed. You mentioned earlier that you feel like you're losing control. Can you tell me more about what that feels like? What are some things that usually help you feel more in control?
