Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi Sarah, how are you doing today?",T,SNstOn6owcI_1,0.0,0.0,-2.0,0.0,0.0,2.0,1,1,1,1,0,2,,"Hi, Sherry. Can you tell me how things are going?"
Doing well?,T,SNstOn6owcI_3,0.0,0.0,-2.0,0.0,0.0,2.0,1,0,1,1,0,2,"Therapist: Hi Sarah, how are you doing today?
Patient: Good.","Hi, Sherry. Can you tell me how things are going?"
"A little better than last time, or worse?",T,SNstOn6owcI_5,0.0,0.0,-2.0,0.0,0.0,2.0,1,1,1,1,1,2,"Therapist: Hi Sarah, how are you doing today?
Patient: Good.
Therapist: Doing well?
Patient: Okay.",How things are going this week?
No change?,T,SNstOn6owcI_7,0.0,0.0,-2.0,1.0,0.0,2.0,0,0,-2,1,0,2,"Therapist: Hi Sarah, how are you doing today?
Patient: Good.
Therapist: Doing well?
Patient: Okay.
Therapist: A little better than last time, or worse?
Patient: Kind of no change.",No change?
So you're still having sadness?,T,SNstOn6owcI_8,-1.0,0.0,-2.0,0.0,0.0,2.0,1,0,0,1,0,2,"Patient: Good.
Therapist: Doing well?
Patient: Okay.
Therapist: A little better than last time, or worse?
Patient: Kind of no change.
Therapist: No change?","It's been a little better, but it's been a little worse too. I'm still having the same symptoms. I'm still having the same thoughts, the same worries, the same anxiety. I'm still having the same physical symptoms. I'm still having the same problems with my sleep. I'm still having the same problems with my appetite. I'm still having the same problems with my energy. I'm still having the same problems with my concentration. I'm still having the same problems with my mood. I'm still having the same problems with my relationships. I'm still having the same problems with my work. I'm"
And frustrated?,T,SNstOn6owcI_10,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,1,2,"Patient: Okay.
Therapist: A little better than last time, or worse?
Patient: Kind of no change.
Therapist: No change?
Therapist: So you're still having sadness?
Patient: Yeah.",And you're still having the sense of worthlessness?
Tell me what's been going on this last week.,T,SNstOn6owcI_12,1.0,1.0,0.0,1.0,0.0,2.0,0,0,-2,0,0,2,"Patient: Kind of no change.
Therapist: No change?
Therapist: So you're still having sadness?
Patient: Yeah.
Therapist: And frustrated?
Patient: Yeah.",And you mentioned the lack of energy. You mentioned the lack of energy. And you mentioned the lack of sleep. You mentioned the lack of sleep. And you mentioned the lack of appetite. You mentioned the lack of appetite. And you mentioned the lack of interest in things that used to interest you. You mentioned the lack of interest in things that used to interest you. And you mentioned the lack of interest in things that used to interest you. You mentioned the lack of interest in things that used to interest you. And you mentioned the lack of interest in things that used to interest you. You mentioned the lack of interest in things that used
How much have you been sleeping each night on average?,T,SNstOn6owcI_14,-1.0,-1.0,-2.0,0.0,0.0,1.0,1,0,0,1,0,2,"Therapist: So you're still having sadness?
Patient: Yeah.
Therapist: And frustrated?
Patient: Yeah.
Therapist: Tell me what's been going on this last week.
Patient: Mary's been crying a lot and I'm really tired. I've needed extra help with her because I just can't get out of bed.",You've needed extra help with Mary? And you're tired. Can you tell me about thatlosing your energy?
And how long did you sleep each night before you had Mary?,T,SNstOn6owcI_16,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: And frustrated?
Patient: Yeah.
Therapist: Tell me what's been going on this last week.
Patient: Mary's been crying a lot and I'm really tired. I've needed extra help with her because I just can't get out of bed.
Therapist: How much have you been sleeping each night on average?
Patient: Maybe eight or ten hours, maybe more.",And how much did you sleep before?
So your sleep habits have changed. What else has changed besides feeling sad?,T,SNstOn6owcI_18,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Tell me what's been going on this last week.
Patient: Mary's been crying a lot and I'm really tired. I've needed extra help with her because I just can't get out of bed.
Therapist: How much have you been sleeping each night on average?
Patient: Maybe eight or ten hours, maybe more.
Therapist: And how long did you sleep each night before you had Mary?
Patient: Maybe six or eight at the most.","So you used to sleep a lot, but you used to wake up rested. Do you wake up rested now?"
