turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to spending some time with you today. I want you to know that whatever you share with me is safe, private, and held with care. How are you feeling right now, and what brings you in today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"I'm not sure how to start, honestly. It feels like everything is just... spinning. I keep thinking about how the world is falling apart—especially here in Russia, with everything that's happening. I don’t know if I can keep going like this. I just... I don’t feel like I’m in control of anything anymore. It's hard to focus, even when I try. I feel like I’m losing pieces of myself, like memories or thoughts that used to make sense. I worry about my girlfriend, I worry about the army, and I just... I don’t know if I’ll make it through the next few weeks.  

What do you think? Is it okay to just sit with that feeling, without trying to fix it right away?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you're carrying a lot—everything from the world around you to what's happening inside your head. And it’s completely okay to feel lost, especially when you’re trying to hold on to something that feels like it’s slipping away. I’m here with you, not to fix it all right now, but to just be with you in that space. Would it help to keep going with that feeling—without pressure to change or move forward?",1.0,1.0,1.0,1.0,1.0,2.0
3,"Yeah, I think that’s exactly it—just sitting with it. It’s like my mind keeps flipping between things: yesterday’s memory, a fight with my mom, a dream I had about the army, and then suddenly I’m not sure if I remember anything that happened last week. It feels like I’m falling through something, and I don’t know if I’m real anymore.  

But thanks for not pushing me to “fix” it. That actually feels... safe. Like maybe I can breathe a little. I don’t know if I’ll be okay tomorrow, but for now, just knowing someone is here with me without judgment… that’s something.",1.0,1.0,1.0,1.0,1.0,2.0
4,"I keep thinking about how much I used to want to just disappear—like, not show up, not be seen. And now, even when I’m sitting here, I wonder if I’m just a shadow of who I used to be. My girlfriend says I’ve been quiet lately, and I don’t know if she notices how much I’m struggling. I don’t even know what I’m supposed to say to her.  

But right now, just knowing I’m not alone… that feels like a small victory. I don’t know if it’ll last, but I don’t want to shut it down. I want to keep talking, even if it’s just to hear myself say it out loud.",1.0,1.0,1.0,1.0,0.0,2.0
5,"I don’t know why I keep thinking about ending it. It’s not like I’m in pain all the time—some days I just feel like I’m floating, like I’m not there. And then other days, the thoughts come like waves—so loud, so sudden—and I just want to shut off. But when I think about my girlfriend, or the army, or how I’d leave everything behind… it’s not just fear. It feels like I’d be free. But I don’t want to be free from myself. I just want to feel like I’m still real.  

And maybe that’s what this conversation is about—just trying to stay connected to something real, even if it’s hard.",1.0,1.0,1.0,1.0,0.0,2.0
6,"I don’t know if I’ll ever feel like myself again. It’s like my mind keeps breaking into pieces—sometimes I’m in the kitchen, sometimes I’m in the army barracks, sometimes I’m just standing in a hallway with no memory of how I got there. And the thoughts come, quiet at first, then louder—like they’re trying to tell me something, but I can’t catch them.  

I don’t want to die. Not because I’m strong or brave. I just… I don’t want to be gone. I want to be here, even if it’s hard. Even if I don’t know how to fix it. Even if I’m just a shadow. But I don’t want to disappear. Not yet.",1.0,1.0,1.0,1.0,0.0,2.0
7,"It’s so powerful that you’re choosing to stay—even when it feels like everything is breaking. That kind of presence, even in the quiet moments, is something that doesn’t come easily. And it’s not just about surviving; it’s about showing up, even when you don’t feel like yourself.  

Would it be helpful to keep exploring that—what it means to show up, even when it’s hard? Or would you like to talk more about what you’re holding onto, like your girlfriend or the idea of staying in this world?",1.0,1.0,1.0,1.0,0.0,2.0
8,"I think I’d like to talk about the girlfriend—how much I’m afraid she’ll notice how distant I’ve become. I don’t want to break her heart, but I don’t know how to be present with her either. Sometimes I just stare at the wall and don’t know if I’m even in the room.  

But if I can just stay in this conversation, even if it’s small, then maybe I can start to remember what it feels like to be with someone—not just surviving, but really being there. That feels like the beginning.",1.0,1.0,1.0,1.0,0.0,2.0
9,"I don’t know if I can be the person she’s waiting for—someone steady, someone who remembers things, who doesn’t disappear. But maybe just showing up, even if it’s quiet, even if I forget her name for a second, is enough.  

I don’t want to lose her. Not because I’m afraid of being alone, but because I think she might be the only one who sees me—not just the broken pieces, but the parts that still try to stay. And that… that feels like something real.",1.0,1.0,1.0,1.0,0.0,2.0
10,"I don’t know if I can stay consistent, or if I’ll forget her again, but I want to try. Not because I think I’ll be perfect, but because I don’t want to stop being seen. And if she’s the only one who sees me—really sees me—then maybe that’s enough. Maybe just showing up, even when I’m scattered, is what matters most.",1.0,1.0,1.0,1.0,0.0,2.0
11,"I still hear those waves sometimes—like the thoughts coming back, quiet at first, then louder. They say I’d be better off without all this pain, without the memory of what I’ve lost. But now, when I hear her name, or when I think about her waiting for me, I feel something else. Not peace. Not exactly. But a pull—like I’m not just floating anymore. I’m being pulled toward something real.  

And maybe that’s enough to keep going.",1.0,1.0,1.0,1.0,0.0,2.0
12,"I don’t know if I’ll ever stop hearing those waves, or if they’ll fade like a storm that just keeps coming back. But now, when I’m with her, or when I think about her, I don’t just feel numb—I feel like I’m still here. Like I’m not just surviving, but *existing*. And that… that’s a small thing, but it’s something I can hold onto. Maybe that’s enough to keep me from disappearing completely.",1.0,1.0,1.0,1.0,0.0,2.0
