Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi Hannah, nice to meet you.",T,XH2tF8oB3cw_1,0.0,0.0,-2.0,0.0,0.0,2.0,-1,-1,-2,-1,-1,1,,"Hi Carly, how are you doing today?"
So I understand that you were referred to me by your GP because you've been experiencing some anxiety difficulties.,T,XH2tF8oB3cw_3,0.0,0.0,0.0,0.0,0.0,2.0,-1,0,-2,0,0,2,"Therapist: Hi Hannah, nice to meet you.
Patient: Hi.",Hi. How are you doing today?
"Okay, is this the first time that you've left home?",T,XH2tF8oB3cw_5,-1.0,-1.0,-2.0,0.0,0.0,1.0,1,1,1,1,1,2,"Therapist: Hi Hannah, nice to meet you.
Patient: Hi.
Therapist: So I understand that you were referred to me by your GP because you've been experiencing some anxiety difficulties.
Patient: Yeah, um, yeah, I guess it kind of started like five, six years ago. Um, it kind of escalated a bit. Um, I've just recently moved out, um, from living with my parents, so it's made it a bit worse I think.","Right, so you've been experiencing anxiety for five, six years, it's escalated a bit, and you've recently moved out from living with your parents."
"Okay, so it's been quite a big step and a big change and, and it sounds like that's what led you to go to your GP. So how has that change things for you?",T,XH2tF8oB3cw_7,-1.0,0.0,-2.0,0.0,0.0,1.0,1,1,0,1,0,2,"Therapist: Hi Hannah, nice to meet you.
Patient: Hi.
Therapist: So I understand that you were referred to me by your GP because you've been experiencing some anxiety difficulties.
Patient: Yeah, um, yeah, I guess it kind of started like five, six years ago. Um, it kind of escalated a bit. Um, I've just recently moved out, um, from living with my parents, so it's made it a bit worse I think.
Therapist: Okay, is this the first time that you've left home?
Patient: Yeah, I, um, yeah, it's the first time actually, yeah. Um, I was going to a few years ago, I just thought it would be easier to stay at home, so.","Okay, so you've been staying at home for a few years. And now you've moved out, so that's been causing you some anxiety?"
"Okay, so how do you feel about being here today?",T,XH2tF8oB3cw_9,-1.0,0.0,-2.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: So I understand that you were referred to me by your GP because you've been experiencing some anxiety difficulties.
Patient: Yeah, um, yeah, I guess it kind of started like five, six years ago. Um, it kind of escalated a bit. Um, I've just recently moved out, um, from living with my parents, so it's made it a bit worse I think.
Therapist: Okay, is this the first time that you've left home?
Patient: Yeah, I, um, yeah, it's the first time actually, yeah. Um, I was going to a few years ago, I just thought it would be easier to stay at home, so.
Therapist: Okay, so it's been quite a big step and a big change and, and it sounds like that's what led you to go to your GP. So how has that change things for you?
Patient: Do you know, it's kind of I haven't really told anyone, so, I mean, it's made it like better in the sense that I feel hopefully this is, you know, this is it, like it'll help, but I don't know, I don't like thinking that I've had like had to do this, I never thought I'd like be the kind of person who'd have to actually go and like get help, if that makes sense.","Okay, so it's been a bit difficult for you to admit that you've had to go to the doctor, it's been a bit difficult for you to admit that you've had to get help for this. It's been a bit hard for you to admit that you've had to make a change in that way."
"Okay, so you've been feeling a little bit anxious about today?",T,XH2tF8oB3cw_11,0.0,0.0,-2.0,0.0,0.0,2.0,1,1,1,1,1,2,"Therapist: Okay, is this the first time that you've left home?
Patient: Yeah, I, um, yeah, it's the first time actually, yeah. Um, I was going to a few years ago, I just thought it would be easier to stay at home, so.
Therapist: Okay, so it's been quite a big step and a big change and, and it sounds like that's what led you to go to your GP. So how has that change things for you?
Patient: Do you know, it's kind of I haven't really told anyone, so, I mean, it's made it like better in the sense that I feel hopefully this is, you know, this is it, like it'll help, but I don't know, I don't like thinking that I've had like had to do this, I never thought I'd like be the kind of person who'd have to actually go and like get help, if that makes sense.
Therapist: Okay, so how do you feel about being here today?
Patient: A bit like scared, I don't know, hopefully it will help.","A bit scared, hopefully it will help. Okay. Well, I'm glad to hear that you think it might be helpful for us to talk a little bit. So, um, I'm glad to hear that, and I'm glad to hear that you're willing to talk a little bit. So, um, I'm glad to hear that, and I'm glad to hear that you're willing to talk a little bit. So, um, I'm glad to hear that, and I'm glad to hear that you're willing to talk a little bit. So, um, I'm glad to hear that, and I'm"
"Okay, so I guess just going back to um why you went to the GP and how you've ended up kind of coming here today. So it sounds like you've been experiencing anxiety for quite a few years, but just recently you moved out of home for the first time and, and that was what kind of led you to go to the GP. So how did that change things? How were things after you moved out?",T,XH2tF8oB3cw_13,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: Okay, so it's been quite a big step and a big change and, and it sounds like that's what led you to go to your GP. So how has that change things for you?
Patient: Do you know, it's kind of I haven't really told anyone, so, I mean, it's made it like better in the sense that I feel hopefully this is, you know, this is it, like it'll help, but I don't know, I don't like thinking that I've had like had to do this, I never thought I'd like be the kind of person who'd have to actually go and like get help, if that makes sense.
Therapist: Okay, so how do you feel about being here today?
Patient: A bit like scared, I don't know, hopefully it will help.
Therapist: Okay, so you've been feeling a little bit anxious about today?
Patient: Yeah.",You've been feeling a little bit anxious about today. How have you been feeling in general?
"Okay, so what other kind of difficulties that you have been experiencing?",T,XH2tF8oB3cw_15,1.0,1.0,1.0,1.0,1.0,2.0,1,1,1,1,0,2,"Therapist: Okay, so how do you feel about being here today?
Patient: A bit like scared, I don't know, hopefully it will help.
Therapist: Okay, so you've been feeling a little bit anxious about today?
Patient: Yeah.
Therapist: Okay, so I guess just going back to um why you went to the GP and how you've ended up kind of coming here today. So it sounds like you've been experiencing anxiety for quite a few years, but just recently you moved out of home for the first time and, and that was what kind of led you to go to the GP. So how did that change things? How were things after you moved out?
Patient: I thought that they'd be better but because I thought I'd have to kind of be independent and stuff but it's actually a lot worse. I'm just kind of staying in the house a lot, I don't really have any friends or anything. I mean, my family come and visit a bit, but it's not, I don't know, it's kind of scary because I've just been kind of literally just in the flat by myself, which I always thought I'd like but I don't actually like it.","Okay, so you moved out for the first time, you thought that things would be a little bit different, but it seems like that's been a little bit worse for you. You're staying in the flat by yourself, you don't have any friends, it's been a little bit scary for you. How has that been affecting you?"
"Okay, so you said that your difficulties are getting in the way of you doing certain things. So they're stopping you from taking up kind of certain types of work and as a freelance photographer, I guess that can be kind of a problem. And they're also stopping you or you feel like it's stunting you socially. You're not kind of able to make new friends and get to meet new people.",T,XH2tF8oB3cw_17,1.0,0.0,0.0,1.0,0.0,2.0,1,1,1,2,1,2,"Therapist: Okay, so you've been feeling a little bit anxious about today?
Patient: Yeah.
Therapist: Okay, so I guess just going back to um why you went to the GP and how you've ended up kind of coming here today. So it sounds like you've been experiencing anxiety for quite a few years, but just recently you moved out of home for the first time and, and that was what kind of led you to go to the GP. So how did that change things? How were things after you moved out?
Patient: I thought that they'd be better but because I thought I'd have to kind of be independent and stuff but it's actually a lot worse. I'm just kind of staying in the house a lot, I don't really have any friends or anything. I mean, my family come and visit a bit, but it's not, I don't know, it's kind of scary because I've just been kind of literally just in the flat by myself, which I always thought I'd like but I don't actually like it.
Therapist: Okay, so what other kind of difficulties that you have been experiencing?
Patient: I mean, I'm a photographer, um, so I kind of, it's been stopping me a bit, my anxiety from being able to get work and because every time, you know, there's an opportunity that is kind of involving me having to interact with people I just tend to just turn it down. So it was kind of making things hard in that respect and just kind of friends-wise and everything I'd feel like I'm increasingly more alone. So it's kind of stopping me from making friends and, you know, like relationships and stuff.","Okay, so it sounds like you've been having a lot of anxiety, it's been affecting your ability to make friends, relationships, and even your work. It's been a lot of difficulties. How have you been feeling in terms of your mood?"
"So you're kind of worried about how, where this is going to lead to.",T,XH2tF8oB3cw_19,1.0,1.0,1.0,1.0,1.0,2.0,1,1,1,1,1,2,"Therapist: Okay, so I guess just going back to um why you went to the GP and how you've ended up kind of coming here today. So it sounds like you've been experiencing anxiety for quite a few years, but just recently you moved out of home for the first time and, and that was what kind of led you to go to the GP. So how did that change things? How were things after you moved out?
Patient: I thought that they'd be better but because I thought I'd have to kind of be independent and stuff but it's actually a lot worse. I'm just kind of staying in the house a lot, I don't really have any friends or anything. I mean, my family come and visit a bit, but it's not, I don't know, it's kind of scary because I've just been kind of literally just in the flat by myself, which I always thought I'd like but I don't actually like it.
Therapist: Okay, so what other kind of difficulties that you have been experiencing?
Patient: I mean, I'm a photographer, um, so I kind of, it's been stopping me a bit, my anxiety from being able to get work and because every time, you know, there's an opportunity that is kind of involving me having to interact with people I just tend to just turn it down. So it was kind of making things hard in that respect and just kind of friends-wise and everything I'd feel like I'm increasingly more alone. So it's kind of stopping me from making friends and, you know, like relationships and stuff.
Therapist: Okay, so you said that your difficulties are getting in the way of you doing certain things. So they're stopping you from taking up kind of certain types of work and as a freelance photographer, I guess that can be kind of a problem. And they're also stopping you or you feel like it's stunting you socially. You're not kind of able to make new friends and get to meet new people.
Patient: Yeah. Yeah, um, it was kind of easier when I was at home because I was obviously, I mean my parents and stuff, that's fine, but, you know, they would, I'd go to places with them or I'd kind of have people there. But more and more I'm just finding myself just staying in a lot. I mean I went like two weeks ago for coffee with my friends and the whole time I was just kind of wanting to go home again. So I don't, I just don't want, I don't want that to happen. I don't want to lose everyone.","Okay, so you don't want to lose your friends, you don't want to lose your social circle. And it seems like you're having a lot of anxiety about that. And it's been affecting your ability to go out and meet new people. And it's been affecting your ability to take on work, which is a problem for you as a photographer."
