turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Alice, how you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"So you're feeling like your mind's racing with these thoughts of maybe someone's at your door, maybe someone's walking up your steps. And then you're back in the moment when you can't hear it anymore, but you're still scared.",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
2,So you're afraid that you're losing your mind.,1.0,1.0,1.0,1.0,1.0,2.0
3,The other thing that you were saying was that sometimes it's so bad that you're just lying there and you're not even sure if it's real or not.,1.0,1.0,1.0,1.0,1.0,2.0
4,So it's like you're watching yourself from a distance.,1.0,1.0,1.0,2.0,1.0,2.0
5,You're so afraid that maybe you're losing your mind.,1.0,1.0,1.0,2.0,1.0,2.0
6,"So it's not just the things that you're hearing, it's the way that you're interpreting that that's making you think that there's something really wrong.",1.0,1.0,1.0,1.0,1.0,2.0
7,"So it's not just your fear that's causing physical symptoms, it's your fear mixed with the anxiety.",1.0,0.0,0.0,1.0,0.0,2.0
8,So it's like a war inside of you.,1.0,0.0,0.0,1.0,0.0,2.0
9,"So it's not just your fear that's causing the physical symptoms, it's your fear mixed with the anxiety.",1.0,0.0,0.0,1.0,0.0,2.0
10,So it's not just your fear that's causing the physical symptoms; it's your fear mixed with the anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
11,So it's not just your fear that's causing the physical symptoms; it's your fear mixed with the anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
12,So it's not just your fear that's causing the physical symptoms; it's your fear mixed with the anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
13,So it's not just your fear that's causing the physical symptoms; it's your fear mixed with the anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
14,So it's not just your fear that's causing the physical symptoms; it's your fear mixed with the anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
15,So it's not just your fear that's causing the physical symptoms; it's your fear mixed with the anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
16,So it's not just your fear that's causing the physical symptoms; it's your fear mixed with the anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
17,So it's not just your fear that's causing the physical symptoms; it's your fear mixed with the anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
18,So it's not just your fear that's causing the physical symptoms; it's your fear mixed with the anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
19,So it's not just your fear that's causing the physical symptoms; it's your fear mixed with the anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
