turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Well, that's great. I'm glad to hear that. I was worried it might not work, but it seems like it's helping.",-1.0,-1.0,-2.0,1.0,0.0,1.0
2,It's a relief to hear that. It's so stressful when you can't even get to work. I'm glad to hear that the Propanolol is working well for you.,1.0,1.0,1.0,1.0,1.0,2.0
3,Sitting here and talking to you is so much better than being overwhelmed by the anxiety. I'm glad the medication is helping you feel more in control.,1.0,1.0,-2.0,1.0,0.0,2.0
4,"I'm just looking out for you. I mean, I do understand, it's scary when you're having these panic attacks. I'm glad that the medication is helping.",-1.0,0.0,-2.0,0.0,0.0,1.0
5,"Well, when I was feeling overwhelmed by my panic attacks, I found that just taking a few deep breaths really helped me slow down. I would try to inhale deeply through my nose, hold it for just a moment, and then slowly exhale through my mouth. It seemed to have a calming effect on my heart rate and my thoughts.",1.0,1.0,1.0,1.0,0.0,2.0
6,"Well, it's good to try anything that helps you feel in control, even if it's just a small thing. I'm glad that you feel the breathing exercise is worth a try.",1.0,1.0,1.0,1.0,0.0,2.0
7,"Well, it's good to be aware of what might be going on. I didn't feel any dizziness, but I did notice that my heart rate did slow down when I held my breath for just a moment.",1.0,1.0,0.0,1.0,0.0,2.0
8,It seems like a very low-risk approach. I'm glad you have a way to try it without overdoing it.,1.0,1.0,0.0,1.0,0.0,2.0
9,"I mean, I've been feeling pretty stuck lately, but it's not the same. I feel like I'm not making much progress, and it's hard to know what to change if I feel so stuck.",1.0,1.0,0.0,1.0,0.0,2.0
10,"Well, it does. It's not clear that it's all the same, but it does seem like you're trapped in a cycle where you're always waiting for the panic to start. It's hard to know how to break free from that feeling.",1.0,1.0,0.0,1.0,0.0,2.0
11,"Well, it does sound very different than being stuck in the waiting. It seems very different than feeling stuck in that cycle of waiting for the panic to start.",1.0,1.0,0.0,1.0,0.0,2.0
12,You guess not.,1.0,1.0,0.0,1.0,0.0,2.0
13,"It sounds like progress, yes. I mean, it's very different from the SSRI days, but it seems like you're having more control over what's happening in your body.",1.0,1.0,0.0,1.0,0.0,2.0
14,"It does sound scary, but it's not a complete loss of control. I mean, you're still in the car, you're still driving, you're still in control of the steering wheel.",1.0,1.0,0.0,1.0,0.0,2.0
15,"Yeah, it does. It's hard to know if it's all in my head, but hearing that you're still in control, even if you feel out of it, helps me feel more hopeful.",1.0,1.0,0.0,1.0,0.0,2.0
16,"Yeah, it's a very small step, but it's a step.",1.0,1.0,0.0,1.0,0.0,2.0
17,Thanks for talking.,1.0,1.0,0.0,1.0,0.0,2.0
18,Thanks for sharing.,1.0,1.0,0.0,1.0,0.0,2.0
19,"Yeah, that's a really good idea. I'm glad to hear that you found a way to talk about it and that it made a difference for you.",1.0,1.0,0.0,1.0,0.0,2.0
