turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Yeah, I can definitely talk for a bit. I'm really glad that you were able to reach out. I can see that you've been feeling really down.",1.0,1.0,0.0,1.0,0.0,2.0
2,"Yeah, I think that would be really helpful. I mean, I know you've been feeling really down, so I think it's valuable for me to hear about what's been going on. I can definitely understand how hard it must be to feel so hopeless sometimes.",1.0,0.0,-2.0,0.0,0.0,2.0
3,"Yeah, it's really clear that you've been feeling really down for a while, and it's been really hard for you. I can understand that it's really painful and overwhelming sometimes. It's really difficult to feel so hopeless and so alone.",1.0,1.0,1.0,1.0,1.0,2.0
4,"Well, I think that it would be really helpful for me to just hear more about what it is that you're going through. I mean, I can definitely understand how it must be really painful to feel so hopeless, and I know it's really difficult to be able to reach out for help in that way.

I mean, I think it would be really helpful if we could talk a little bit about what's been going on, if that's okay with you. I mean, I can see that you've been feeling really down, and I think it's really valuable for me to hear about what's been going on.",1.0,1.0,1.0,1.0,1.0,2.0
5,"Yeah, I can see that you've been feeling really down and isolated, and it's really difficult to explain how it is. I mean, I can understand how it must be really painful and overwhelming sometimes.",1.0,1.0,1.0,1.0,1.0,2.0
6,"Well, I mean, it's really difficult for me to know exactly what you're feeling because it's so hard to describe. But I can see that it's really painful for you to feel this way, and I can understand that it's really difficult to explain what it is that you're going through.",1.0,1.0,1.0,1.0,0.0,2.0
7,"Sometimes I wonder if it's okay if we talk about what might have happened in the past few years to make sense of where you're at now, if that's okay with you?",1.0,1.0,1.0,1.0,0.0,2.0
8,"Yeah, it's clear that you've had some really difficult experiences, and it's really painful to go through. I mean, I can definitely understand how it would be hard to explain exactly what happened, but it would be helpful for me to hear about it if that's okay with you.",1.0,1.0,1.0,1.0,0.0,2.0
9,"So it feels like there were moments where you tried to push through and ignore the way you felt, but that didn't work.",1.0,1.0,1.0,1.0,0.0,2.0
10,"It's that it's so difficult to move forward. It's almost like you feel like you're being pulled in two directions at once. I mean, I can understand how it's really difficult to feel this way, and I can see that it's really painful for you.",1.0,1.0,1.0,1.0,0.0,2.0
11,"You freeze. I mean, it's clear that it's very difficult for you to move forward and it's very painful for you to feel this way. It's almost like it's almost impossible to even try to move, which is very discouraging.",1.0,1.0,1.0,1.0,0.0,2.0
12,"All I want to do is survive. It's very painful for you to feel this way, and it's very discouraging. I mean, it's clear that you're having a lot of trouble moving forward, and that's very difficult to experience.",1.0,1.0,1.0,1.0,0.0,2.0
13,So it feels like you're just waiting for something to change or for someone to tell you there's a solution. But it's very discouraging when you can't move forward or find a solution.,1.0,1.0,1.0,1.0,0.0,2.0
14,"It's almost like you feel like you're being pulled in two directions at once. It's very discouraging. I mean, it's very difficult to feel like you're stuck and there's no way out when you know there *is* a way out, but it's very difficult to move forward in that way.",1.0,1.0,1.0,1.0,0.0,2.0
15,"A disconnect between knowing there's a way out and being able to move forward is very discouraging. It's almost like you're separated from the solution, which makes it very difficult to try.",1.0,1.0,1.0,1.0,0.0,2.0
16,"Frozen, waiting for the wall to move. It's very painful and discouraging to feel separated from the solution and unable to move forward. I mean, it's very difficult to feel that way, and I can understand how it's very discouraging when you feel like you're separated from the way out.",1.0,1.0,1.0,1.0,0.0,2.0
17,But then what happens?,1.0,1.0,1.0,1.0,0.0,2.0
18,You just curl up in bed or sit on the couch and stop trying.,1.0,1.0,1.0,1.0,0.0,2.0
19,Even more hopeless. It's very painful to feel that way. It's very painful to feel separated from the solution and to feel like the solution is so far away that even the act of trying feels almost impossible.,1.0,1.0,1.0,1.0,0.0,2.0
