Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi Jason, how are you doing today?",T,UxCT6zVPk7A_1,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,,"Hi, Carly. How are you doing today? I'm doing well, thanks for asking. How have things been?"
You're good?,T,UxCT6zVPk7A_3,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,"Therapist: Hi Jason, how are you doing today?
Patient: I'm here.","Hi, Carly. How are you doing today? I was hoping this would be a follow-up session for our last session. How have you been feeling since we last met?"
You're here?,T,UxCT6zVPk7A_5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,"Therapist: Hi Jason, how are you doing today?
Patient: I'm here.
Therapist: You're good?
Patient: I'm here, that's, that's all I can say, I'm just here.",You're here. That's all you can say?
What's been going on?,T,UxCT6zVPk7A_7,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: Hi Jason, how are you doing today?
Patient: I'm here.
Therapist: You're good?
Patient: I'm here, that's, that's all I can say, I'm just here.
Therapist: You're here?
Patient: Yes.","You're here. I'm glad you could come in today. I understand that you've been having some symptoms that are bothersome to you, so I'm glad that you came in for an evaluation. Can you tell me about what's been going on?"
Do you know what you're charged with?,T,UxCT6zVPk7A_9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,"Therapist: You're good?
Patient: I'm here, that's, that's all I can say, I'm just here.
Therapist: You're here?
Patient: Yes.
Therapist: What's been going on?
Patient: So I've been made to come in and talk to you because something happened on the bus and I might have said something to somebody and they're just like, oh you can't say that, so they actually said, oh we're going to take you to jail. From jail they just brought me here.","So you were on a bus, you heard something on the bus, somebody said something to you, you think you said something, they're saying you might have said something, and now they're saying you might have said something on the bus and you might have committed a crime and they're taking you in for questioning."
The government? Do you have anyone specific?,T,UxCT6zVPk7A_11,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,"Therapist: You're here?
Patient: Yes.
Therapist: What's been going on?
Patient: So I've been made to come in and talk to you because something happened on the bus and I might have said something to somebody and they're just like, oh you can't say that, so they actually said, oh we're going to take you to jail. From jail they just brought me here.
Therapist: Do you know what you're charged with?
Patient: They didn't explain anything. The government never explains anything. They just don't want me to understand what's going on because they just want to keep me held in captivity.",So you feel like you're being held in captivity because you're being charged with something?
And how long have they been wanting to do this to you?,T,UxCT6zVPk7A_13,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,"Therapist: What's been going on?
Patient: So I've been made to come in and talk to you because something happened on the bus and I might have said something to somebody and they're just like, oh you can't say that, so they actually said, oh we're going to take you to jail. From jail they just brought me here.
Therapist: Do you know what you're charged with?
Patient: They didn't explain anything. The government never explains anything. They just don't want me to understand what's going on because they just want to keep me held in captivity.
Therapist: The government? Do you have anyone specific?
Patient: No, it's the entire government. Entire government.",So you feel like the entire government is out to get you. And what's the evidence for that? What makes you think that?
Always there?,T,UxCT6zVPk7A_15,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,"Therapist: Do you know what you're charged with?
Patient: They didn't explain anything. The government never explains anything. They just don't want me to understand what's going on because they just want to keep me held in captivity.
Therapist: The government? Do you have anyone specific?
Patient: No, it's the entire government. Entire government.
Therapist: And how long have they been wanting to do this to you?
Patient: All my life. They've done this all my life. They, they're always listening, they're always around, they're always there.",So you feel like they've been wanting to do this to you for a long time. And you feel like they're listening to you right now.
You've been taking medications?,T,UxCT6zVPk7A_17,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: The government? Do you have anyone specific?
Patient: No, it's the entire government. Entire government.
Therapist: And how long have they been wanting to do this to you?
Patient: All my life. They've done this all my life. They, they're always listening, they're always around, they're always there.
Therapist: Always there?
Patient: Always there. Like for example, they're in the lights right now. They're listening to everything that we're talking about, so that's the reason why I really can't talk about what happened on the bus because they're just going to use that against me and then just lock me up again and make me take more meds.",So you feel like they're listening to you right now.
Do you know what they want to do with that information?,T,UxCT6zVPk7A_19,1.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,"Therapist: And how long have they been wanting to do this to you?
Patient: All my life. They've done this all my life. They, they're always listening, they're always around, they're always there.
Therapist: Always there?
Patient: Always there. Like for example, they're in the lights right now. They're listening to everything that we're talking about, so that's the reason why I really can't talk about what happened on the bus because they're just going to use that against me and then just lock me up again and make me take more meds.
Therapist: You've been taking medications?
Patient: Yes, I take the medication because if I don't take the medication, the government comes and takes me away and puts me into a hospital where they force-feed me the medication and then the lights are always on and they could always hear everything that I'm saying and what I'm thinking and what I'm going to do.",So the government is listening to you all the time.
