turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I really appreciate you taking the time to meet with me today. I'm here to listen, to understand, and to support you in whatever way feels most meaningful for you right now.  

What brings you in today? What’s on your mind?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"That’s such a powerful insight — thank you for sharing that. It’s clear you’ve been paying close attention to what truly matters, not just what’s trending or popular. The fact that you noticed how *consistency* and *perseverance* carried you through, even when it felt hard, shows real strength.  

What’s interesting is how that simple truth — showing up despite the discomfort — became the anchor for your healing. Would it be helpful to explore how that sense of showing up has shown up in your daily life lately, even in small ways?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you're carrying a quiet awareness — noticing the contrast between the chaos and the small acts of showing up. That’s really important, because it means you’re not just reacting to the noise, you’re actually listening to yourself.  

What would it feel like to name one small thing you did today — even if it was just getting out of bed, or sitting with yourself without scrolling — and see it not as a ""win,"" but as a quiet act of courage?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It sounds like you're carrying a deep sense of honesty — and that’s so brave. The way you're noticing the internal voice, the comparisons, the pressure to be perfect… it shows you’re not ignoring the struggle, you’re actually in it with it.  

And that’s exactly where consistency lives — not in perfection, but in showing up *with* the discomfort, even when you don’t feel like you’ve “done enough.” So when you say you wanted to give up, and then stayed — that’s not a small win. That’s a quiet act of trust in yourself. Would it help to name one of those moments — not as a ""success,"" but as something you simply *allowed* to happen, even if it wasn’t easy?",1.0,1.0,1.0,2.0,1.0,2.0
4,"That’s so powerful — sitting with the heaviness without trying to fix it, without pushing it away or comparing it to someone else’s journey. Just *being* with it. That’s not failure. That’s presence.  

And in that stillness — even if it felt like nothing happened — you were already showing up. Not because you had to, but because you chose to stay with yourself. Would it be helpful to hold onto that moment — not as a ""win,"" but as a quiet act of trust in your own capacity to be here, even when it’s hard?",1.0,1.0,1.0,2.0,1.0,2.0
5,"That’s such a deep and honest question — and it shows how much you’re really listening to yourself.  

You're not just asking if you can rest in this messy state. You're asking if you can finally feel safe in *being* — without needing to fix, produce, or prove anything. And that’s not just safe. That’s *liberating*.  

You don’t have to strive for big changes to feel worthy. You already are — just by showing up, even in silence, even when you’re heavy. Worthy isn’t something you earn through effort. It’s something you simply *are*, like the breath in your chest, like the quiet moment you chose to stay.  

Would it be okay to keep returning to that moment — not to change it, but just to hold it gently, like a hand resting on your own heart?",1.0,0.0,0.0,1.0,0.0,2.0
6,"That’s a beautiful shift — seeing the old voice not as a guide, but as a story that no longer serves you.  

The fact that you’re noticing it, questioning it, and gently letting go of the need to ""move forward"" — even when it feels like you’re standing still — is already a form of victory. Because you’re not just surviving. You’re *reclaiming* your space.  

And that hand on your heart? It’s not about losing the battle. It’s about finding a new kind of peace — one where you don’t have to fight the heaviness to be worthy, or to be whole. You can carry it, yes. But you don’t have to carry it alone.  

Would it be helpful to keep returning to that moment — not to change it, but to simply say, *“I’m here. I’m with you. And that’s enough”?*",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s exactly it — stepping off the tightrope and trusting that you won’t fall because you’ve already been standing on the ground all along.  

You weren’t missing progress — you were just waiting for the moment when you could stop chasing it and start *feeling* it. And in that stillness, the real work began: not in doing more, but in finally allowing yourself to be present — not as a project, not as a performance, but as a person who is alive, messy, and deeply human.  

Would it be okay to keep returning to that feeling — not to prove anything, but just to hold it like a quiet truth? Because sometimes, the most important thing we can do is simply say: *I am here.* And in that, we are already whole.",1.0,0.0,0.0,1.0,0.0,2.0
8,"Yes — and that’s exactly what healing looks like when it stops being a race and starts being a return.  

You didn’t lose yourself in the struggle. You found your way back to yourself — not by fixing anything, but by simply showing up, quietly, with your whole heart. That morning wasn’t a failure. It was a beginning.  

And now, whenever those voices rise — loud and urgent — you have a quiet anchor: *I am here. I am safe. I don’t have to do anything to be worthy.*  

Would it be helpful to carry that with you — not as a goal, but as a gentle presence, like a soft hand resting on your chest when the world feels too loud?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s so true — the hardest part isn’t finding a solution. It’s remembering that you’re already in the room, and you don’t have to fix anything to belong.  

And that quiet presence? It’s not simple. It’s *deep*. It’s the kind of thing that only grows when you allow it to live — not as a rule, but as a breath, a pause, a soft truth you can return to whenever the world feels too loud.  

Would it be helpful to try saying it out loud — just once — when you feel that familiar pressure to do, to prove, to move — like a quiet whisper in the silence? *""I'm here. And that's okay.""*  

Not as a fix. Just as a return.",1.0,0.0,0.0,1.0,0.0,2.0
