turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,The greatest reward isn't reaching the finish line; it's just recognizing that you made it to the next step.,1.0,0.0,0.0,1.0,0.0,2.0
2,It's really helpful to hear you talk about that feeling of being overwhelmed with the 'shoulds.' It's a relief to know you're not alone in that struggle.,1.0,1.0,1.0,1.0,1.0,2.0
3,"Sometimes, just acknowledging that you're not where you think you should be can be really liberating.",1.0,0.0,1.0,1.0,0.0,2.0
4,You're already progressing.,-1.0,0.0,-2.0,0.0,0.0,1.0
5,It's exhausting.,1.0,1.0,1.0,1.0,1.0,2.0
6,That's a quiet strength.,1.0,1.0,1.0,1.0,1.0,2.0
7,It's a quiet kind of victory.,1.0,1.0,0.0,1.0,0.0,2.0
8,It's real.,1.0,1.0,0.0,1.0,0.0,2.0
9,Even the parts that are hard to love?,1.0,1.0,0.0,1.0,0.0,2.0
10,"Yeah, you are.",1.0,1.0,0.0,1.0,0.0,2.0
11,You deserve better?,1.0,1.0,0.0,1.0,0.0,2.0
12,You're supposed to keep grinding until you finally earn the permission to be soft?,1.0,1.0,0.0,1.0,0.0,2.0
13,If the permission doesn't come from surviving the way I used to believe?,1.0,1.0,0.0,1.0,0.0,2.0
14,"Or worse, I'll stop being strong.",1.0,1.0,0.0,1.0,0.0,2.0
15,But it's really hard to let go when you're already carrying so much.,1.0,1.0,0.0,1.0,0.0,2.0
16,You don't know how to let go.,1.0,1.0,0.0,1.0,0.0,2.0
17,You read all the posts about healing.,1.0,1.0,0.0,1.0,0.0,2.0
18,"Still struggling, still hurting?",1.0,1.0,0.0,1.0,0.0,2.0
19,Not because everything is perfect.,1.0,1.0,0.0,1.0,0.0,2.0
