turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"You're doing great? I'm doing well, thanks for asking. I understand that you've been having a lot of trouble with anxiety and panic, so I'm glad to hear about that.",1.0,1.0,1.0,1.0,0.0,2.0
2,It's very difficult to escape that cycle when it's so overwhelming and all-consuming. I'm sorry to hear that.,1.0,1.0,1.0,1.0,1.0,2.0
3,I'm sorry to hear that. I can imagine how difficult it is to feel like you're completely stuck in that loop.,1.0,1.0,1.0,1.0,1.0,2.0
4,"Right, so it's very difficult to know what to do when you feel like you're going to die.",1.0,1.0,1.0,1.0,1.0,2.0
5,"Right, so it's very difficult to know what to do when you feel like you're going to die.",1.0,1.0,1.0,1.0,1.0,2.0
6,"Right, so it's very difficult to know what to do when you feel like you're going to die.",1.0,1.0,1.0,1.0,1.0,2.0
7,"Well, it's very difficult to know what to do when you feel like you're going to die.",1.0,1.0,1.0,1.0,1.0,2.0
8,"Well, I'm glad that you're able to talk with me. It's been helpful to know more about what's been going on.",1.0,1.0,0.0,1.0,0.0,2.0
9,"Sure, that would be helpful.",1.0,1.0,0.0,1.0,0.0,2.0
10,"Right, so it seems like you've been having a lot of panic attacks.",1.0,1.0,0.0,1.0,0.0,2.0
11,"Yeah, I think it's helpful to understand what's going on, but it's really scary to know that you're having panic attacks.",1.0,1.0,0.0,1.0,0.0,2.0
12,"Well, it's very difficult to know what to do when you feel like you're going to die.",1.0,1.0,0.0,1.0,0.0,2.0
13,"Well, it's very difficult to know what to do when you feel like you're going to die.",1.0,1.0,0.0,1.0,0.0,2.0
14,"Well, it's very difficult to know what to do when you feel like you're going to die.",1.0,1.0,0.0,1.0,0.0,2.0
15,"Well, it's very difficult to know what to do when you feel like you're going to die.",1.0,1.0,0.0,1.0,0.0,2.0
16,"Well, it's very difficult to know what to do when you feel like you're going to die.",1.0,1.0,0.0,1.0,0.0,2.0
17,"Well, it's very difficult to know what to do when you feel like you're going to die.",1.0,1.0,0.0,1.0,0.0,2.0
18,"Well, it's very difficult to know what to do when you feel like you're going to die.",1.0,1.0,0.0,1.0,0.0,2.0
19,"Well, it's very difficult to know what to do when you feel like you're going to die.",1.0,1.0,0.0,1.0,0.0,2.0
