Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi Lacey, nice to meet you. So I understand that you were referred here by your GP because you've been feeling quite down recently?",T,7LD8iC4NqXM_1,0.0,0.0,-2.0,0.0,0.0,2.0,0,0,-2,0,0,2,,"Hi Carly, how are you doing today?"
"Okay, so from your notes I saw that you saw the GP about three months ago. So how long have you been feeling down altogether?",T,7LD8iC4NqXM_3,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Hi Lacey, nice to meet you. So I understand that you were referred here by your GP because you've been feeling quite down recently?
Patient: Yeah, I thought I should, I've been feeling quite bad for quite a while, so I thought maybe it's time to see someone about it because I don't want to feel like this anymore.","You've been feeling quite bad for a while, so you thought it might be time to see someone about it. Can you tell me what's been going on?"
"Okay, so has it got worse since you saw your GP?",T,7LD8iC4NqXM_5,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Hi Lacey, nice to meet you. So I understand that you were referred here by your GP because you've been feeling quite down recently?
Patient: Yeah, I thought I should, I've been feeling quite bad for quite a while, so I thought maybe it's time to see someone about it because I don't want to feel like this anymore.
Therapist: Okay, so from your notes I saw that you saw the GP about three months ago. So how long have you been feeling down altogether?
Patient: Quite a few months before that as well, actually, but it's gotten pretty bad these past few months, so that's kind of why I came.","Okay, so you've been feeling down for quite a few months, but it's been getting worse in the past few months. How long have you been feeling sad for?"
"Okay, so tell me how things are at the moment.",T,7LD8iC4NqXM_7,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Hi Lacey, nice to meet you. So I understand that you were referred here by your GP because you've been feeling quite down recently?
Patient: Yeah, I thought I should, I've been feeling quite bad for quite a while, so I thought maybe it's time to see someone about it because I don't want to feel like this anymore.
Therapist: Okay, so from your notes I saw that you saw the GP about three months ago. So how long have you been feeling down altogether?
Patient: Quite a few months before that as well, actually, but it's gotten pretty bad these past few months, so that's kind of why I came.
Therapist: Okay, so has it got worse since you saw your GP?
Patient: Yeah.",It has got worse? Can you tell me about that how it's been getting worse?
"Okay, so you said that you're feeling really down, really sad, and you feel like you haven't got any motivation, but... are you okay?",T,7LD8iC4NqXM_9,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Okay, so from your notes I saw that you saw the GP about three months ago. So how long have you been feeling down altogether?
Patient: Quite a few months before that as well, actually, but it's gotten pretty bad these past few months, so that's kind of why I came.
Therapist: Okay, so has it got worse since you saw your GP?
Patient: Yeah.
Therapist: Okay, so tell me how things are at the moment.
Patient: Well, it kind of started just feeling a bit low and wound up about things, but I don't know, just recently I just can't really be bothered to do anything at all. I kind of find it hard to get motivated for things and I want to be, I really want to be better, but it's just kind of reaching the end now where I just want to do something about it.","Right, so it sounds like you've been feeling a bit low and you've been feeling a bit, a bit like you've lost your motivation for things, but you do want to be better, you do want to make a change, but it's been hard to get motivated for things. Okay. How have you been feeling in terms of your mood?"
"Okay. And you haven't got any motivation, but it sounds like you're putting quite a lot of pressure on yourself to try and feel a bit better.",T,7LD8iC4NqXM_11,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: Okay, so has it got worse since you saw your GP?
Patient: Yeah.
Therapist: Okay, so tell me how things are at the moment.
Patient: Well, it kind of started just feeling a bit low and wound up about things, but I don't know, just recently I just can't really be bothered to do anything at all. I kind of find it hard to get motivated for things and I want to be, I really want to be better, but it's just kind of reaching the end now where I just want to do something about it.
Therapist: Okay, so you said that you're feeling really down, really sad, and you feel like you haven't got any motivation, but... are you okay?
Patient: Yeah, I'm fine, sorry.","You're fine? You're feeling a bit down, but you're fine?"
"So you say you've been feeling quite isolated, there's not many people around.",T,7LD8iC4NqXM_13,1.0,1.0,1.0,1.0,1.0,2.0,1,1,1,2,1,2,"Therapist: Okay, so tell me how things are at the moment.
Patient: Well, it kind of started just feeling a bit low and wound up about things, but I don't know, just recently I just can't really be bothered to do anything at all. I kind of find it hard to get motivated for things and I want to be, I really want to be better, but it's just kind of reaching the end now where I just want to do something about it.
Therapist: Okay, so you said that you're feeling really down, really sad, and you feel like you haven't got any motivation, but... are you okay?
Patient: Yeah, I'm fine, sorry.
Therapist: Okay. And you haven't got any motivation, but it sounds like you're putting quite a lot of pressure on yourself to try and feel a bit better.
Patient: Yeah, I just, it's kind of hard as well because there's not really anyone to talk about it, so I just kind of stay on my own trying to, I don't like to think about it, but... I don't know.","Okay, so it's hard for you to talk about it, it's hard for you to feel motivated, it's hard for you to feel like you can do anything about it. And it seems like you're staying on your own with all of that."
"Okay, so I'm just going to try and find out a little bit more about you. So I understand that you're an English student at Uni?",T,7LD8iC4NqXM_15,1.0,1.0,1.0,2.0,1.0,2.0,1,0,-2,1,0,2,"Therapist: Okay, so you said that you're feeling really down, really sad, and you feel like you haven't got any motivation, but... are you okay?
Patient: Yeah, I'm fine, sorry.
Therapist: Okay. And you haven't got any motivation, but it sounds like you're putting quite a lot of pressure on yourself to try and feel a bit better.
Patient: Yeah, I just, it's kind of hard as well because there's not really anyone to talk about it, so I just kind of stay on my own trying to, I don't like to think about it, but... I don't know.
Therapist: So you say you've been feeling quite isolated, there's not many people around.
Patient: There's no one I can talk to about it. No one would listen or understand anyway.",So it seems like you've been feeling quite alone in this. There's not many people you can talk to about what you're going through. It's hard to imagine that you've found anyone who would listen or understand.
"And you live away from home with some friends, is that right?",T,7LD8iC4NqXM_17,1.0,1.0,1.0,1.0,0.0,2.0,-1,0,-2,1,0,2,"Therapist: Okay. And you haven't got any motivation, but it sounds like you're putting quite a lot of pressure on yourself to try and feel a bit better.
Patient: Yeah, I just, it's kind of hard as well because there's not really anyone to talk about it, so I just kind of stay on my own trying to, I don't like to think about it, but... I don't know.
Therapist: So you say you've been feeling quite isolated, there's not many people around.
Patient: There's no one I can talk to about it. No one would listen or understand anyway.
Therapist: Okay, so I'm just going to try and find out a little bit more about you. So I understand that you're an English student at Uni?
Patient: Yeah.",You're an English student at Uni. How is your course going?
"Okay, so you don't live far from the Uni. But you say you feel like you live with your friends, but you don't feel like you can talk to them.",T,7LD8iC4NqXM_19,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: So you say you've been feeling quite isolated, there's not many people around.
Patient: There's no one I can talk to about it. No one would listen or understand anyway.
Therapist: Okay, so I'm just going to try and find out a little bit more about you. So I understand that you're an English student at Uni?
Patient: Yeah.
Therapist: And you live away from home with some friends, is that right?
Patient: Yeah, I live here.","You live here. Okay, so you live away from home. And you're a student, so you have a lot of responsibilities, it must be quite difficult for you. How have things been going for you?"
