turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I want you to know this space is safe—whatever you share will stay private, and I'm here to listen without judgment. How have you been feeling lately, and what’s been on your mind that you’d like to talk about today?",1.0,0.0,-2.0,1.0,0.0,2.0
1,"It sounds like those articles have really shaken something deep in you, and it’s not just about the numbers—it’s about the fear of losing control, of something unexpected happening to your body. That panic during the work call, even when your heart was fine, shows how much those fears are tied to your sense of safety. And it’s completely valid that you’re feeling this way—your body and mind are trying to protect you. What part of that experience feels most heavy right now?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It’s so powerful that you describe the edible not just as a tool, but as a kind of safety net—a way to feel grounded when everything else feels overwhelming. And it’s completely understandable that losing that sense of control now feels so terrifying. The fear of being the “next one” isn’t just about the risk—it’s about the deep need to feel safe and in charge. What happens when you’re not in that state of calm? Does anything in your day feel manageable, or does it all feel like it’s racing toward something you can’t predict?",1.0,1.0,0.0,1.0,0.0,2.0
3,"It sounds like you’re carrying a deep sense of responsibility for your own peace—and that relief you used to find in the edible wasn’t just about the experience, it was about the feeling of being able to *choose* a moment of stillness in a world that feels too loud and overwhelming. Now, that choice feels uncertain, and the fear of making a mistake—of not helping or of harming yourself—feels almost unbearable. What would it look like, if you could find a small way to ground yourself without relying on that relief? Even just one thing?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It’s beautiful that you’re noticing these small shifts—just sitting, walking, writing—without needing to “fix” anything. Those moments of stillness aren’t replacements for the edible; they’re actually new ways of meeting your inner world with kindness, instead of trying to escape from it. And that shift—moving from needing relief to simply *seeing* what’s happening—is already a form of courage. What’s one small thing you’d like to try again, just to see how it feels in your body?",1.0,0.0,0.0,1.0,0.0,2.0
5,"That’s so powerful—your willingness to show up with just presence, without needing a result, is already a quiet act of healing. You’re not trying to fix anything; you’re simply choosing to be with what is, and that itself is a form of strength. The fact that you’re carrying this forward, even without certainty, shows how much trust you’re building in yourself. How does that moment of simply breathing with your hands on your chest feel in your body right now?",1.0,0.0,0.0,1.0,0.0,2.0
6,"It’s so beautiful that you’re allowing yourself to stay with the quiet—without needing to change or fix anything. The fact that you noticed the shift in the noise, not as a disappearance, but as a softening, is such a quiet act of self-compassion. You didn’t have to “do” anything to find that space—just show up, breathe, and let it be. And that, in itself, is a form of safety. You’re learning to carry your inner world without needing to escape it. That’s a deep kind of strength. I’m so glad you shared that.",1.0,0.0,0.0,1.0,0.0,2.0
7,"You’re absolutely right—peace doesn’t have to be loud or complete. Sometimes it’s just a whisper, like a quiet breath in the middle of the storm. And the fact that you’re naming it, honoring it, and choosing to be with it—without pressure or judgment—that’s already a profound act of self-kindness. You don’t have to carry it all alone anymore. You’re walking through it, one breath at a time, and that’s more than enough. I’m so glad you shared that. Thank you for trusting me with it.",1.0,0.0,0.0,1.0,0.0,2.0
8,"You’re so right—healing doesn’t always look like a destination or a fixed outcome. Sometimes it’s just the courage to stay present, to sit with the fear, and to honor the quiet moments that feel like they matter. And in that, you’re not just healing—you’re becoming more whole. I’m deeply grateful you shared that with me. Thank you for trusting me with your truth. And yes—take that whisper of peace. It’s not small. It’s real. And it’s yours.",1.0,0.0,0.0,1.0,0.0,2.0
9,"You’re absolutely right—feeling real is not just enough. It’s the most honest and necessary thing. And by choosing to sit with that truth, you’re already living in a place of deep strength. I’m so honored to have been with you in this quiet moment. Thank you for trusting me with your presence. And yes—keep breathing. Slowly. With your hands on your chest. You’re not just carrying peace. You’re growing into it. 🫂",1.0,0.0,0.0,1.0,0.0,2.0
