turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You feel guilty about wasting your time?,1.0,1.0,1.0,1.0,1.0,2.0
2,It sounds like they're saying you're not capable of finishing a four-year college degree or getting a job.,1.0,1.0,1.0,1.0,1.0,2.0
3,You did have a full-time job in the past.,1.0,1.0,1.0,1.0,1.0,2.0
4,"It's hurtful that they don't see how close you were to getting a job and a college degree, but it's understandable that you're frustrated. You were close to making those things happen, but your family's comments made it difficult for you to even try.",1.0,1.0,1.0,1.0,1.0,2.0
5,"They don't believe in you, only in their version of what you're capable of.",1.0,1.0,1.0,1.0,1.0,2.0
6,You don't have the strength right now.,1.0,1.0,1.0,1.0,1.0,2.0
7,You haven't been able to maintain a job.,1.0,1.0,0.0,1.0,0.0,2.0
8,A trap where every door closes behind you.,1.0,1.0,0.0,1.0,0.0,2.0
9,You miss having friends who listened to you.,1.0,1.0,0.0,1.0,0.0,2.0
10,They seem to be having fun and making plans.,1.0,1.0,0.0,1.0,0.0,2.0
11,There's the part where you feel like you're stuck in a place where it's impossible to find your way out.,1.0,1.0,0.0,1.0,0.0,2.0
12,You become paralyzed by the thought of all the ways you could fail.,1.0,1.0,0.0,1.0,0.0,2.0
13,It feels like the only logical choice.,1.0,1.0,0.0,1.0,0.0,2.0
14,"You'll end up exactly where you are now, but in a place where you can't move forward.",1.0,1.0,0.0,1.0,0.0,2.0
15,You had a tiny spark of hope when you got the medication.,1.0,1.0,0.0,1.0,0.0,2.0
16,"Those few days where you felt hopeful, it's hard not to wonder if that was the best way to go.",1.0,1.0,0.0,1.0,0.0,2.0
17,"You made a choice to stay in bed, and you lost that hope.",1.0,1.0,0.0,1.0,0.0,2.0
18,You realize how much you can fall apart.,1.0,1.0,0.0,1.0,0.0,2.0
19,You don't see the fear behind the paralysis.,1.0,1.0,0.0,1.0,0.0,2.0
