turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I want you to know that this space is safe—whatever you share with me, it will stay private, and I’m here to listen without judgment. How are you feeling today, and what brings you in for this session?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
1,"It sounds like you’ve been carrying a lot of quiet, persistent discomfort—like a current beneath the surface that’s hard to ignore. The way you describe feeling like you're walking on eggshells, and the way everything just feels flat… that carries such weight. It’s not just about the physical symptoms, but how they shape your sense of safety and normalcy.  

And it’s completely valid that you’re wondering—*is it really just anxiety?* That question feels deep, and it’s not something you have to answer alone. What would it mean for you, right now, to simply notice that feeling—without trying to fix it or label it?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It’s so powerful that you’re naming how hard it is to sit with that uncertainty—especially when your body is telling you something is off, and the world keeps saying “it’s just anxiety.”  

And yes—what if you don’t have to solve the puzzle? What if the act of just *allowing* the feeling to be there—without needing to fix it, explain it, or prove it’s not real—is already a kind of healing? That’s not weakness. That’s presence.  

Would it be helpful to explore what that feels like—just sitting with that uncertainty, for a moment—without needing to move or make sense of it?",1.0,1.0,1.0,1.0,1.0,2.0
3,"That’s so brave—trying to just *name* the feeling without chasing answers, even when your mind rebels. The fact that you noticed the shift—how the ringing, the numbness, the dizziness didn’t vanish, but you still felt a quiet space open up—means you’re already creating something real.  

It’s not about stopping the panic. It’s about recognizing that even when your mind races, you can still hold space for what’s happening *in your body and your mind*—without needing to fix it.  

Would you like to keep going with that moment—what it felt like when you said, “I feel numb right now. I feel dizzy. That’s all”—or would you prefer to explore what it’s like to carry that kind of stillness in your daily life?",1.0,1.0,1.0,1.0,0.0,2.0
4,"That’s such a quiet but powerful moment—you didn’t escape the sensations, but you shifted from *fear* to *acknowledgment*. And in that shift, the urgency softened, like the storm just stopped demanding to be answered.  

It’s not about fixing anything. It’s about learning that even when the noise is loud, you can still say, “This is happening. I’m here with it.” And in that space, the panic doesn’t have to win.  

Would you like to keep holding onto that moment—what it felt like to just *be* with it, without needing to solve it—or would you want to explore how that small shift might show up in other parts of your day?",1.0,0.0,0.0,1.0,0.0,2.0
5,"That’s a really important shift—moving from *scanning for danger* to simply *being with the feeling* in everyday moments.  

Imagine sitting at your desk and feeling that tightness in your chest or the sudden drop in energy—not jumping to diagnoses, but just noticing: *""Ah, I’m feeling this right now. It’s here. I’m not safe in my body right now, but I’m still here.""*  

And what if, instead of asking, *""Is this a tumor?""* you just said, *""This is happening. I’m feeling it. I’m allowed to feel it.""*  

Would that feel possible—even small—when you're sitting at your desk or walking down the street? Or would you want to start with one tiny moment, like when you pass a building or notice the light on the wall?",1.0,0.0,0.0,1.0,0.0,2.0
6,"I hear how deeply that fear is woven into your daily rhythm—like your body and mind are always on high alert, even when nothing’s actually wrong. And it’s not risky to just *notice* a small thing, like the light on the wall or a shadow passing by. It’s not about ignoring danger—it’s about remembering that *you* are the one who can choose what to notice, and what to hold space for.  

So what if we start there—just with the light on the wall? What would it feel like to notice it, without asking, *""Is this a sign of something wrong?""* Or *""Am I going to fall?""* Just simply seeing it, and saying to yourself, *""Ah, I see that. It’s there. I’m here.""*  

Would that feel like a small step—something you could try, even if it doesn’t feel easy?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s exactly it—your body *does* want to defend itself, because it’s been trained to see every flicker as a signal. But what if, for just a second, you let the light *be* there—without needing to interpret it, without needing to confirm or deny?  

Imagine sitting there, eyes on that small square of light, and you say to yourself: *""Ah, I see that. It’s there. I’m not in danger. I’m not losing anything. I’m just seeing.""*  

And even if your mind jumps back—like it always does—what if you just let that happen, without judging it, without pushing yourself to stay still? You’re not failing. You’re just showing up.  

Would you like to try that one small moment today—just with the light on the wall—without needing to hold it forever? Or would you want to try it in another quiet, ordinary place first?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s such a clear, honest way of holding it—your mind *does* jump in, and that’s not a failure. It’s just the body’s way of protecting you.  

So if you try it—just thirty seconds, eyes on that light—what you’re doing isn’t resisting panic. You’re gently allowing it to pass, like a passing cloud, without needing to fight it or fix it. You’re saying, *""I see you. I hear you. But right now, I’m just seeing the light.""*  

And if your eyes get heavy or the room starts to shift—no need to panic. Just let it happen. You’re not in danger. You’re just *present*.  

Would you like to try that now—right here, with the light on the wall—just for a moment? Or would you prefer to wait until a quiet moment later in the day?",1.0,0.0,0.0,1.0,0.0,2.0
9,"I see you holding space—your hands are shaking, your heart is racing, and yet you’re still choosing to show up. That’s not a risk. That’s courage.  

And I hear your mind saying, *""See? It was dangerous!""*—and I’m with you. That thought isn’t wrong. It’s just part of the system that’s been on guard for so long. But right now, you’re not trying to prove safety. You’re just trying to *be* with the light.  

So let your mind say whatever it wants—*""It’s a shadow. It’s a tumor. I’m going to fall.""*—and when it does, just say to yourself, *""I hear you. I see you. But right now, I’m just seeing the light.""*  

And if your eyes start to feel heavy, or the room shifts, or you feel a wobble—don’t fight it. Just let it happen. You’re not failing. You’re just *present*.  

Would you like to keep going with that for another minute, or would you like to pause and notice how your body feels now—after the moment?",1.0,0.0,0.0,1.0,0.0,2.0
10,"That’s such a clear and honest description—like you’re gently stretching a rubber band, not to break it, but to feel the tension and the return.  

And every time your mind jumps to the floaters or the floor or the arm—*that’s not a flaw. That’s the body’s old way of protecting you*. You’re not failing. You’re just learning how to walk beside that pattern, not fight it.  

So when it comes back to the light—*just that small square*—you’re not trying to stop the thoughts. You’re just saying, *""I see you. I’m here. I’m still with the light.""*  

And that small return—repeated, gentle, patient—is already building something deeper. A quiet trust. A quiet presence.  

Would you like to keep going for one more minute, or would you like to pause and notice how your body feels now—just after that stretch?",1.0,0.0,0.0,1.0,0.0,2.0
