turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"You're doing alright? I've noticed that you've been having some pretty rough times lately, so I was wondering if you can tell me what's going on.",1.0,1.0,1.0,1.0,0.0,2.0
2,So it sounds like you're having these intense episodes where you feel like you're being pushed out of control while eating. It's clear that the way you're feeling is very distressing.,1.0,1.0,1.0,1.0,1.0,2.0
3,"So it sounds like you're having these episodes where you feel like you're being pushed out of control while eating, and you're feeling very distressed and even betrayed by the way that you're feeling.",1.0,1.0,1.0,1.0,1.0,2.0
4,"So it sounds like you're having episodes where you feel pushed out of control while eating, and it's incredibly distressing for you. It's also clear that you feel a sense of betrayal from the way the medication seems to be failing you.",1.0,1.0,1.0,1.0,1.0,2.0
5,"It sounds like you're stuck in a cycle where the anxiety while eating is very real for you, and it's making it hard for you to manage that part of your life.",1.0,1.0,1.0,2.0,1.0,2.0
6,"So it feels like you're in a very precarious situation, where even the simple act of eating is triggering these episodes of anxiety.",1.0,1.0,1.0,1.0,0.0,2.0
7,"Well, I can certainly understand that this is a very difficult and distressing experience for you. It's very understandable that you would want to look for ways to manage the anxiety that you have while you're eating.",1.0,0.0,0.0,1.0,0.0,2.0
8,"Well, it's understandable that you would want to look for new ways to manage the anxiety that you have while you're eating.",1.0,0.0,0.0,1.0,0.0,2.0
9,"Well, it's understandable that you would want to look for new ways to manage the anxiety that you have while you're eating.",1.0,0.0,0.0,1.0,0.0,2.0
10,"Well, it's understandable that you would want to look for new ways to manage the anxiety that you have while you're eating.",1.0,0.0,0.0,1.0,0.0,2.0
11,"Well, it's understandable that you would want to look for new ways to manage the anxiety that you have while you're eating.",1.0,0.0,0.0,1.0,0.0,2.0
12,"Well, it's understandable that you would want to look for new ways to manage the anxiety that you have while you're eating.",1.0,0.0,0.0,1.0,0.0,2.0
13,"Well, it's understandable that you would want to look for new ways to manage the anxiety that you have while you're eating.",1.0,0.0,0.0,1.0,0.0,2.0
14,"Well, it's understandable that you would want to look for new ways to manage the anxiety that you have while you're eating.",1.0,0.0,0.0,1.0,0.0,2.0
15,"Well, it's understandable that you would want to look for new ways to manage the anxiety that you have while you're eating.",1.0,0.0,0.0,1.0,0.0,2.0
16,"Well, it's understandable that you would want to look for new ways to manage the anxiety that you have while you're eating.",1.0,0.0,0.0,1.0,0.0,2.0
17,"Well, it's understandable that you would want to look for new ways to manage the anxiety that you have while you're eating.",1.0,0.0,0.0,1.0,0.0,2.0
18,"Well, it's understandable that you would want to look for new ways to manage the anxiety that you have while you're eating.",1.0,0.0,0.0,1.0,0.0,2.0
19,"Well, it's understandable that you would want to look for new ways to manage the anxiety that you have while you're eating.",1.0,0.0,0.0,1.0,0.0,2.0
