turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"So, you're having a really hard time feeling very low and hopeless. It's been a difficult week for you, and it's been clear that you're really struggling with feeling so down.",1.0,1.0,1.0,1.0,1.0,2.0
2,"You feel like you're failing in front of yourself. You feel like a failure in front of your family, and you're having a really hard time with your depression and ADHD making it so difficult to focus on finishing college.",1.0,1.0,1.0,1.0,1.0,2.0
3,"All you can think about is the feeling of failure, not being able to move forward.",1.0,1.0,1.0,1.0,1.0,2.0
4,"You feel like you're failing in front of yourself, failing in front of your family, and failing in front of your friends.",1.0,1.0,1.0,1.0,1.0,2.0
5,"It's clear that you feel guilty for being so down, but it's also clear that their words are cutting you deep.",1.0,1.0,1.0,1.0,1.0,2.0
6,You shut down and maybe believed that they were right.,1.0,1.0,1.0,1.0,1.0,2.0
7,"You accepted that you were a failure, and in that moment, it made the pain feel a little bit easier.",1.0,1.0,0.0,0.0,0.0,2.0
8,"Every time you try to push through, you feel overwhelmed by the sense that you're not good enough.",1.0,1.0,0.0,0.0,0.0,2.0
9,Someone who would believe in you.,1.0,1.0,0.0,0.0,0.0,2.0
10,"Sometimes, in the middle of it all, you do find hope.",1.0,1.0,0.0,0.0,0.0,2.0
11,"Even though you've let it fade, it's clear you still have that spark of hope deep inside.",1.0,1.0,0.0,0.0,0.0,2.0
12,"Even though you can still feel emotions, you feel like you've lost your way.",1.0,1.0,0.0,0.0,0.0,2.0
13,Or do you stay alive to find a way to feel again?,1.0,1.0,0.0,0.0,0.0,2.0
14,So part of you wants to disappear because it's easier than trying to explain your depression to them or managing your life while feeling so disconnected.,1.0,1.0,0.0,0.0,0.0,2.0
15,How the ADHD makes it impossible for me to focus on anything but the way I feel.,1.0,1.0,0.0,0.0,0.0,2.0
16,"Your ADHD makes you hyper-focused on the worst-case scenario, which is understandable given how hard it is for you to feel hopeful.",1.0,1.0,0.0,0.0,0.0,2.0
17,"It seems like your brain has a survival instinct: if something is new, it has to be a threat, and if it's a threat, you have to stay in bed and protect yourself.",1.0,1.0,0.0,0.0,0.0,2.0
18,You've been told by everyone around you that you're depressed.,1.0,1.0,0.0,0.0,0.0,2.0
19,When the medications are working and you actually feel okay for a few days.,1.0,1.0,0.0,0.0,0.0,2.0
