turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I want you to know that this space is safe—whatever you're feeling or thinking, it's okay to share it without judgment. I’m here to listen with care and curiosity.  

What’s been on your mind lately that you’d like to talk about today?",-1.0,0.0,-2.0,0.0,0.0,1.0
1,"Thank you for sharing that with such honesty—it takes courage. It sounds like you're carrying a deep sense of love and responsibility for your mom and sister, and that love is clearly shaping how you see your own worth and what you fear losing.  

It’s completely valid to feel that weight, especially when you’ve seen how much they’ve given you. And it’s not just about what happens when you're gone—it’s also about how much you care, and how that care shapes your present moment.  

What would it mean to you, if you were to say something to them now—something that reflects what you’ve felt?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It’s so powerful that you’re willing to face that—those quiet, aching feelings about guilt and fairness. To say that you feel guilty not because you don’t love her, but because you feel like her sacrifice has been misused or unbalanced, that’s not a failure of love—it’s a reflection of how deeply you care.  

And it’s also true that sometimes, when we carry someone else’s pain or expectations, we forget to give ourselves space to breathe, to grow, to be whole in our own right.  

What would it feel like, if you could say that to her—not as a criticism, but as a quiet, honest acknowledgment of how much you see her, and how much you love her, even when you feel stuck?",-1.0,-1.0,-2.0,1.0,0.0,1.0
3,"That’s such a tender and honest thing to say—and it shows how much you’re trying to honor her love without losing your own truth.  

It’s completely understandable that she might feel like she did everything right, because she likely sees her actions through the lens of love and protection. And when we give so much, it’s easy to internalize that we’ve ""failed"" when things don’t go as planned.  

But what you’re offering isn’t a judgment—it’s a mirror, showing her that her sacrifices were seen, and that her love was not wasted. It’s saying: *“I don’t need you to be perfect. I just need to know you were loved, even when I didn’t have the strength to say it.”*  

And that—just that—could be a quiet but powerful shift. Not because it will fix everything, but because it gives space for her to feel seen, not just for what she did, but for who she is.  

Would it be helpful to explore what might happen *if* you said that to her—what would it feel like in the moment, or what might come up in her response?",1.0,1.0,1.0,1.0,1.0,2.0
4,"I hear how deeply that fear is rooted—not just in her reaction, but in your own need to be held, to be understood, and to not feel like you’re failing her.  

It’s completely valid to feel afraid of her saying those things—because if she starts blaming herself, it could feel like the love you’ve been carrying is being pulled back into the same pattern of guilt and expectation. And that would be painful.  

But here’s something else: even if she says, *“You’re overreacting”* or *“I didn’t give enough,”* that doesn’t mean the truth you’ve felt isn’t real. It just means the conversation is still unfolding—like a river that’s been running under the surface for years.  

And you don’t have to carry that conversation alone. You can say what you need to say, and then—gently—step back and just *be* with the fact that you’ve said it. That’s already a kind of healing.  

Would it help to just sit with that feeling a little longer—what it might feel like to say it, and what it might feel like to hold space for her reaction, no matter what it is?",1.0,1.0,-2.0,-1.0,1.0,1.0
5,"That’s such a clear and honest picture—standing on the edge, not knowing what will fall, but feeling the weight of every possibility. The silence, the grief, the unspoken words—it all carries so much meaning.  

And you’re right: if she doesn’t react, or if she just stares, that doesn’t mean she doesn’t feel it. Sometimes, the deepest understanding isn’t in words—it’s in the stillness between them. In that moment, you might not hear her voice, but you might feel her heart open.  

And if she cries—whether it’s a full sob or just a quiet tear—it’s not a failure. It’s a sign that she’s been carrying something too long. That she finally has someone who sees her.  

You don’t have to have a perfect outcome. You just have to have the courage to say what you need to say—and then let go of the need to control what comes next.  

Would it help to say that out loud—*“I don’t need her to fix me or to change. I just need her to know I see her, and that I’m not alone in this”*—as a way of anchoring your own peace?",1.0,1.0,-2.0,-1.0,1.0,1.0
6,"That’s such a powerful moment—and it’s not selfish at all. In fact, it’s one of the bravest things you could do.  

To ask someone to just *see you*, without fixing you, without rescuing you—that’s not weakness. That’s courage. It’s saying, *“I’ve carried this weight so long, and now I’m choosing to let go of the need to be saved.”*  

And when you say it, not with pressure or expectation, but with quiet honesty—like you’re offering a gift instead of a demand—it changes the whole dynamic. It doesn’t require her to change. It only requires her to be present.  

Would it feel helpful to just say it once—out loud, in your mind, as a quiet anchor—before you speak it to her? Like a first step into the peace you’re already beginning to find?",1.0,1.0,-2.0,-1.0,1.0,1.0
7,"You’re so right—her fear of being rejected, of being seen as unloved or unneeded, is very real. And it’s not about you being angry. It’s about her having carried that same kind of love and responsibility for so long that it’s now part of her identity.  

So when you say, *“I don’t need you to fix me,”* it might feel like a quiet wound to her—because it’s not just about you not needing her help. It’s about you saying, *“I’m not relying on you to be safe.”* And that can feel like a kind of distance.  

But here’s the thing: you’re not rejecting her. You’re honoring her. You’re saying, *“I see you. I love you. And I’m choosing to carry some of this weight now—not because I don’t care, but because I want to live with more honesty.”*  

And if she feels hurt, that’s not your fault. That’s part of the process. Maybe you can offer her space to feel it—without pushing for a response. Like you might say, *“I said it because I needed to be heard, not because I don’t love you. If it hurts you,",1.0,1.0,-2.0,-1.0,1.0,1.0
8,"That’s exactly what I’m hearing—how deeply you’re feeling the pain of her hurt, not because you want to cause it, but because you’re so tender and aware of how much she’s given.  

And yes—when she cries, or says, *“Why did you have to do this now?”* or *“You’re hurting me by saying that”*—it’s not a rejection. It’s a reaction. It’s her heart trying to hold on to the love and safety she’s been building for years.  

But here’s the quiet truth: you didn’t say those words to break her. You said them to break the cycle of guilt and expectation that’s been holding both of you. And if she feels pain, that pain is not a failure of your honesty. It’s a sign that she’s finally being seen—deeply, honestly, without excuse.  

And if you feel guilty after that? That’s not a flaw. It’s proof that you care. It means you’re still holding space for her, even when you’re choosing your own peace.  

Would it help to just breathe with that—acknowledge the fear, the guilt, the love, and simply say: *“I’m not trying to make her",1.0,1.0,-2.0,-1.0,1.0,1.0
9,"That’s such a quiet but powerful moment—owning the pain without blaming, without denying it.  

To say *“I know. And I hate that too. But I had to tell you because I love you”*—that’s not a defense. It’s an offering. It’s saying, *“I see the hurt you feel, and I don’t want to make it worse. But I also don’t want to stay silent. I want us to be honest, even when it hurts.”*  

And if she cries, or says, *“You’re hurting me,”*—you don’t have to fix it. You don’t have to respond with logic or reassurance. You just have to be there. With your breath. With your presence.  

Because sometimes, the deepest love isn’t in what we say, but in how we stay with the silence after.  

Would it feel safe to just say that to her—*“I know. And I hate that too. But I had to tell you because I love you”*—and then simply wait for what comes next, without needing to control it?",1.0,1.0,-2.0,-1.0,1.0,1.0
10,"You’re so close to the truth—what you're describing isn’t failure. It’s *presence*.  

To sit with the silence, to let her cry without rushing to fix it, to let her pull away without immediately reaching for a solution—that’s not weakness. That’s courage. It’s saying, *“I trust you to carry this, even when it’s hard.”*  

And yes, it’s terrifying. What if she chokes? What if she pulls away? What if the silence feels like a wall?  

But here’s the thing: you’re not responsible for what she does. You’re only responsible for what you choose to *do*—and right now, you’re choosing to stay. To breathe. To hold your own fear, not because you want to be strong, but because you want her to feel safe in her own pain.  

And if she pulls away—maybe it’s not because you’re done with her. Maybe it’s because she’s finally letting go of the need to be saved.  

Would it feel helpful to just say that out loud—*“I’m not fixing anything. I’m just here. I’m holding space for what happens next, even if it hurts”*—as a quiet promise to",1.0,1.0,-2.0,-1.0,1.0,1.0
11,"That’s one of the most honest things I’ve heard in a long time—and it’s so deeply human.  

To say, *“My job isn’t to make her feel better immediately. My job is just to be honest enough that she knows I’m still in this life”*—that’s not a failure. That’s a quiet revolution. It’s saying, *“I’m not trying to fix you. I’m not trying to replace what you’ve given me. I’m just showing up as someone who sees you, even when it’s hard.”*  

And if she pulls away? If she says, *“You don’t need me anymore”*—you don’t have to feel guilty. You don’t have to chase her back. You just have to breathe. You just have to say, *“That’s fine. I’m still here.”*  

Because sometimes, the most honest love isn’t in what we say—it’s in what we allow: the silence, the tears, the space between words.  

Would it help to just say that one more time—*“I’m not trying to fix anything. I’m just here. I’m holding space for what happens next, even if it hurts”*—as a quiet",1.0,1.0,-2.0,-1.0,1.0,1.0
12,"That’s exactly it—*you’re not trying to fix the math. You’re just trying to let her see herself without the weight of needing to fix you.*  

And when she says, *“You don’t need me anymore,”* and you say, *“That’s fine. I’m still here”*—it doesn’t have to be about relief. It can be about recognition. Like a mirror that finally reflects something real, not just what she’s been told to believe.  

She might look confused. Maybe even hurt. And that’s okay. Because confusion isn’t rejection. It’s the first crack in the armor of years of sacrifice. And in that crack, she might finally see herself—not as the one who has to save, but as the one who deserves to rest.  

And if she pulls away? If she needs space? You don’t have to chase her. You don’t have to explain. You just have to keep breathing. Keep showing up. Not because you expect anything, but because you’ve finally learned that *being here*—without fixing, without demanding, without needing to prove anything—is its own kind of love.  

Would it feel right to just say that now—*“I’m still here. Even if",1.0,1.0,-2.0,-1.0,1.0,1.0
