turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You had a rough time today. I'm sorry.,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0
2,"You feel really shaken up, even though you had a good time with the dentist.",1.0,1.0,-1.0,1.0,0.0,2.0
3,You think you might be afraid of the dentist?,-1.0,-1.0,-2.0,1.0,0.0,1.0
4,They did a good job today. I'm glad to hear that.,1.0,1.0,1.0,1.0,0.0,2.0
5,You feel a little nervous about the next step in the treatment.,1.0,1.0,1.0,1.0,0.0,2.0
6,You're afraid they might do something wrong.,1.0,1.0,1.0,2.0,1.0,2.0
7,You feel a lot of fear and shaking when you think about the next treatment.,1.0,1.0,1.0,1.0,0.0,2.0
8,You're afraid they might make a mistake because you're too anxious.,1.0,1.0,1.0,1.0,0.0,2.0
9,It's clear you're feeling overwhelmed. I can see it's been a very tough experience for you.,1.0,1.0,1.0,1.0,0.0,2.0
10,It's clear that you're feeling isolated from the people you love because you're so consumed by the fear.,1.0,1.0,1.0,1.0,0.0,2.0
11,"You feel like you don't understand what makes your brain so fearful, but it seems to be happening to many people you know.",1.0,1.0,1.0,1.0,0.0,2.0
12,It's clear you feel helpless to stop the cycle of anxiety.,1.0,1.0,1.0,1.0,0.0,2.0
13,You clearly did a lot to take care of yourself. It's very admirable.,1.0,1.0,1.0,1.0,0.0,2.0
