turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to this conversation with you. I want you to know that whatever you're feeling or bringing up today, I'm here with curiosity, care, and without judgment.  

What’s been on your mind lately that you’d like to share with me today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"I hear how heavy this all feels—like you're carrying something so heavy it’s hard to move, even to breathe. It’s completely okay to feel stuck, to feel like nothing works anymore. And it’s not your fault that life feels like a corpse right now—your body and mind are just overwhelmed, and that’s real, and it’s valid.  

What part of that feeling do you find most difficult to carry, when you’re sitting here in that silence?",1.0,1.0,1.0,1.0,1.0,2.0
2,"I hear how much that silence is eating at you—the quiet where no one is trying, and no one is connecting, even when they’re right there. It’s not just the lack of words or actions, but the way it feels like your whole world has stopped responding to your needs. And it’s really hard when you’re trying to care for everyone, and it just feels like you’re being ignored or dismissed.  

When you say he only asks for things that cost money, what does that say about how he sees the world—or how he sees you? And what do you wish you could say to him, even if you don’t say it out loud?",1.0,1.0,1.0,1.0,1.0,2.0
3,"I can feel how much that disconnect hurts—you're not just seeing his choices, you're seeing a gap between what he needs and what your family is carrying. And it’s not about blame; it’s about a deep sense of being unseen, even when you’re trying to show up.  

What would it mean, in that moment, if he *did* hear you—just once—say something like, “I see you, and I’m not asking you to fix everything, but I just want you to know I’m here, even when things feel heavy?” Would that small thing feel like a start?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s so powerful—the way you’re carrying that wish not as a demand, but as a gentle offering. It’s not about changing him, it’s about giving him a space to see you as someone who sees him, too—without needing to fix or control.  

And that small moment, if it happened, wouldn’t have to change everything. It might just be the first crack in the wall. What would it feel like, in that quiet moment, if he didn’t respond with words, but just… stayed still, or looked at you with a little pause, like he’d heard something real?",1.0,1.0,1.0,1.0,1.0,2.0
5,"And that’s so true—safety doesn’t have to last forever, and it doesn’t have to change everything. But in that one quiet moment, when he just pauses and doesn’t push back, it becomes something real. Not a fix, not a solution, but a small breath of connection.  

And knowing that moment exists—even if it’s just a pause—might be enough to keep the silence from feeling like it’s eating you alive. What do you hope to do with that moment, when it happens? Not to change things, but just to hold it?",1.0,1.0,0.0,0.0,0.0,2.0
6,"That’s such a quiet but profound thing to hold—just a moment where you’re seen, not because you did something, but because you were simply *there*. And it’s not about fixing anything. It’s about remembering that being seen, even for a second, can be a kind of strength.  

So if that pause happens, and you can just let yourself rest in it—without needing to say more or do more—what would it mean to you to *keep that feeling* with you, even when the day gets hard again?",1.0,1.0,0.0,0.0,0.0,2.0
7,"That’s so gentle, so brave—carrying that small spark like a pocket ember, not to change everything, but to keep yourself warm in the cold.  

And it would let you know that connection doesn’t have to be loud or perfect. It just has to show up, even once, to remind you that you are not alone in the struggle. That moment of being seen—however brief—becomes a quiet anchor, not a promise of change, but a promise that you’re allowed to feel, to rest, to be human.  

Would it be okay to say that to yourself, when the day gets hard again? Just to whisper it back to yourself: *“He paused once. I was seen. That’s enough.”*",1.0,1.0,0.0,0.0,0.0,2.0
8,"That’s so powerful—finding value not in fixing, but in simply remembering that you were seen. And that small truth? It doesn’t need to be loud or perfect. It just needs to be true in the quiet moments when your body is tired and your mind is racing.  

So when the silence comes back, and the thoughts start to flood in—just let yourself pause. Breathe. And say it softly, like a quiet promise to yourself: *“He paused once. I was seen. That’s enough.”*  

That’s not weakness. That’s courage. And in that breath, you’re already holding space for yourself—without needing to earn it.",1.0,1.0,0.0,0.0,0.0,2.0
9,"Yes—those quiet moments aren’t just small; they’re sacred. And they’re not about what he did or didn’t do, but about what you allowed yourself to feel: that you were seen, even briefly.  

So when your mind says, *""He just stared at the wall,""* or *""What if he says something mean?""*—you can gently reply: *“That’s not the point. The point is that I felt seen, and that’s enough to hold onto.”*  

And if you can start treating those moments like small gifts—like breaths of peace in a storm—then you’re not just surviving. You’re beginning to live with more kindness, even when the world feels heavy. Would it be okay to say that to yourself, just once, when the thoughts come back? Not to fix anything, just to say: *“I felt seen. That’s enough.”*",1.0,1.0,0.0,0.0,0.0,2.0
10,"That’s exactly it—whispering it isn’t about changing anything. It’s about finally allowing yourself to rest, not because the world is fixed, but because you’ve already held a small piece of peace.  

And that permission slip? It doesn’t have to be loud. Just one breath. One quiet word. *“I felt seen. That’s enough.”*  

When your body feels heavy, and your mind wants to shut down—let that whisper be the first thing you reach for. Not to fix the silence, but to say: *“I am not failing. I am not alone. I am allowed to feel.”*  

Would you try that now, just for a moment—without judgment, without pressure? Just to feel it in your body?",1.0,1.0,0.0,0.0,0.0,2.0
11,"That’s exactly how it begins—quiet, fragile, and real.  

And yes, your brain might go back to the noise, because that’s where it’s been trained to live. But just saying those words—*“I felt seen. That’s enough”*—doesn’t have to last forever. It only needs to land once. To show up in your body as a small truth.  

And when it does, even if just for a second, your shoulders might soften. Your chest might loosen. Because you’ve already given yourself permission to rest. Not because the world is fixed, but because you chose to believe that one moment mattered.  

Would you like to say it again—just for yourself, in this moment? Not to change anything, just to feel it settle in?",1.0,1.0,0.0,0.0,0.0,2.0
12,"That’s such a quiet, deep act of care—choosing to feel okay, even when the world feels heavy.  

And you didn’t have to fix anything. You didn’t have to make it better. You just had to say it, softly, like a breath returning to your body.  

That moment—*“I felt seen. That’s enough”*—isn’t a promise. It’s a permission. A quiet, steady reminder that you are allowed to rest, to feel, to be human.  

And in that, you’re not failing. You’re just showing up—gently, fully—for yourself.  

Would you like to keep holding that with you, even when the thoughts come back? Just as a quiet anchor in the storm?",1.0,1.0,0.0,0.0,0.0,2.0
13,"Yes—that’s exactly it.  

The anchor doesn’t need to stay dry. It just needs to be there, ready to be reached when you’re pulled under. Not to stop the waves, but to remind you that you’re not alone in the water.  

And you don’t have to ""succeed"" at holding it. You just have to *remember* it exists. Like a favorite song in your chest. Like a hand on your shoulder when you don’t even know you need it.  

So when the noise returns, you can say it softly—*“I felt seen. That’s enough.”*—not to fix anything, just to say: *“I’m still here. I’m still breathing. I’m still allowed to feel.”*  

That’s not weakness. That’s wisdom.  

Would you like to carry that with you today—like a quiet breath between the thoughts?",1.0,1.0,0.0,0.0,0.0,2.0
14,"That’s such a quiet, powerful shift—moving from trying to fix everything to simply *holding space* for yourself.  

And yes, that phrase—*“I felt seen. That’s enough”*—doesn’t have to be loud or perfect. It just has to be there, like a soft light in a dark room. A tiny signal that says: *“You’re not broken. You’re not failing. You’re simply human.”*  

When the noise rises and your chest tightens, you can reach for it—not as a solution, but as a moment of truth. A pause. A breath. A reminder that even in the heaviness, something real happened.  

Would you like to try it again now—just for a moment—when the thoughts come in? Not to change them, just to say it softly, like a quiet anchor in the storm?",1.0,1.0,0.0,0.0,0.0,2.0
