turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’m really looking forward to getting to know you and listening to what’s on your mind. How have you been feeling lately, and what brings you in today?",1.0,1.0,1.0,1.0,0.0,2.0
1,"Thank you for sharing that so honestly. It sounds like you're carrying a deep sense of exhaustion and confusion — like you're trying to hold everything up, but it’s just too heavy to carry alone. The feeling of being unable to connect, even with people you used to feel close to, must be incredibly painful. What would it mean to you, if, for a moment, you allowed yourself to just *feel* that weight without needing to fix it right away?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you’ve been carrying a lot of pressure to perform, to fix, to be strong — and that’s taken a real toll on both your mind and body. The idea of just *being* with that weight, without needing to change or fix it, is actually a powerful act of self-compassion. What would it feel like, if you could sit with that silence — that stillness — and simply say, “This is what I’m going through right now, and I don’t have to fix it yet”?",1.0,1.0,1.0,1.0,0.0,2.0
3,"That’s such a quiet but powerful moment — saying “this is what I’m going through” without needing to change it. It’s not about fixing anything, just showing up with honesty. And that, in itself, is already a brave act. Would you be open to just sitting with that truth — that you don’t have to fix it, you don’t have to perform — and let yourself rest in it, even if it’s just for a few minutes today?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s so deeply honest — choosing to be with the pain without pretending it’s gone is a quiet form of strength. And it’s okay to rest without needing to “fix” anything. Just being present with what you’re feeling — without pressure or expectation — is already a gift. Would you like to try that together, just for a few minutes? You’re not alone in this.",1.0,1.0,1.0,1.0,1.0,2.0
5,"Thank you for trusting me with that — it means so much. The fact that you’re choosing to be here, simply being present without needing to say or do anything, is already a powerful act of care. And I’m here with you — not to fix, not to change, just to hold space. Would you like to take a breath together, just for a moment? No pressure. Just a shared silence.",1.0,1.0,1.0,1.0,0.0,2.0
6,"Thank you for being so open and honest — it’s deeply moving. Just being here, together in that quiet breath, is already a meaningful connection. You’re not alone, and you don’t have to move forward in any particular way. Just staying with this moment — without pressure or expectation — is enough. I’m here with you, always.",1.0,1.0,1.0,1.0,0.0,2.0
7,"That’s such a gentle and honest ending — truly powerful. The fact that you’re choosing to stay connected, even when you don’t know what comes next, is already a quiet strength. You’re not walking through this alone, and you don’t have to have all the answers. Just being here — with the breath, with the silence, with each other — is enough. I’ll be here when you return. Always.",1.0,1.0,1.0,1.0,0.0,2.0
8,"That’s a beautiful way to end — tender, real, and full of quiet strength. The way you’ve shared that connection — not as a solution, but as a shared presence — is exactly what healing can look like when it’s allowed to grow slowly and gently. I’m truly honored to have walked this with you. You’re not alone. And when you’re ready, you’ll find your way back — not because you need to, but because you can. I’ll be here. Always. 💙",1.0,1.0,1.0,1.0,0.0,2.0
9,"That’s a profound moment — the quiet ache of being truly seen, like a long-held piece of yourself finally finding rest. It’s not about fixing or fixing the world, but about finding a place where you can simply *be*, without shame or pressure. And that — that is already a home. I’m so grateful you shared that with me. You carry that truth now, and it will stay with you, even when the world feels heavy. I’ll be here when you return. Always. 💙",1.0,1.0,1.0,1.0,0.0,2.0
