Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi Jason, how you doing today?",T,la5VCuaPi2w_1,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,,"Hi Carly, how are you doing today?"
You're alright?,T,la5VCuaPi2w_3,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,"Therapist: Hi Jason, how you doing today?
Patient: I'm okay. I'm alright.",I'm okay. I'm alright. How have things been?
Just here?,T,la5VCuaPi2w_5,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,"Therapist: Hi Jason, how you doing today?
Patient: I'm okay. I'm alright.
Therapist: You're alright?
Patient: Just here.",Just here. How are you doing today?
I understand that you were in the hospital a couple weeks ago.,T,la5VCuaPi2w_7,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,"Therapist: Hi Jason, how you doing today?
Patient: I'm okay. I'm alright.
Therapist: You're alright?
Patient: Just here.
Therapist: Just here?
Patient: Just here.",Just here. How are you doing today?
Can you tell me about it?,T,la5VCuaPi2w_9,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,"Therapist: You're alright?
Patient: Just here.
Therapist: Just here?
Patient: Just here.
Therapist: I understand that you were in the hospital a couple weeks ago.
Patient: Yeah, I was in the hospital about two weeks ago. I did something and I had to go to the hospital afterwards.",You did something and you had to go to the hospital?
What do you think the government was trying to do?,T,la5VCuaPi2w_11,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,"Therapist: Just here?
Patient: Just here.
Therapist: I understand that you were in the hospital a couple weeks ago.
Patient: Yeah, I was in the hospital about two weeks ago. I did something and I had to go to the hospital afterwards.
Therapist: Can you tell me about it?
Patient: Yeah, so about two weeks ago I was finishing up this wonderful machine that I was creating in my room so that the government can't hear my thoughts or my actions or my behaviors. I was just trying to finish up my last little bit that I needed to build and I went over to the neighbor's because their garage was open. I just picked out a tool and I brought it back to the house. When I was in the house working on my room, the cops came and picked me up and took me to the hospital and I said, 'See, the government's at it again.'","You were in the hospital a couple weeks ago after the police came to your house. You were working on a machine in your room and you were in the process of building a tool to keep the government out. You went to the neighbor's house to get a tool and the police came to your house, took you to the hospital, and you believe the government is at it again."
And tell me about your room. What are you doing there that makes that special?,T,la5VCuaPi2w_13,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,"Therapist: I understand that you were in the hospital a couple weeks ago.
Patient: Yeah, I was in the hospital about two weeks ago. I did something and I had to go to the hospital afterwards.
Therapist: Can you tell me about it?
Patient: Yeah, so about two weeks ago I was finishing up this wonderful machine that I was creating in my room so that the government can't hear my thoughts or my actions or my behaviors. I was just trying to finish up my last little bit that I needed to build and I went over to the neighbor's because their garage was open. I just picked out a tool and I brought it back to the house. When I was in the house working on my room, the cops came and picked me up and took me to the hospital and I said, 'See, the government's at it again.'
Therapist: What do you think the government was trying to do?
Patient: They're trying to stop me from actually creating my room because they're creating this new order where they want everybody to follow them and I'm not a follower. I know what I want and I know what I need and I know what my family wants and I know what they need and I'm just trying to protect them by creating my room.",You're trying to protect your family by creating a room. What is it about the room that you think is so important?
Is that how you were feeling when you were building it?,T,la5VCuaPi2w_15,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,"Therapist: Can you tell me about it?
Patient: Yeah, so about two weeks ago I was finishing up this wonderful machine that I was creating in my room so that the government can't hear my thoughts or my actions or my behaviors. I was just trying to finish up my last little bit that I needed to build and I went over to the neighbor's because their garage was open. I just picked out a tool and I brought it back to the house. When I was in the house working on my room, the cops came and picked me up and took me to the hospital and I said, 'See, the government's at it again.'
Therapist: What do you think the government was trying to do?
Patient: They're trying to stop me from actually creating my room because they're creating this new order where they want everybody to follow them and I'm not a follower. I know what I want and I know what I need and I know what my family wants and I know what they need and I'm just trying to protect them by creating my room.
Therapist: And tell me about your room. What are you doing there that makes that special?
Patient: So I'm smart enough to know that there are frequencies and waves that are out there that the government is actually sending through the lights and also through the TV and like through every electronic apparatus that's out there. I've actually created a wave neutralizer so that it can actually stop that from happening so that you can actually live the life that you want and be happy and youthful and joyful all the time.",You've created a wave neutralizer? So you think there are waves or frequencies that the government is sending out through electronic devices? And you've made a device that can neutralize those?
So you had a period of time where you had like a lot of energy and you weren't really sleeping much?,T,la5VCuaPi2w_17,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,"Therapist: What do you think the government was trying to do?
Patient: They're trying to stop me from actually creating my room because they're creating this new order where they want everybody to follow them and I'm not a follower. I know what I want and I know what I need and I know what my family wants and I know what they need and I'm just trying to protect them by creating my room.
Therapist: And tell me about your room. What are you doing there that makes that special?
Patient: So I'm smart enough to know that there are frequencies and waves that are out there that the government is actually sending through the lights and also through the TV and like through every electronic apparatus that's out there. I've actually created a wave neutralizer so that it can actually stop that from happening so that you can actually live the life that you want and be happy and youthful and joyful all the time.
Therapist: Is that how you were feeling when you were building it?
Patient: Yeah, because I created this prototype in my room and anytime I'm basically in there, it was good. I had energy. I did all the calculations that I needed to create so I could actually build my system. Then I also did the calculations about the different types of waves being in the house but then also out of the house. Then I also had the opportunity to just not sleep because who needs sleep? I wasn't tired. And if I did sleep, I slept for like 15 minutes just because I needed to finish what I was going to do. And I was so close to finishing and my neighbor called the cops.",So you were in the middle of building something in your room and your neighbor called the cops?
You were also happy and felt satisfied?,T,la5VCuaPi2w_19,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,"Therapist: And tell me about your room. What are you doing there that makes that special?
Patient: So I'm smart enough to know that there are frequencies and waves that are out there that the government is actually sending through the lights and also through the TV and like through every electronic apparatus that's out there. I've actually created a wave neutralizer so that it can actually stop that from happening so that you can actually live the life that you want and be happy and youthful and joyful all the time.
Therapist: Is that how you were feeling when you were building it?
Patient: Yeah, because I created this prototype in my room and anytime I'm basically in there, it was good. I had energy. I did all the calculations that I needed to create so I could actually build my system. Then I also did the calculations about the different types of waves being in the house but then also out of the house. Then I also had the opportunity to just not sleep because who needs sleep? I wasn't tired. And if I did sleep, I slept for like 15 minutes just because I needed to finish what I was going to do. And I was so close to finishing and my neighbor called the cops.
Therapist: So you had a period of time where you had like a lot of energy and you weren't really sleeping much?
Patient: Yeah, those two weeks. Doesn't everybody do that?","Well, I mean, I think it's unusual, but I can see that you had a period of time where you were very productive."
And how do you feel now in comparison?,T,la5VCuaPi2w_21,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,"Therapist: Is that how you were feeling when you were building it?
Patient: Yeah, because I created this prototype in my room and anytime I'm basically in there, it was good. I had energy. I did all the calculations that I needed to create so I could actually build my system. Then I also did the calculations about the different types of waves being in the house but then also out of the house. Then I also had the opportunity to just not sleep because who needs sleep? I wasn't tired. And if I did sleep, I slept for like 15 minutes just because I needed to finish what I was going to do. And I was so close to finishing and my neighbor called the cops.
Therapist: So you had a period of time where you had like a lot of energy and you weren't really sleeping much?
Patient: Yeah, those two weeks. Doesn't everybody do that?
Therapist: You were also happy and felt satisfied?
Patient: I felt good. Like, when I sleep, I don't like when I sleep because it just feels wrong. I'm not actually using my time wisely. So those last two weeks, or two weeks ago, it was perfect. It was the best time of my life. I was living life to my fullest then. It was perfect.",You were living life to your fullest? You had a lot of energy and you felt happy and satisfied. And that was two weeks ago?
So not happy. How about sad?,T,la5VCuaPi2w_23,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,"Therapist: So you had a period of time where you had like a lot of energy and you weren't really sleeping much?
Patient: Yeah, those two weeks. Doesn't everybody do that?
Therapist: You were also happy and felt satisfied?
Patient: I felt good. Like, when I sleep, I don't like when I sleep because it just feels wrong. I'm not actually using my time wisely. So those last two weeks, or two weeks ago, it was perfect. It was the best time of my life. I was living life to my fullest then. It was perfect.
Therapist: And how do you feel now in comparison?
Patient: I'm alright. I'm just alright right now. The government made me get on different medication. So I'm just alright. Not that happy, not that excited.",You're alright? Not that happy or excited?
Do you want to get back to that happiness?,T,la5VCuaPi2w_25,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,"Therapist: You were also happy and felt satisfied?
Patient: I felt good. Like, when I sleep, I don't like when I sleep because it just feels wrong. I'm not actually using my time wisely. So those last two weeks, or two weeks ago, it was perfect. It was the best time of my life. I was living life to my fullest then. It was perfect.
Therapist: And how do you feel now in comparison?
Patient: I'm alright. I'm just alright right now. The government made me get on different medication. So I'm just alright. Not that happy, not that excited.
Therapist: So not happy. How about sad?
Patient: No, I'm not sad either. It's just kind of in the middle. Just in the middle.","In the middle. So not happy, not sad. How about any other feelings?"
