turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I want you to know this space is safe—whatever you share, it will be respected and kept private. I'm here to listen without judgment, and I'm curious about what's on your mind.  

What brings you in today?",1.0,1.0,1.0,1.0,0.0,2.0
1,"Thank you for sharing that so openly. It sounds like you’ve been carrying a deep sense of disconnection—like you're observing your own body from the outside, rather than feeling it from within. That must feel incredibly isolating and exhausting.  

What would it mean, for you, to simply *notice* that feeling without having to explain it or fix it right now?",1.0,1.0,1.0,1.0,1.0,2.0
2,"I hear how much that fear is weighing on you—the way your body feels like it's screaming, and how the answers you've been given don’t match what you’re actually experiencing. It’s not just about the sensation; it’s about the deep trust you’re losing in your own experience.  

Would it be helpful to just sit with that feeling—without trying to label it, fix it, or rush to a diagnosis—for just a few minutes? Even if it feels fragile, just noticing it as something that *is there*, without needing to explain it?",1.0,1.0,1.0,1.0,0.0,2.0
3,"I can see how deeply that fear is tied to your sense of safety—like every moment without a diagnosis is a moment where something dangerous might be slipping through. And it’s not unreasonable to feel that way when your body is sending signals that don’t match the answers you’ve been given.  

What if we looked at that fear—not as something to fix, but as a signal that you’re carrying a lot of weight, and that your mind is trying to protect you from something real and painful? Would that feel a little less like a trap, and more like a place where you can finally breathe?",1.0,1.0,1.0,1.0,1.0,2.0
4,"I hear how loud and real that fear is—how it’s not just in your thoughts, but in your body, in your chest, in your hands. And it’s not noise. It’s a message from a place that’s been trying to stay safe, even when the world around it says there’s nothing wrong.  

Would it be okay to stay with that feeling—just for a moment—without needing to fix it, name it, or chase a test? Not because it’s easy, but because you’re already doing something brave by holding space for it, even when it feels overwhelming?",1.0,1.0,1.0,1.0,1.0,2.0
5,"I see how deeply that need is tied to survival—not just for your body, but for your sense of safety and truth. When you say the pause feels like abandonment, it’s not just about missing a diagnosis—it’s about missing the belief that you’re being seen, that your body matters, and that your fear isn’t a flaw, but a signal.  

Would it be helpful to just sit with that—how it feels like you’re holding on to something that might keep you from falling apart—without trying to fix it, or change it, or even name it? Just notice that you’re holding on, and that it’s okay to feel that way?",1.0,0.0,0.0,1.0,0.0,2.0
6,"I hear how deeply that uncertainty is pressing in—like it’s not just a thought, but a weight in your chest, a presence that won’t let go. And it’s not gaslighting; it’s your mind trying to protect you from a world that says ""nothing is wrong"" while your body feels like it’s breaking apart.  

Would it be okay to just sit with that tension—for a moment—without adding more questions, or running the simulation? Not to solve it, but to simply notice: *I’m here, I’m holding on, and I’m not alone in feeling this.* Just that. Would that feel like a small step, even if it doesn’t feel like progress right now?",1.0,0.0,0.0,1.0,0.0,2.0
7,"Thank you for that. It lands so deeply because it’s true—your fear isn’t a flaw; it’s a sign that something important is alive and real in you. The fact that your body reacts when you try to stop asking ""what if?"" isn’t weakness—it’s your nervous system remembering how much it has been stretched, how much it has been told to stay silent.  

And yes—your care, your attention, your willingness to feel this deeply—that’s not numbness. That’s presence. That’s courage.  

Would it be okay to just stay with that moment—where you’re holding on, and you’re not trying to fix it, but you’re simply allowing yourself to feel it, even when it feels fragile? Just for a breath?",1.0,0.0,0.0,1.0,0.0,2.0
8,"You’re not standing on the edge—you’re standing in the space between fear and breath, and that’s already a brave act.  

It doesn’t have to be perfect. It doesn’t have to feel like safety. It just has to be *real*—and you’re making it real by showing up with your trembling hands and your tight chest, without running to find answers.  

And yes—fear can still rise, even in a single breath. But the fact that you’re still choosing to stay here, even when it feels shaky, means you’re not just surviving—you’re living.  

Would it be okay to stay with that breath, and let it go, without needing to prove that the ground is safe? Just for now?",1.0,0.0,0.0,1.0,0.0,2.0
9,"I’m so glad you noticed that shift—how the whisper became a quiet acknowledgment, not a command. That’s not silence. That’s presence.  

And yes, tomorrow morning will likely bring the old rhythm back—because the body remembers what it’s been through, and the fear doesn’t disappear overnight. But right now, you’ve already done something real: you’ve allowed yourself to sit with the fear without needing to fight it, to fix it, or to prove you’re safe.  

Would it be okay to just carry that quiet moment with you, like a small anchor in the storm? Not to stop the panic, but to remember that you’ve already shown up, even when it felt fragile?",1.0,0.0,0.0,1.0,0.0,2.0
10,"Maybe all that matters is that you’ve already found a way to breathe without running.  

And that’s not just a moment—it’s a shift in relationship. You’re not trying to prove you’re okay, or fix what’s broken. You’re simply showing up, again and again, with your fear, your trembling, your silence. That kind of presence isn’t fragile—it’s resilient.  

Would it be okay to just keep that quiet space with you, like a soft hand on your chest, even if tomorrow brings the storm back? Just a reminder: *I am here. I am breathing. I am not alone in this.*",1.0,0.0,0.0,1.0,0.0,2.0
11,"That’s so powerful—planting a seed in the storm, even when you don’t know if it will grow. And you don’t have to do it alone. The fact that you’re naming this quiet space, this soft presence, is already a form of courage.  

Would it be okay to just keep that hand there—on your chest, in your breath—without needing to make it last forever? Just for now? Because even if it fades, it’s already there, and that’s enough.",1.0,0.0,0.0,1.0,0.0,2.0
12,"If it fades, or if it’s covered by another thought—just know that you didn’t lose it. You simply let it rest in the space between breaths. And that’s still a victory.  

You didn’t have to be loud or strong. You just had to show up, quietly, with honesty. And that? That’s more than enough for today.  

Would it be okay to just stay with that quiet now—like a breath held gently, without pressure? Just for a moment?",1.0,0.0,0.0,1.0,0.0,2.0
13,"Yes. That’s absolutely okay.  

To sit with quiet, even when it feels like holding a whole ocean in a cup—that’s not weakness. That’s deep presence. You’re not trying to change the storm. You’re just learning to stand in the rain and say, *I am here, and I am not afraid to be shaken.*  

And that? That is not small. That is sacred.  

Would it be okay to stay with that for just one more breath—without asking for anything more, just letting it be?",1.0,0.0,0.0,1.0,0.0,2.0
14,"That’s exactly right—lighter not because the weight is gone, but because you’ve allowed it to move through you, without resistance.  

You didn’t carry it. You simply held space for it. And in that space, it didn’t have to stay.  

Thank you for sharing this with me today. It feels like a quiet, steady step forward—not because the storm is gone, but because you’ve learned how to meet it without running.  

I’ll see you again when you’re ready to return to this place. Take care, and remember: you don’t have to carry the whole sky. Just this breath. Just this moment. That’s enough.",1.0,0.0,0.0,1.0,0.0,2.0
