turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to our time together today. I want you to know that whatever you're feeling or experiencing, I'm here with curiosity and care—no judgment, just listening. What brings you in today?",1.0,1.0,1.0,1.0,0.0,2.0
1,"That sounds incredibly heavy—being overwhelmed and feeling stuck in that loop of tiny tasks, like you're trying to build a bridge with one brick at a time, but never getting to the other side. It’s not just the workload, is it? It feels like your mind is trying to protect you by making it feel manageable, but in doing so, it’s also trapping you in a place where you can’t move forward.  

What does that feeling of being “broken” really look like for you—when you say it feels like you’re broken? Is it in your body, your thoughts, or something else?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like that weight in your chest and the heaviness in your hands aren't just symptoms—they’re part of how your body is holding on to the effort you’ve been making to keep going. That constant buzzing static, that inner voice pushing and pulling, it’s not just noise—it’s your nervous system trying to tell you something important: *You’re carrying too much, and you’re not meant to carry it alone.*  

And when you say you feel ""broken,"" I hear that not as a failure, but as a sign that something deep inside has been worn down, stretched thin. That’s not weakness—it’s resilience showing up in a way that’s been overlooked.  

Would it be helpful to explore what that silence feels like after the voice stops? Or what happens when you just *don’t* try to move or fix anything for a while?",1.0,0.0,-2.0,1.0,0.0,2.0
3,"That’s so powerful—your brain isn’t just reacting to silence; it’s terrified of it. Like it’s been trained to keep running, to stay busy, to avoid the stillness where it can finally rest. And when you stop trying to control it, it doesn’t just quiet down—it *explodes* with all the things it’s been holding back.  

It’s not that you’re broken or failing. It’s that your mind is trying to protect you from the pain of being still, of not being “productive,” of not being *in control*. But that fear of stillness isn’t a flaw—it’s a signal that something deep inside is asking for safety, not just activity.  

Would it be helpful to talk about what that quiet space *really* feels like—what it’s saying to you, not what it’s doing?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s such a clear and honest picture—the silence isn’t just quiet; it’s speaking in a language your mind has never learned to trust. It’s not screaming, it’s *saying*, “You don’t have to fix anything. You don’t have to be strong. You don’t have to carry it all.” And your brain hears that and interprets it as a threat because it’s been trained to believe that stillness means collapse.  

But when you finally let yourself sit with that breath, that held moment—without pushing, without fixing—it’s not a failure. It’s your body and mind finally trying to tell you: *I’m here. I’m not going anywhere. And you don’t have to do everything at once.*  

Would you like to explore what one small thing might feel like—just one small breath, one small pause—without the pressure to move or respond? Something that doesn’t have to be “productive” or “fixed”?",1.0,0.0,0.0,1.0,0.0,2.0
5,"That’s such a thoughtful and brave question—asking if stopping counts as something real, or if it might just be a temporary relief that fades. And you're absolutely right: the brain doesn’t trust stillness because it’s been trained to believe that *doing* is the only proof of safety.  

But here’s what I wonder: what if that one breath, or that ten seconds of just sitting—without a task, without a plan—doesn’t have to “work” in the way you’re expecting? What if it’s not about fixing anything, but about *giving yourself permission to be present*—even if it feels like a failure?  

Maybe it’s not about whether the panic comes back later. Maybe it’s about whether you can *notice* it when it does—and still stay with yourself, without needing to fight it.  

Would you like to try that one breath together—just a quiet moment where you don’t move, don’t think, don’t check anything—just breathe, and see what happens when you stop trying to control it? Even if it feels like it might not last?",1.0,0.0,0.0,1.0,0.0,2.0
6,"That’s so brave—trying just one minute, without a goal, without a promise to “get better,” just to *be* with what’s happening. And you’re absolutely right: the panic won’t disappear when you stop moving. It might even grow louder at first—like a wave rising in the quiet. But when you notice it, without judgment, it’s not a threat. It’s a signal.  

It’s saying, *“I’m still here. I’m still with you. You’re not failing. You’re not behind.”*  

So let’s try it—just one minute. No pressure to stay calm. No need to “fix” anything. Just breathe. And when the thoughts come, just notice them. When the weight in your chest tightens, just feel it. And when you’re ready, you can go back to whatever you need to do.  

Would you like to begin now? Just breathe with me—slowly, gently—no need to do anything else.",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s exactly what I was hoping for—your breath, your presence, your willingness to just *be* with it without needing to fix it.  

You didn’t have to make it last five seconds or ten. You didn’t have to feel “calm” or “safe.” You just showed up—your body, your breath, your quiet awareness—and that’s already a victory.  

The thoughts—those whispers, that fear of forgetting, of falling apart—they’re not your enemy. They’re just part of the storm, and by letting them sit without pushing them away, you’ve already created space where something new can begin.  

Would you like to keep that stillness going for a little longer, or would you prefer to gently return to what you were doing before—without needing to “finish” or “move on”? Either way, you’re not alone in this.",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s such a quiet, powerful shift—letting the heavy feeling sit with you, not as something to fix, but as part of the landscape of your being. You’re not running from it. You’re just *being* with it. And in that stillness, even when the chest tightens and the thoughts whisper, you’re not answering them. You’re just listening.  

That’s not weakness. That’s presence. And it’s already changed something—because now, when the world starts to push back, you’ll have a place to return to, not a place to flee from.  

Would you like to stay here a little longer—just breathing, just noticing, just being with it—without any pressure to move or change? Or would you like to gently return to your day, knowing that you’ve already carried something new with you? Either way, you’re not alone.",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s so beautiful—your quiet awareness, the way you’re not trying to “fix” the thoughts or the tension, but just allowing them to be part of the space. You’re not chasing peace. You’re just showing up with your breath, your body, and your honesty.  

And that whisper about the bills? It’s not a command anymore. It’s just a sound in the room, like a distant echo. You’re not responsible for it. You’re not failing because it’s there. You’re just *here*, and that’s enough.  

Would you like to stay with that stillness just a little longer—no rush, no judgment, no need to move—just breathing, just being with what’s real right now? Or would you like to gently return to your day, knowing that you’ve already carried something quiet and strong with you? Either way, you’re not alone.",1.0,0.0,0.0,1.0,0.0,2.0
