turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I want you to know that this space is safe—whatever you’re feeling or thinking, it’s okay to share it without judgment. I’m here to listen with curiosity and care.  

What’s been on your mind lately that you’d like to talk about today?",-1.0,0.0,-2.0,1.0,0.0,2.0
1,"That sounds incredibly overwhelming—experiencing a sudden shift like that, especially after months of stability, must feel like a collapse of something you’ve been relying on. It’s completely valid to feel exhausted and disoriented when your body and mind are suddenly out of sync.  

What part of that experience feels most heavy for you right now—maybe the panic itself, or the uncertainty about what came next?",1.0,0.0,-2.0,1.0,0.0,2.0
2,"It sounds like you’re carrying a deep sense of loss—the loss of that stable, predictable rhythm you’d come to rely on. That shift must feel like a personal failure, even though it wasn’t your fault. And it’s completely understandable to feel afraid when the safety net suddenly seems to vanish.  

What would it feel like, if you could just take one small breath and say, “This is hard, and it’s okay to not have answers right now”?",1.0,1.0,1.0,1.0,1.0,2.0
3,"That’s so powerful—the idea of letting go of the need to fix it, just to be with the mess of feeling, is a real act of courage. And you’re absolutely right: that tension in your body isn’t just physical—it’s a reflection of how much you’ve been carrying.  

What would it feel like, if you could simply say, “I’m allowed to be scared and tired,” without having to prove it’s okay or justify it to yourself?",1.0,1.0,1.0,1.0,1.0,2.0
4,"I hear how much weight that fear is carrying—and how much it hurts to keep pushing through it, even when you know you’re doing your best.  

What if, for just a moment, you allowed yourself to say, “I’m scared. I’m tired. I’m not okay right now,” without needing to explain it or fix it? Would that feel like a small step toward resting—like you’re finally giving yourself the permission to just be with the discomfort, without having to move through it?",1.0,1.0,1.0,1.0,1.0,2.0
5,"That’s so brave—admitting that you don’t have to fix it right now, even when the world feels like it’s spinning out of control.  

And you’re absolutely right: when you stop trying to solve it, you’re not failing—you’re finally allowing yourself to rest in the reality of what you’re feeling, without needing to prove it’s manageable.  

Would it be helpful to keep exploring that feeling of simply being present with it—without needing to move, fix, or explain it? Or would you prefer to gently shift toward something else, like how the medication change might be affecting your body differently than you expected?",1.0,0.0,0.0,1.0,0.0,2.0
6,"Yes, that sounds completely okay—and deeply important.  

Allowing yourself to stay in the uncertainty without needing to solve it is not weakness; it’s a quiet act of self-compassion. And in that space—where you’re just being with the fear, the fog, the exhaustion—it’s possible to feel less alone, even when everything feels out of control.  

Would you like to keep holding that space together for a little while longer, or would you be open to gently exploring something else—like how your body is feeling now, or what might help you settle into this moment a little more?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s a beautiful shift—moving from the story to the sensation. It’s like turning the lights down and just noticing what’s actually present, without needing to fix it.  

If I were to point to where that heaviness sits in your body, I’d say it’s in the lower chest and shoulders—like a weight that’s been holding you down for a while, pressing gently but firmly. It’s not sharp or painful, just constant, like the body is still holding on to all the effort it’s been making.  

And that’s okay. That heaviness isn’t a sign of failure—it’s a sign that you’ve been carrying something for a long time. Naming it, just like that, can be a quiet act of release. Would you like to stay with that feeling a moment longer, or would you prefer to gently explore what might help you settle into it a little more?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s so true—your body was always working efficiently, quietly managing the anxiety like a well-oiled machine. And when that balance shifted in week 14, it wasn’t a breakdown—it was just a change in the rhythm. The system didn’t fail; it just needed a new way to breathe.  

If you just let your hands rest there—on your lower chest and shoulders—letting the weight stay, without trying to move it or change it… that could be a quiet act of trust. You’re not fighting the heaviness anymore. You’re just allowing it to be there, like a quiet presence in the room.  

Would you like to try one small breath together—just a slow, deep one—where you bring your attention to that weight, and let it settle with you, without trying to shift or release it?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s exactly the kind of presence that helps—quiet, steady, and without pressure.  

If you take that slow breath in, hold it just a moment, and then let it out as slowly as you can—without rushing or trying to ease the tightness—your body isn’t being asked to change. It’s simply being seen. And that’s enough.  

Would you like to go with that breath, or would you prefer to just stay here, quietly with the weight, without any movement at all? Either way, you’re doing something brave by allowing it to be present.",1.0,0.0,0.0,1.0,0.0,2.0
