Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi Sherry, how you doing today?",T,UkjjYbFBctk_1,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,,Hi I'm Dr. Van Halosiever. Can you tell me your name and how old you are?
"I'm doing well, thanks for asking. So you're doing great?",T,UkjjYbFBctk_3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: Hi Sherry, how you doing today?
Patient: Great. How are you?","I'm doing well, thanks for asking. I understand things have been going really well with you."
I noticed today your brother brought you in and he had some concerns about how your mood has been.,T,UkjjYbFBctk_5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,"Therapist: Hi Sherry, how you doing today?
Patient: Great. How are you?
Therapist: I'm doing well, thanks for asking. So you're doing great?
Patient: Mhm.",Any other thoughts or worries?
"All right, so you're feeling you're feeling pretty good?",T,UkjjYbFBctk_7,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Hi Sherry, how you doing today?
Patient: Great. How are you?
Therapist: I'm doing well, thanks for asking. So you're doing great?
Patient: Mhm.
Therapist: I noticed today your brother brought you in and he had some concerns about how your mood has been.
Patient: I mean, I don't know why because I mean my mood's been awesome. For like a week I've been getting so much done, um, you know at work I finished both reports that I've been working on, um, and even at home like I've had tons of time to clean my house and get caught up on, um, actually making my house what I want it to be. Um, and just working on it in general and it's clean and I mean, I haven't had any issues.","Yeah, I understand. I mean, I think it's great that you got so much accomplished with the house and work and I think it's also really great that you brought in the homework assignment on time. I mean, I know that's a really big deal for you. I understand that it's a really big deal for you to turn in on time and I think it's a really great job to turn it in on time. I also understand that it was a really big deal for you to ask for the extra assignment but I think it's a really good idea to give you an extra assignment to practice. I think it's"
And you have been for about a week?,T,UkjjYbFBctk_9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: I'm doing well, thanks for asking. So you're doing great?
Patient: Mhm.
Therapist: I noticed today your brother brought you in and he had some concerns about how your mood has been.
Patient: I mean, I don't know why because I mean my mood's been awesome. For like a week I've been getting so much done, um, you know at work I finished both reports that I've been working on, um, and even at home like I've had tons of time to clean my house and get caught up on, um, actually making my house what I want it to be. Um, and just working on it in general and it's clean and I mean, I haven't had any issues.
Therapist: All right, so you're feeling you're feeling pretty good?
Patient: Mhm.",And how about the thoughts? Any thoughts that seem to be going through your mind?
All right. Have you do you feel like um your sleep habits have changed?,T,UkjjYbFBctk_11,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: I noticed today your brother brought you in and he had some concerns about how your mood has been.
Patient: I mean, I don't know why because I mean my mood's been awesome. For like a week I've been getting so much done, um, you know at work I finished both reports that I've been working on, um, and even at home like I've had tons of time to clean my house and get caught up on, um, actually making my house what I want it to be. Um, and just working on it in general and it's clean and I mean, I haven't had any issues.
Therapist: All right, so you're feeling you're feeling pretty good?
Patient: Mhm.
Therapist: And you have been for about a week?
Patient: Yeah.",Okay. Any thoughts or worries that seem particularly troubling to you in the last week or so?
All right so you're sleeping less but you don't feel tired at all?,T,UkjjYbFBctk_13,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: All right, so you're feeling you're feeling pretty good?
Patient: Mhm.
Therapist: And you have been for about a week?
Patient: Yeah.
Therapist: All right. Have you do you feel like um your sleep habits have changed?
Patient: I mean they have. Um, I haven't been sleeping as much. I haven't really needed it really. Um, I only need a few hours it seems like, but it's been fine because I haven't been tired, I haven't been, you know, irritable or anything during the day. And yeah at night I get a few hours of sleep but for the rest of the time I'm like you know either working on work or my house or whatever so, I mean I'm sleeping less but it's not an issue.",All right. Any changes to your appetite?
You feel okay?,T,UkjjYbFBctk_15,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: And you have been for about a week?
Patient: Yeah.
Therapist: All right. Have you do you feel like um your sleep habits have changed?
Patient: I mean they have. Um, I haven't been sleeping as much. I haven't really needed it really. Um, I only need a few hours it seems like, but it's been fine because I haven't been tired, I haven't been, you know, irritable or anything during the day. And yeah at night I get a few hours of sleep but for the rest of the time I'm like you know either working on work or my house or whatever so, I mean I'm sleeping less but it's not an issue.
Therapist: All right so you're sleeping less but you don't feel tired at all?
Patient: Mmm-mmm.",And you have a lot of energy?
Do you find yourself more easily distracted by anything? Things around you?,T,UkjjYbFBctk_17,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: All right. Have you do you feel like um your sleep habits have changed?
Patient: I mean they have. Um, I haven't been sleeping as much. I haven't really needed it really. Um, I only need a few hours it seems like, but it's been fine because I haven't been tired, I haven't been, you know, irritable or anything during the day. And yeah at night I get a few hours of sleep but for the rest of the time I'm like you know either working on work or my house or whatever so, I mean I'm sleeping less but it's not an issue.
Therapist: All right so you're sleeping less but you don't feel tired at all?
Patient: Mmm-mmm.
Therapist: You feel okay?
Patient: Yeah.",Any trouble with drugs or alcohol?
"No, nothing like that?",T,UkjjYbFBctk_19,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: All right so you're sleeping less but you don't feel tired at all?
Patient: Mmm-mmm.
Therapist: You feel okay?
Patient: Yeah.
Therapist: Do you find yourself more easily distracted by anything? Things around you?
Patient: No, not really.",Any trouble with concentration?
