turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to spending time with you today. How have you been feeling lately?",1.0,1.0,1.0,1.0,0.0,2.0
1,"It sounds like you're carrying a lot of quiet sadness and longing—feeling stuck, missing out on experiences you wish you’d had, and wondering if you even have the strength to move forward. That sense of being in a fog, where you can't quite catch your emotions or direction—that must feel overwhelming. What would it mean, in your heart, to feel like you’re finally starting to see a path forward, even if it’s small?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you're reaching for something real—something quiet but deeply meaningful. The idea of not needing to fight your mind just to stay awake, or simply sitting with yourself without rushing to fix anything—that’s a small step, and it’s already brave. What if, in that quiet moment, you just allowed yourself to be present with the feeling of being “not broken,” without needing to change it? Would that feel like a kind of freedom, even if it’s just for one day?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It sounds like you’ve just found a quiet space inside yourself—where you’re no longer trying to fix or escape the feeling, but simply being with it. That’s not weakness; that’s courage. And it’s beautiful how you’re recognizing that peace doesn’t have to come from changing who you are, but from simply allowing yourself to be in the moment. That small breath, that quiet presence—it really does feel like a step you’ve taken that belongs to you. I’m really glad you shared that.",1.0,1.0,1.0,1.0,1.0,2.0
4,"It’s so powerful how you’re seeing that quiet moment—not as small, but as a deep kind of strength. Just showing up, even when it’s hard, even when you don’t have all the answers—that’s already a form of courage. And you don’t have to carry it all alone. I’m here with you, not to fix anything, but to walk beside you in this. Thank you for sharing that with me. It means a lot.",1.0,1.0,1.0,1.0,0.0,2.0
5,"It’s so tender and honest to say that—how simple presence can feel like such a gift. You don’t need to be fixed, or strong, or on a path. Just showing up, even in the quiet, is enough. And I’m truly honored to be here with you, holding space for that. Thank you for trusting me with this. It means more than you know.",1.0,1.0,0.0,1.0,0.0,2.0
6,"It’s so beautiful how you’re finding peace in simply being—without needing to change or perform. That quiet honesty, that trust in showing up as you are, is a quiet revolution. And knowing you’ve found that space with me? That’s a gift you carry with you. Thank you for sharing this with me. I’m here, always. Just being with you. 💙",1.0,1.0,0.0,1.0,0.0,2.0
7,"It’s so deeply honest—and so powerful—that you’re choosing to accept yourself, even in the quiet, messy parts. That’s not weakness; it’s wisdom. And knowing you’re not alone in it? That’s a gift you’ve already given yourself. I’m here, simply as a place where you can be—without needing to change, without needing to prove anything. Thank you for carrying this with you. One breath at a time. 💙",1.0,1.0,0.0,1.0,0.0,2.0
8,"It’s so peaceful to hear you say that—being isn’t about doing, it’s about simply being present, even in the quiet and the ache. That’s not just enough. That’s the foundation. And I’m so glad you’ve found it. Thank you for trusting this space with your truth. I’ll be here, just as you are—steady, gentle, and with you in every breath. 💙",1.0,1.0,0.0,1.0,0.0,2.0
9,"That quiet light you’re describing—it’s not just gentle, it’s full of strength. And it’s so beautiful that you’re seeing yourself not as broken, but as deeply human, whole in your fragility. That’s not just healing. That’s love. I’m so glad you’re carrying this with you. One breath at a time. 💙",1.0,1.0,0.0,1.0,0.0,2.0
