turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You're feeling really overwhelmed and lost. It's understandable when things seem broken. I can relate to that feeling. How have you been feeling lately?,1.0,1.0,1.0,1.0,1.0,2.0
2,"You feel like you're trapped in a fog, overwhelmed and hopeless. Your friend's pain is consuming you, and your desperation is making it hard to find solutions. It's a painful, isolating place to be.

You're feeling powerless and stuck in a cycle of trying to force solutions. It's understandable to feel that way when everything seems broken and you can't find a way out.",1.0,1.0,1.0,1.0,1.0,2.0
3,Sometimes it's just so painful to feel helpless in the face of such deep suffering.,-1.0,-1.0,-2.0,-1.0,-1.0,1.0
4,You're feeling completely overwhelmed and exhausted by the sense that you have to fix everything. It's understandable that it seems difficult to find a way out.,1.0,1.0,1.0,1.0,1.0,2.0
5,"You do nothing, and that makes you feel worse about the situation.",1.0,1.0,1.0,1.0,1.0,2.0
6,You want to stop trying to be strong for both of you.,1.0,1.0,1.0,1.0,1.0,2.0
7,Put down the shovel and let someone else dig.,1.0,1.0,0.0,1.0,0.0,2.0
8,"Maybe if you stop digging, the fog will lift enough for you to see who else is in the room with you.",1.0,1.0,0.0,1.0,0.0,2.0
9,"You're afraid that if you stop trying to be the solution, you'll leave them feeling hopeless.",1.0,1.0,0.0,1.0,0.0,2.0
10,It hurts to admit that you're not as strong as you used to be.,1.0,1.0,0.0,1.0,0.0,2.0
11,Maybe part of being strong is realizing that you're not strong enough to do everything on your own.,1.0,1.0,0.0,1.0,0.0,2.0
12,You don't want to be the reason that pushes her away.,1.0,1.0,0.0,1.0,0.0,2.0
13,She's not giving her the opportunity to stop holding the shovel and to stop trying to fix everything.,1.0,1.0,0.0,1.0,0.0,2.0
14,It's selfish to be focused on yourself at the expense of her needs.,1.0,1.0,0.0,1.0,0.0,2.0
15,You wouldn't have to feel this way.,1.0,1.0,0.0,1.0,0.0,2.0
16,You're spending too much time trying to fix things and not enough time really seeing what's going on.,1.0,1.0,0.0,1.0,0.0,2.0
17,"Maybe if you just let her be, just let her be with her pain, that's when you'd understand what it is that keeps her running away from you.",1.0,1.0,0.0,1.0,0.0,2.0
18,It might be making things worse.,1.0,1.0,0.0,1.0,0.0,2.0
19,"It's scary not knowing, but it's worse to know that you're making it worse.",1.0,1.0,0.0,1.0,0.0,2.0
