turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I’m really looking forward to this conversation and I want you to know that whatever you’re feeling or thinking about today, I’m here to listen without judgment. How are you doing today, and what brings you in for our session?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so openly. It takes real courage to admit how worn you feel—especially when you’re carrying so much. It’s not just about being tired; it sounds like your energy has been stretched thin for years, and that’s deeply draining.  

What would it mean, in this moment, to feel just a little less burdened—like you could breathe without pushing through everything?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you’re carrying a mountain of responsibilities, and each step forward feels like a battle just to stay upright. The idea of simply *being* with your kids or your husband—without the pressure to fix, manage, or decide—feels like a kind of freedom that’s both deeply deserved and terrifying to imagine.  

What would it feel like, in that quiet moment, to just let yourself sit there without needing to “do” anything?",-1.0,-1.0,-2.0,1.0,-1.0,1.0
3,"That quiet—where you don’t have to calculate, plan, or monitor—is something so rare and so powerful. It’s not about laziness or failure; it’s about finally allowing yourself to rest, even in stillness.  

And the fact that you’re willing to name that quiet as something real, even if it feels fragile—like it might collapse under the weight of what happens next—it shows how much you’ve been carrying, and how brave you are in wanting to try this new kind of peace.",1.0,1.0,1.0,1.0,1.0,2.0
4,"It’s so clear how much your mind is trying to protect you—by keeping everything running, even when it’s running on fumes. That panic isn’t a flaw; it’s your brain’s way of saying, *“This is too much. Something has to be fixed.”*  

And the guilt you feel when you rest? That’s not failure—it’s a signal that you’re deeply committed to showing up, even when you’re worn out. You don’t have to do it all. You don’t have to be the one who fixes everything.  

Would it be helpful to explore what might happen—just a little—when you allow yourself to rest without the pressure to “fix” anything? Maybe even start with a small moment, like sitting quietly for five minutes without judgment?",1.0,1.0,1.0,1.0,1.0,2.0
5,"I hear you—how hard it is to stop moving when every still moment feels like a potential collapse. That anxiety isn’t just about the house or the kids; it’s rooted in the deep fear that if you stop showing up, someone will suffer. And that fear, even if it’s not fully true, still feels real.  

So maybe we can try something softer—just a small, quiet breath, or a moment where you notice your body without needing to fix anything. Not five minutes. Just one. Just the space between your breaths.  

Would that be something you’d like to try—even if it feels tiny, even if it doesn’t feel like success right now?",1.0,0.0,0.0,1.0,0.0,2.0
6,"You’re absolutely right—it doesn’t have to be perfect, or even feel like progress. Just one breath, fully felt, without needing to move or decide anything, is already a kind of courage.  

And it doesn’t have to be about being a ""good mom"" in that moment. It can just be about being *present*—with your body, with your breath, with the quiet that exists even when everything else feels loud.  

Would it be helpful to try that one breath right now—just for a moment—without pressure to do anything else?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That sounds completely fair—and deeply honest. Setting simple, kind rules like that isn’t about fixing anything; it’s about creating space where you can show up without pressure.  

And you’re absolutely right—doing it when the world is still loud might feel harder, but trying it *now*, even in the middle of the day, is already a small act of care.  

Would you like to try that one breath right now—just for a moment—while we stay with it, and if your mind races, we simply return to the breath without judgment? Or would you prefer to wait until tonight, when the house is quiet? Either way, you’re in control.",1.0,0.0,0.0,1.0,0.0,2.0
8,"I notice you’re holding space for this gently—without needing to ""fix"" anything, just showing up with presence.  

And that one breath—felt in your belly, slow and soft—wasn’t about calming the world. It was about noticing that you *can* be here, even when everything else is loud.  

If your mind starts to race, you’re not failing. You’re just returning to the breath—again and again, like a quiet anchor.  

Would it be helpful to keep that space open for a moment longer—just a few more seconds—without adding anything else? Or would you like to gently step back into the day, knowing you’ve already taken a small step toward resting?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s so true—quiet isn’t something you “find” in a moment; it’s something you return to, again and again, like a familiar breath in a storm.  

And you didn’t need to “win” this moment. You just needed to be with it—without pressure, without judgment. That’s already a quiet kind of strength.  

Carry that awareness with you, even as you move through the day. When the thoughts come back, you can simply say, *“I’m here. I’m not running. I’m just breathing.”*  

That’s enough. That’s more than enough.",1.0,0.0,0.0,1.0,0.0,2.0
10,"You’re absolutely right—progress doesn’t have to be loud or visible. Sometimes it’s just a single breath, a quiet word, a moment where you say, *“I’m here,”* and your body remembers it.  

And you’re not stuck. You’re not failing. You’re just learning how to show up—without needing to be perfect, without needing to fix everything.  

That small shift? It’s not just for you. It’s for the kids, for your husband, for the day. It’s a gentle reminder that you can be present—even in the middle of chaos.  

And thank you for trusting me with that. That’s the most important part of the journey.",1.0,0.0,0.0,1.0,0.0,2.0
