turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I'm really looking forward to meeting you and getting to know what's on your mind today. I want you to know that whatever you share with me is safe, private, and will be respected. How have you been feeling lately, and what brings you in for today?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"That sounds like a really big shift—feeling your body react so strongly to those numbers, especially when they're tied to something you've relied on for comfort. It’s not just the statistics, but how they landed in your body—your heart racing, your chest tightening. That physical response shows how deeply those thoughts are connected to your experience.  

What would it mean for you, right now, if you could say, “I’m not sure I can go back to taking them, even if they helped before”? How does that feel in your body?",1.0,1.0,1.0,1.0,0.0,2.0
2,"It sounds like you're carrying a lot of weight—between the guilt, the fear of losing your safety net, and the worry that stepping back might leave you vulnerable. That tightrope you're walking on? It’s not just about the edibles—it’s about trusting yourself to manage things without relying on something that once felt like a lifeline.  

And knowing that you *know* logically it might be risky, yet still feel pulled toward it—that’s not weakness. It’s human. It shows how much you care about your body and your well-being. What would it mean, in this moment, to just say, “I’m not ready to go back—but I’m not going to ignore what I’m feeling either”?",1.0,1.0,1.0,1.0,1.0,2.0
3,"It’s completely okay to feel like you’re standing at the edge—like you’re not sure which way to turn, and neither choice feels safe right now. That voice in your head isn’t trying to trick you; it’s just echoing the deep worry you’ve carried for a long time.  

And saying “I’m not ready to go back—but I’m not going to ignore what I’m feeling” isn’t about waiting. It’s about showing up with honesty, even when it’s hard. So what would it mean, in this moment, to just *be with* that fear—not fight it, not push it away, but simply notice it, like a wave that comes in and goes out?  

Would it be helpful to explore that with you, just a little more?",1.0,1.0,1.0,1.0,1.0,2.0
4,"You're absolutely right—those numbers don’t feel like statistics anymore. They feel like a shadow that’s been following you, even when your body is fine. And that’s not a flaw in your awareness—it’s a sign that your body and mind are deeply connected, and they’re trying to protect you.  

So when you say, “I have to accept that maybe,” what does that actually feel like in your chest? Is it more like a quiet ache, or a sharp tightening? And if you could say one thing to yourself right now—something gentle, not judgmental—that might help you stay grounded in this moment, what would it be?",1.0,0.0,1.0,1.0,0.0,2.0
5,"That whisper—*""I am safe enough to feel this fear without acting on it""*—it’s not simple. It’s actually incredibly brave. And it’s not about being fearless. It’s about choosing to stay in your body, even when it’s trembling.  

When you say it, it doesn’t have to be loud or clear. It just has to be *felt*—like a soft hand resting on your chest, saying, “You don’t have to move. You don’t have to fix it. You can just be here.”  

Would it help to try that again—just say it slowly, like you’re whispering it to yourself, and then gently place your hand on your chest and feel it there? Not to change anything, just to notice the space between your breath and your fear?",1.0,0.0,1.0,1.0,0.0,2.0
6,"That’s so real—and so human. The way your body responds when you try to hold space for the fear? It’s not a failure. It’s the body doing what it’s always done: protecting you by showing up with its full truth.  

And right now, you’re not trying to fix anything. You’re just *being* with it—your hand on your chest, your breath shallow, the fear still there, still present. That’s enough.  

Would it be okay to just stay here with that for a moment—without pushing to make it go away, without needing to change anything? Just feel the rhythm of your breath, even if it’s not steady, and let yourself stay in this space?",1.0,0.0,1.0,1.0,0.0,2.0
7,"You’re not asking for a solution—you’re asking for permission to be in this moment, and that’s already a form of strength.  

The knot in your stomach isn’t getting tighter because you’re admitting you’re scared—it’s getting tighter because you’re finally seeing the fear for what it is: real, alive, and deeply tied to how you’ve been trying to survive. And that’s not weakness. That’s honesty.  

So if you want to stay here, just for one more breath—without doing anything, without fixing anything—then you can. And if, after that, you still feel the pull to take a step, to call someone, or to reach for something to quiet the noise… that’s okay too.  

Would it help to just take one more slow breath together, with your hand on your chest, and then let go of the need to know what comes next? Just let it be *here*, right now?",1.0,0.0,1.0,1.0,0.0,2.0
8,"That gap you found—so small, so quiet—is not empty. It’s full of presence. And it’s already a victory.  

You didn’t have to push through the fear or silence it. You just showed up with it, and in that showing up, you created space—not for safety, not for answers, but for yourself.  

Would it be okay to just stay in that space a little longer? Not to change anything, not to move forward—just to let the breath continue, and let the fear remain, without needing to act on it?",1.0,0.0,1.0,1.0,0.0,2.0
9,"You're not trying to fix anything. You're just learning to hold the experience—like a piece of fabric in your hands, not to smooth it out, but to feel its weight and texture.  

And that’s powerful. The voice with the numbers? It’s not your enemy. It’s just part of the story your body and mind have been telling for a long time. But now, instead of acting on it, you’re noticing it—like a leaf floating on a stream. You don’t need to stop it. You just need to stay with it, without needing to change the current.  

Would it be okay to just keep sitting with that—this quiet, steady presence, even if it doesn’t feel “safe” or “calm” in the way you’ve been used to? Just for a little while longer?",1.0,0.0,1.0,1.0,0.0,2.0
