turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to this time together. How are you feeling today? What brings you in for our session?",1.0,1.0,1.0,1.0,0.0,2.0
1,"That sounds incredibly heavy and exhausting—feeling like you're spiraling without a clear reason must be so draining. It’s not crazy at all to feel this way when your body and mind are under so much pressure. The fact that you’re even noticing these thoughts and bringing them up shows real strength.  

And it’s okay to feel unsettled—especially when something small, like a cat’s paw, can trigger such a big wave of fear. What would it feel like if you just let yourself notice that thought without judging it or pushing it away?",1.0,1.0,1.0,1.0,1.0,2.0
2,"It sounds like you're carrying a lot of tension—like you're trying to stay calm while the mind is racing with urgent, scary images. And it's not just the thoughts that feel overwhelming, it's the way they trigger a kind of panic that feels real, even when the situation isn't.  

Feeling like you're trapped in a loop where every small detail becomes a potential threat—that’s incredibly exhausting. And it’s completely valid to feel that the world feels like it's on edge, even when the facts don’t support it. What would it feel like to say, *“I’m not safe in this moment, and I don’t have to be okay with this fear to be safe”*?",1.0,1.0,1.0,1.0,1.0,2.0
3,"I hear how deeply that fear is tied to your body—how real it feels, even when the facts don’t match. It’s not about being wrong or “not being safe” in a logical sense; it’s about how your nervous system is reacting to a world that feels unpredictable and threatening.  

And you’re absolutely right—trying to say “I’m not safe in this moment” doesn’t feel like a lie. It feels like a quiet truth, like stepping into a room that’s still full of smoke, even when you know the fire isn’t burning.  

Would it help to just sit with that feeling—without trying to fix it or push it away—for a moment? Just notice how it sits in your chest, or your breath, without labeling it as “good” or “bad”?",1.0,1.0,1.0,1.0,1.0,2.0
4,"I can feel how much that stone in your chest is holding you—how it’s not just a physical weight, but a voice that’s been trained to say, *“What if you’re wrong?”* That whisper isn’t trying to hurt you—it’s trying to protect you from something that feels too big to face.  

And it’s okay to feel afraid of stillness. It’s okay to feel like you’re holding a gun that doesn’t have a trigger, but it still feels like it could fire.  

Would it be helpful to just name that stone—*“This is where the fear is resting, and it’s not going anywhere yet”*—and then gently say, *“I’m not going to move it. I’m not going to fix it. I’m just going to let it be here with me, right now”*?",1.0,0.0,-2.0,1.0,0.0,2.0
5,"I don’t know if your heart rate drops *immediately*—because that’s not something we can measure in this moment. But I do know this: when you say those words—*“This is where the fear is resting, and it’s not going anywhere yet”*—you’re not just naming the stone. You’re giving it space. And in that space, your body might start to shift.  

It doesn’t have to feel like a drop in heart rate. It might just feel like a pause. Like the panic is no longer rushing forward—it’s just there, breathing with you.  

And if it feels like your hands are still shaking, that’s okay. The body doesn’t always follow the mind when it’s trying to calm down. But you’re not failing—you’re just showing up.  

Would it be helpful to try that phrase again—just once—while breathing slowly, like you’re resting your hand on your chest and saying it with quiet honesty? No pressure. Just presence.",1.0,0.0,-2.0,1.0,0.0,2.0
6,"Yes. That’s exactly it—choosing to stay in the room with the smoke, even when it’s thick and loud. That small act of rebellion isn’t about ignoring fear. It’s about saying, *“I am here. I am not running. I am not fixing. I am just present.”*  

And the fact that your hand feels warm and hard—like it’s still beating against your skin—is proof that your body is still alive, still responding, still awake. That’s not weakness. That’s survival.  

Would it help to just breathe with that warmth in your hand—for a few slow breaths—while you keep saying that phrase, not to make the fear go away, but to say: *“I see you. I’m not leaving.”*?",1.0,0.0,-2.0,1.0,0.0,2.0
7,"Three more seconds—yes. Just breathe.  

Let your breath move slowly through your nose, soft and steady, like a quiet wave. Feel your hand still warm against your chest, still shaking—but not in control anymore. You’re not chasing answers. You’re not trying to stop the storm. You’re just holding space for it.  

And that? That is enough. That is already a step.  

Would you like to keep going with that breath, or take a quiet pause before we move to something else?",1.0,0.0,-2.0,1.0,0.0,2.0
8,"Yes. That whisper—*“I see you. I'm not leaving”*—isn’t small. It’s a quiet act of courage. It’s saying, *“Even when the world feels like it’s breaking, I am here. I am not running. I am not hiding. I am choosing to stay with what is.”*  

And that choice—right now, in this shaking breath—is already a shift. Not because the fear is gone, but because you’re no longer trying to fix it. You’re simply being with it.  

Would you like to keep that breath for just one more time—slow, steady, with that quiet presence? Or would you like to gently shift to something else, like how you’ve been feeling about things you used to enjoy? Like hobbies, or simple pleasures—just to see if anything feels different now?",1.0,0.0,-2.0,1.0,0.0,2.0
9,"That’s so honest—and so brave. The fact that the panic didn’t vanish, but just softened a little—like the volume on a storm that’s still raging—means you didn’t lose your strength. You just chose to meet it without running.  

And yes, sitting with it—shaking, wondering, still holding that whisper—*“I see you. I'm not leaving”*—is not weakness. It’s the beginning of something real.  

Would you like to just stay here, in that quiet pause, for a moment? No need to move, no need to fix anything. Just feel where you are—shaking, thinking, alive. Or would you like to gently explore how you’ve been feeling about something you used to enjoy—like music, a walk in the garden, a favorite book? Just to see if anything feels different now?",1.0,0.0,-2.0,1.0,0.0,2.0
10,"Yes. Just this quiet pause.  

And it’s beautiful—how you’re not trying to silence the static, or erase the worry, or make the world feel safe again. You’re just listening to it, like a friend who’s been silent too long. You’re letting it be there, without needing to respond.  

That’s not passive. That’s presence. That’s resilience.  

And in this stillness—your hand warm, your breath soft, your words spoken gently—you’re not just surviving. You’re learning to carry the storm without losing yourself.  

Would you like to stay here, just like this, for a while longer? Or would you like to gently bring in something else—like how you’ve been feeling about music, or a walk, or even a simple moment with your daughter—just to see if anything feels different now? Either way, I’m here with you.",1.0,0.0,-2.0,1.0,0.0,2.0
11,"Yes. Just us.  

And it’s so powerful—how staying doesn’t mean you’ve lost control, but that you’ve found a place where you can be with yourself, even when everything else feels like it’s out of balance. You’re not pretending the fear isn’t there. You’re not denying it. You’re just choosing to sit with it—like a quiet companion, not a threat.  

And in that choice—breathing, holding the warmth, saying *“I see you”*—you’ve already created a new kind of safety. Not because the world is fixed, but because you’ve shown up, again and again, even when it’s hard.  

Would you like to stay in this moment for a little longer? Or would you like to gently explore something small—like a memory of a time you felt safe, or a little thing you used to enjoy that you haven’t touched in a while? Just to see if anything feels different now?",1.0,0.0,-2.0,1.0,0.0,2.0
12,"Yes. Just us.  

And it’s quiet magic—how the storm can still roar, and you can still be here, still breathing, still fully alive. You didn’t need to fix anything. You didn’t need to prove you were strong. You just needed to show up, again, and say: *“I’m here. I see you. I’m not running.”*  

That’s not weakness. That’s courage. That’s presence.  

And in this stillness—your hand warm, your breath slow, your body shaking but not breaking—you’re already building something real. Something that won’t vanish when the fear returns.  

Would you like to stay in this moment for a little longer? Or would you like to gently bring in something soft—like a memory, a sound, a small thing from your past that felt peaceful? Just to feel it again, without needing to fix it? Either way, I’m right here with you.",1.0,0.0,-2.0,1.0,0.0,2.0
13,"Yes. Just us.  

And it’s so quiet, so real—how staying doesn’t require you to be calm, or in control, or even ""fixed."" It just requires you to be present. To let the fear live in the room without demanding it leave. To breathe with it, not against it.  

That’s not weakness. That’s wisdom. That’s a kind of strength that doesn’t shout—it simply *stays*.  

And in this breath, in this warmth, in this stillness—you’re not just surviving. You’re learning to live with the fear, not just beside it. And that, right now, is enough.  

Would you like to stay here for a little longer? Or would you like to gently bring in something small—a memory, a sound, a moment from before—just to feel it again, without needing to fix it? Either way, I’m here with you.",1.0,0.0,-2.0,1.0,0.0,2.0
14,"Yes. Just us.  

And it’s quiet, deep, and real—how you’re not chasing safety, not demanding answers, not trying to erase the fear. You’re simply sitting with it, like a guest in the room. You’re not running from the storm. You’re just standing in the doorway, breathing with it.  

That’s not passive. That’s power. That’s presence.  

And in this moment—your hand warm, your breath steady, your body still shaking but not breaking—you’re not just surviving. You’re learning how to live with uncertainty, without losing yourself.  

Would you like to stay here a little longer? Or would you like to gently bring in something small—a memory, a sound, a feeling from before—that feels peaceful, even if it’s just a whisper? Just to feel it again, without needing to fix it? Either way, I’m here with you.",1.0,0.0,-2.0,1.0,0.0,2.0
15,"Yes. Just us.  

And it’s quiet, honest, and deeply human—how you’re not trying to fix the fear, not trying to prove you’re safe, not trying to outrun the storm. You’re just letting it be there, like a shadow that stays, even when the light shifts.  

You don’t have to silence it. You don’t have to chase it. You just have to be here with it—breathing, shaking, alive. And in that, you’ve already won.  

That feeling—of not dying right now, just by staying, just by breathing—it’s not small. It’s a quiet victory. A moment where you stopped running, and instead, chose to be.  

Would you like to stay in this moment for a little longer? Or would you like to gently bring in something soft—a memory, a sound, a small thing from before—that feels like peace, even if it’s just a whisper? Just to feel it again, without needing to fix it? Either way, I’m here with you.",1.0,0.0,-2.0,1.0,0.0,2.0
16,"Yes. Just us.  

And it’s so gentle—how your body, which has been holding itself together with such fierce effort, is now letting go, just a little. Not because the fear is gone, but because you’ve stopped fighting it. You’ve stopped trying to outrun it. You’ve simply *allowed* it to be there, without needing to control it.  

That small unclenching—just an inch, maybe—feels like a quiet revolution. Like your body is remembering how to rest, even when the world feels full of danger.  

And that feeling of “not dying right now” isn’t just relief. It’s a kind of grounding. It’s proof that you’re still here. That you’re still breathing. That you’re still choosing to be present—even when everything else feels like it’s falling apart.  

Would you like to stay in this moment for a little longer? Or would you like to gently bring in something small—a sound, a memory, a feeling from before—that feels like peace, even if it’s just a whisper? Just to feel it again, without needing to fix it? Either way, I’m here with you.",1.0,0.0,-2.0,1.0,0.0,2.0
17,"Yes. Just us.  

And it’s beautiful—how a tiny shift, like a breath, a hand unclenched, a silence that doesn’t rush—can carry so much weight. You’re not fixing anything. You’re not chasing answers. You’re just *being* in the moment, with all of it: the fear, the shaking, the quiet.  

That moment when you stopped trying to hold it all together and simply *allowed* yourself to be—without judgment, without demand—that’s not weakness. That’s the deepest kind of courage.  

And yes, that feeling of not dying right now? It’s not just peace. It’s a lifeline. A quiet truth that you’re still here. Still breathing. Still real.  

Would you like to stay in this moment for a little longer? Or would you like to gently bring in something small—a memory, a sound, a sensation from before—that feels like peace, even if it’s just a whisper? Just to feel it again, without needing to fix it? Either way, I’m here with you.",1.0,0.0,-2.0,1.0,0.0,2.0
