turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to this conversation with you. I want you to know that whatever you share with me is safe, private, and will be respected—no judgments, just space to explore what’s on your heart.  

What’s been on your mind lately that you’d like to talk about today?",1.0,1.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so honestly—it takes courage to open up about something that feels so intense and personal.  

It sounds like those sensations come out of nowhere, and when they happen, they shift everything—especially your connection to food and pleasure. It’s not just about the anxiety; it feels like your body and mind are reacting in a way that’s both sudden and deeply felt.  

What would it mean to you, if we could just sit with that feeling together—without trying to fix it right away?",-1.0,0.0,-2.0,0.0,0.0,1.0
2,"It sounds like you're already noticing something important—this feeling isn’t just about anxiety or eating, but about a deeper pattern that’s been showing up again, even with medication.  

And yes, sitting with it doesn’t mean ignoring it—it means allowing yourself to feel it without needing to solve it right away. Maybe it would look like simply noticing the wave come in, saying to yourself, *""Ah, this is happening again. I’m not alone in this.""* And then, gently, just staying with it, without pushing it away or trying to stop it.  

Would it be helpful to explore that—what it might feel like to just *notice* the wave, without trying to fix it or rush through it?",1.0,0.0,-2.0,1.0,0.0,2.0
3,"You're absolutely right—letting yourself feel uncomfortable is not giving up; it’s actually the first step toward breaking the cycle of trying to control it.  

And yes, it *does* feel like a shift—like stepping into a space where you’re not fixing the wave, but just being with it. That doesn’t mean you lose control; it means you’re learning to meet it without running from it. And when you do that, even just once, you create space for something new to grow—like the possibility of eating without the pressure to ""fix"" it.  

Would it be helpful to try that together—just noticing the wave, saying, *""This is here. I’m seeing it. I’m not going to fight it now,""* and then gently returning to the moment after?",1.0,1.0,1.0,1.0,1.0,2.0
4,"I hear how deeply you're worried about slipping back—because that fear is real, and it’s not a failure. It’s just your body and mind trying to protect you from the discomfort of not knowing how to handle it yet.  

And you’re not standing on a cliff with no safety net—you’re standing in a room where you’re learning to walk with your feet on the ground, one step at a time. If the wave comes back, you don’t have to do anything *except* notice it again, say, *""Oh, it’s back. I see it now,""* and gently return to your breath or your food—without pushing or judging.  

You don’t have to ""fix"" it. You just have to be with it. And that, again, is not weakness—it’s courage.  

Would it be helpful to try that together—just one small moment, where you notice the wave, say it out loud, and then gently return to eating without trying to push it away?",1.0,0.0,0.0,1.0,0.0,2.0
5,"I hear how deeply that fear is rooted—not in failure, but in the love you have for yourself and the need to protect that.  

If the wave comes back stronger, or your heart races, or you feel like you *have* to stop eating—what matters most is that you don’t say, *""I failed,""* or *""I’m not enough.""* Instead, you can simply say, *""This is happening again. I see it. I’m still here.""* And then, without judgment, you can gently return to your breath, or to your food, just as it is.  

You’re not responsible for making the wave go away. You’re only responsible for showing up—again and again—with kindness, even when it feels overwhelming.  

Would it be okay to try that small step together, just once—where you notice it, say those words, and allow yourself to stay with it, even if it feels hard?",1.0,0.0,0.0,1.0,0.0,2.0
6,"You’re absolutely right—trying it now feels heavy, and that’s completely okay. The fear of failing isn’t about doing something wrong; it’s about protecting yourself from feeling exposed.  

If you notice the wave, say the words, and then suddenly feel so overwhelmed that you have to stop eating—or feel like you might throw up—there’s no failure. There’s only *data*. That moment isn’t a collapse. It’s a signal: *""This is how my body responds when I’m trying something new.""*  

And you don’t have to fix it. You just have to say, *""I’m here. I saw it. I’m not in control of this right now, but I’m still with myself.""*  

Would it be okay to try that small step—just one time—where you notice the wave, say, *""This is here. I see it,""* and then let it be, even if it means stopping or needing to pause? You’re not failing. You’re learning.",1.0,0.0,0.0,1.0,0.0,2.0
7,"Yes—this is exactly where healing begins. You're not just trying to ""do"" something new. You're learning to *listen* to yourself in a way that doesn’t demand perfection.  

If you feel the wave, pause, say *""This is here. I see it,""* and then—no matter what happens next—whether you stop eating, feel shaky, or need to leave the table—you’re not failing. You’re gathering information. You’re showing up. And that is already a victory.  

The shame doesn’t live in the moment. It lives in the story you’ve told yourself for years: *""If I don’t control it, I’m broken.""* But now, you’re saying, *""This is not a failure. This is a moment of truth.""*  

Would it be okay to try that one step today—just to see what it feels like to say those words, and to carry that quiet truth with you, even if the wave comes back?",1.0,0.0,0.0,1.0,0.0,2.0
8,"You’re absolutely right—those physical signs—dry mouth, shaking hands—are your body’s way of saying, *""This is hard. I’m trying.""* And saying *""This is here. I see it""* isn’t about being perfect. It’s about being present with what’s real.  

If you say those words and the wave stays at a manageable level, that’s not just progress—it’s *proof* that you’ve already made a choice to be gentle with yourself. That’s not weakness. That’s courage.  

And if, after saying it, you feel the wave still there but no longer overwhelming, you’re not ""doing it wrong."" You’re learning to hold space for discomfort without needing to escape from it. That’s not just progress. That’s *growth*—quiet, steady, and real.  

So, would it be okay to try it now—with just one bite—where you pause, breathe, say *""This is here. I see it,""* and then let it be, whether it stays, fades, or just settles? You’re not failing. You’re simply showing up.",1.0,0.0,0.0,1.0,0.0,2.0
9,"You're not alone in that fear—because the spiral comes not from the step, but from the story you’ve told yourself for years: *""If I don’t control it, I’m broken.""*  

If you take that one bite, say *""This is here. I see it,""* and then suddenly need to put the fork down or walk away—**you did not fail**. You didn’t give up. You simply honored what your body and mind were telling you.  

And that is not shame. That is *truth*.  

You’re not failing because you stopped. You’re succeeding because you showed up—without pressure, without judgment, just as you are. That small moment of letting go is not a collapse. It’s a doorway.  

So, would it be okay to try it now—just one bite—where you pause, breathe, say *""This is here. I see it,""* and then let it be, even if it means stopping or walking away? You’re not failing. You’re learning to eat with yourself—fully, gently, and without running.",1.0,0.0,0.0,1.0,0.0,2.0
