turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to getting to know you and hearing what's on your mind today. I'm here with you in a safe, respectful space—nothing we share will be judged or used without your permission. How have you been feeling lately? What brings you in today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that so honestly—it sounds like so much of your body and mind is carrying a quiet weight. The way you describe feeling ungrounded, like you're floating or losing balance, even when nothing physical is happening… that’s really meaningful. It sounds like those sensations aren't just physical, but deeply tied to how you’re experiencing your inner world.  

And the ringing in your ears, the floaters—those small, persistent details you keep noticing… they feel like quiet signals, don’t they? Like your body is trying to tell you something.  

What would you say is the most important part of this feeling right now—what draws you in most, or what you wish to explore more deeply?",1.0,1.0,1.0,1.0,1.0,2.0
2,"I hear how much that uncertainty weighs on you—how the silence from the doctors, even when they say everything looks normal, can feel like a kind of dismissal. And when a worry like a brain tumor lingers, especially after years of noticing subtle changes, it’s not just about the diagnosis—it’s about the fear of being misunderstood, or of not being seen in the way you need to be.  

That thought—about a tumor—doesn’t just live in your mind; it lives in the quiet spaces between your breaths, in the way you notice things. And that’s okay. It’s not a sign of weakness, just a sign that your body and mind are deeply attuned to what’s happening inside you.  

Would it be helpful to explore that worry a little more—how it shows up in your body, or what it feels like when it comes up at night? Or is there something else you’d like to talk about first?",1.0,1.0,1.0,1.0,1.0,2.0
3,"I can feel how deeply that worry is woven into your body—how it shows up as a tight chest, a shaky breath, a sense of something being *off* even when the tests say otherwise. It’s not just about the fear of a tumor; it’s about the gap between what your body is telling you and what the medical system is confirming. And that gap? It’s not a flaw in your experience—it’s a reflection of how your nervous system is trying to make sense of a world that doesn’t always answer the questions you’re carrying.  

You’re not wrong for feeling this way. And you’re not alone in wondering if the doctors missed something—because sometimes, what we need isn’t just more tests, but more space to listen to the quiet signals inside ourselves.  

Would you like to talk about what happens in your body when that thought comes up—what part of you feels most afraid, or what part of you *wants* to believe it’s not true? Or would you prefer to explore something else first?",1.0,1.0,1.0,1.0,1.0,2.0
4,"It sounds like your body is acting as a kind of guardian—always alert, always sensing, even when there’s no real threat. And when that guard goes off, it doesn’t just make your thoughts race—it makes your entire physical presence feel disconnected, like you’re floating on the edge of something you can’t quite reach.  

That numbness in the skin, that sense of losing contact with your own body—it’s not just a symptom. It’s your nervous system saying, *“I’m on high alert. I’m trying to protect you.”* And in doing so, it’s also shutting down the parts of you that need to feel safe, grounded, and at ease.  

It’s not a failure of your body—it’s a sign that it’s been working hard for a long time. And maybe, just maybe, it’s time to give that part of you a moment to rest.  

Would you like to explore what it would feel like to gently let that guard down—for just a little bit—without having to prove that the tumor isn’t real? Or is there another part of this that feels most urgent right now?",1.0,0.0,0.0,1.0,0.0,2.0
5,"I hear how deeply that fear is rooted—not in a single moment, but in years of being asked to trust something that feels like it’s missing. That security system on maximum alert isn’t just a metaphor—it’s a real experience of survival, of trying to protect what matters most. And it’s not strange or weak to feel terrified when you’re being asked to let it go.  

The fact that you’re asking, *“What if it shows up tomorrow?”*—that question isn’t a sign of weakness. It’s proof that you care deeply, that you’re not just going through the motions. You’re trying to stay safe, even when it feels impossible.  

Would it be helpful to talk about what it would feel like to take one small step—like allowing yourself to notice a moment of stillness, or simply saying, *“I’m not going to check right now,”* without expecting it to be safe? Or is there a specific part of that fear you’d like to explore more before we move forward?",1.0,0.0,0.0,1.0,0.0,2.0
6,"That’s so powerful—your willingness to sit with the fear, even if it feels like stepping off a cliff in blinders. It’s not about proving anything or fixing anything. It’s about showing up for yourself in the middle of the storm, and saying, *“I see you. I’m here. And right now, I’m choosing to stay with you, even if it’s hard.”*  

You don’t have to believe it’s safe. You don’t have to know what comes next. You just have to allow yourself to be with the feeling—without needing to run from it, without needing to explain it away.  

Would it be helpful to try that small step together—just for five minutes—where you notice the numbness, the tightness, the fear, and simply say to yourself, *“I’m here. This is happening. I’m not going to check now. I’m just going to breathe with it”?*  

Or would you prefer to pause and explore something else first?",1.0,0.0,0.0,1.0,0.0,2.0
7,"Of course. Let’s imagine it—just as you described—quiet, still, and open.  

Picture this: you’re in a soft, quiet space—maybe lying down, or sitting in a chair, or even just standing with your hands resting. You can see the floaters in your vision, or just feel the numbness in your arms, your legs, your chest. It’s not going away. It’s there. And it’s real.  

Now, slowly, you begin to say the words—*“I’m here. This is happening. I’m not going to check now.”*  

Not as a command. Not as a promise. Just as a gentle truth. Like you’re handing a note to yourself: *“I see you. I’m not running. I’m staying.”*  

And as you say it, you don’t have to feel better. You don’t have to feel safe. You just have to *be* with it—like a friend who’s been waiting to say, *“I’m here. I’m not leaving you.”*  

If it feels too hard, you can pause. You can say it again. You can take a breath. You don’t have to do it perfectly. You just",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s exactly it—your mind is not trying to trick you. It’s trying to protect you. And when you say, *“I’m here. This is happening. I’m not going to check now,”* you’re not admitting something is real—you’re honoring that your body has been on guard for so long, and it’s okay to let that guard rest, even just for a little while.  

You’re not lying. You’re not being reckless. You’re simply choosing to meet the fear with presence, not action. And in that choice, you’re giving yourself a chance to breathe—without needing to prove anything.  

The fact that your brain still jumps back to the worst-case scenario? That’s not failure. That’s your nervous system trying to stay safe. And that’s perfectly human.  

So—would you like to stay with that moment for a few more breaths, just sitting with the words, letting them settle in your body like a quiet hand on your chest? Or would you like to try something different next—like noticing what your body feels like *after* you’ve said those words, even if just for a second?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That shift—so small, so quiet—is already powerful. You didn’t need to change anything in your body to feel anchored. You just needed to say, *“I’m here,”* and in that moment, your body remembered it could hold still.  

And yes—the worst-case scenario still shows up. That’s not a flaw. It’s your nervous system remembering what it’s been trained to protect against. But now, instead of running to the MRI, you’ve created a space where you can hear that fear *without* having to act on it.  

You’re not silencing the fear. You’re learning to sit beside it—like a friend who says, *“I see you. I’m not leaving. I’m just here with you.”*  

Would you like to keep that quiet space for a moment longer—just breathing with the words, letting them stay in your chest like a steady pulse? Or would you like to gently explore what happens when you *next* feel that urge to check?",1.0,0.0,0.0,1.0,0.0,2.0
