turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You're feeling really overwhelmed by all these sensations. It sounds like you're having intense anxiety and a sense of being scared and panicky.,-1.0,-1.0,-2.0,0.0,0.0,1.0
2,"You're stuck in a loop where the medication isn't working yet. It's frustrating and painful to know that even when you're taking the medication, you're still having these overwhelming experiences.",-1.0,0.0,-2.0,1.0,0.0,2.0
3,It's isolating to know that you're having these experiences and that other people can't understand. It's tough to know if you're doing something wrong or if there's something fundamentally different about the way you're experiencing the world.,1.0,1.0,1.0,1.0,1.0,2.0
4,"You're trapped in a cycle where you feel completely powerless to stop these sensations, even though you know you don't want to be in that state.",1.0,1.0,1.0,1.0,0.0,2.0
5,"Your breathing gets more shallow and rapid as the anxiety increases, which makes it harder to calm down.",1.0,1.0,1.0,1.0,1.0,2.0
6,You feel like you're stuck in a state of helplessness and you're not sure if there's a way to break this cycle.,1.0,1.0,1.0,1.0,1.0,2.0
7,You replay the sensations from today over and over in your mind.,1.0,0.0,0.0,1.0,0.0,2.0
8,"Sometimes you catch yourself saying, ""I need to stop analyzing the anxiety because it's making it worse,"" but then that analysis seems to trigger a new wave of anxiety.",1.0,0.0,0.0,1.0,0.0,2.0
9,"It becomes another thing to obsess over, which makes the problem worse.",1.0,0.0,0.0,1.0,0.0,2.0
10,There's constant pressure to keep performing in a way that seems impossible given the nature of the anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
11,You feel guilty for feeling that way.,1.0,0.0,0.0,1.0,0.0,2.0
12,You're punishing yourself for having normal human reactions in the face of a condition that's already incredibly stressful.,1.0,0.0,0.0,1.0,0.0,2.0
13,You feel weak for not being able to control your own anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
14,Sometimes you wonder if you'll never feel that way again.,1.0,0.0,0.0,1.0,0.0,2.0
15,"It feels like no matter how much you try to fix it, the problem just keeps coming back.",1.0,0.0,0.0,1.0,0.0,2.0
16,It sounds like your anxiety is so strong that even attempts to manage it are being thwarted.,1.0,0.0,0.0,1.0,0.0,2.0
17,It seems like the fluoxetine is just not reaching the point where it can interrupt the cycle of anxiety when it's triggered by eating.,1.0,0.0,0.0,1.0,0.0,2.0
18,Maybe you need something different than just the fluoxetine?,1.0,0.0,0.0,1.0,0.0,2.0
19,"You're feeling stuck in a place where you're taking the medication, but it's not working well for you, and stopping seems dangerous.",1.0,0.0,0.0,1.0,0.0,2.0
