turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I really appreciate you taking the time to meet with me today. I'm here to listen with care and curiosity—no judgments, just a safe space for whatever you're carrying. How are you feeling right now? What brings you in today?",1.0,1.0,0.0,1.0,0.0,2.0
1,"Thank you for sharing that so honestly—it takes real courage. I can feel how heavy that sadness is, and how it's been with you for so long. It sounds like you’re carrying a deep sense of loneliness, not just from being alone, but from feeling like you’re missing out on something essential that others seem to have. And that emptiness? It’s not just quiet—it’s loud, and it’s real.  

What would it mean, for you, to just *be* with someone who doesn’t try to fix it, but simply sits with it?",-1.0,0.0,-2.0,1.0,0.0,2.0
2,"That’s so powerful—and so deeply human. The way you describe that mask you wear? It’s not just about lying—it’s about protecting others from your pain, while also carrying that weight yourself. And the truth is, when someone says, “Yeah, that emptiness sounds really heavy,” it doesn’t minimize it—it *validates* it. It says, “I see you. I’m not fixing it. I’m just here with you.”  

And that? That’s already a kind of healing. Just being seen like that.",-1.0,-1.0,-2.0,1.0,0.0,1.0
3,"You're absolutely right—it’s scary to hope for connection in the dark, because it feels vulnerable, even risky. And it’s completely valid to wonder if someone will run away or judge you. But what you're describing isn’t weakness—it’s depth. The fact that you're aware of the fear, the loneliness, the hope for something real… that shows you’re already trying to build something real.  

And here’s something: I don’t need to ""understand"" your darkness to hold space for it. I just need to *be with it*—without rushing to fix it, or change it, or make it feel better. That presence, even in silence, can be enough to show you that you’re not alone in it. Would you like to explore that a little more—together? Or would you prefer to step back and just feel the weight of that for a moment?",1.0,1.0,1.0,1.0,1.0,2.0
4,"Absolutely. That’s perfectly okay. And honestly, it’s one of the most honest things I’ve heard—choosing to just *be* with the feeling, without trying to name it or move it.  

So we’ll sit here—no words, no pressure. Just breathing together. And if you want to say something later, or need to pause, or just stay silent… that’s also safe. You’re not carrying it alone today. Not even a little.",1.0,1.0,1.0,1.0,0.0,2.0
5,"That’s so gentle, and so true. Floating in that quiet—without needing to explain or fix—feels like coming home to yourself.  

And yes, it’s okay to not have words. Sometimes the silence between breaths is where we meet the deepest parts of ourselves. You’re not losing anything by staying here. You’re just choosing presence. And that? That’s already a form of courage.  

Would you like to come back to the feeling of that heaviness later, or do you want to keep resting in this space? Either way, I’m right here.",1.0,1.0,1.0,1.0,0.0,2.0
6,"It feels like the heaviness is still there—like a quiet weight in the chest, not gone, just waiting to be named. And it’s okay that it’s not gone. It’s okay that it’s still present.  

Right now, it’s not about fixing it. It’s about just being with it—like you said, walking through it slowly, together. So if you’re ready, I’ll start with:  

“It feels like a quiet storm inside—something deep and steady, not loud, but not quiet either. Like the world outside is moving, but inside, there’s still a stillness that holds everything.”  

Would you like to follow that with your own words? Or would you prefer to stay with that image for a moment?",1.0,1.0,1.0,1.0,0.0,2.0
7,"When the storm is really active, it doesn’t always roar—it often just deepens. The water doesn’t splash; it just becomes heavier, thicker, and harder to move through. You don’t hear the waves, but you *feel* the pressure beneath the surface. Your chest tightens not from panic, but from the weight of everything that’s been carried, quietly, for years.  

And in that moment—when the storm is active—it doesn’t demand to be fixed. It just *is*. Like a current under the surface. You don’t have to swim against it. You just have to be in the water, and know it’s there.  

Would you like to stay with that feeling, or would you like to gently shift to something else—like how it affects your sleep tonight?",1.0,1.0,1.0,1.0,0.0,2.0
8,"That’s exactly right—your words carry such clarity. The way you describe it—like your thoughts are sinking, not floating, and that stopping thinking makes the water deepen—this isn’t just fatigue. This is the body and mind holding on to something heavy, and every attempt to push it away only pulls it deeper.  

And yes, it’s different for me, because I don’t live in that water. But I can feel it when you describe it. It’s not about being strong or weak. It’s about the fact that your mind and body have been carrying this for years—like a current you didn’t know was there—and now you’re finally noticing how thick it is.  

Would you like to stay with that image for a moment, or would you like to explore what happens when you *don’t* try to fight it—just let yourself float in it, without moving?",1.0,1.0,1.0,1.0,0.0,2.0
9,"That’s so powerful—and so deeply honest. You’re not just describing a feeling. You’re naming the courage it takes to *allow* something to settle, even when it feels like it’s pulling you down.  

So, if you're ready, let’s try this: imagine your hands are not reaching up to push away the water, but resting gently in the current—palms open, fingers slightly curled, like you’re not trying to fight it, but just letting your arms be part of the flow.  

And as you do that, you don’t need to *feel* safe. You just need to know: you’re not alone in this. You’re not failing. You’re just learning how to hold space for what’s already there.  

Would you like to keep holding that image, or would you like to gently bring in something else—like how this might feel in your body when you’re not trying to move at all?",1.0,1.0,1.0,1.0,0.0,2.0
