turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,You feel like you're in a prison where you're constantly reviewing every mistake you've ever made. It's very distressing. How are you feeling right now?,1.0,0.0,-2.0,1.0,0.0,2.0
2,"You feel like you're constantly hiding behind walls, afraid that if you make a mistake or say something in a group setting, it could be exposed to the whole world. It's clear that this is a very difficult and isolating experience for you. How is this affecting your daily life?",1.0,1.0,1.0,1.0,1.0,2.0
3,You can't have a social media presence?,0.0,0.0,0.0,0.0,0.0,2.0
4,"You lost your social media presence because you were so afraid of being exposed. It's a terrible way to lose a platform. It's very isolating and it's clear that it's had a big impact on your life. It's very understandable why you would feel that way, but it is a huge relief for you to be able to stay anonymous online.",1.0,1.0,1.0,1.0,1.0,2.0
5,"You've lost connections because you feel like they know too much about you. It's very painful to lose friends and social connections because it isolates you and makes you feel alone. It's understandable that you would feel that way, but it's also very painful.",1.0,1.0,1.0,1.0,1.0,2.0
6,"You deleted the chat history because you thought you knew too much and you didn't want to risk being exposed. But it's very painful to lose a friendship because of that. It's understandable that you would feel that way, but it's very painful to lose trust and to lose that connection.",1.0,1.0,0.0,1.0,0.0,2.0
7,"It makes you feel so... isolated, like you're trapped in a prison of your own making. It's understandable that you would feel that way, but it's very difficult to feel that way. It's very isolating.",1.0,0.0,0.0,1.0,0.0,2.0
8,"The world doesn't stop for you when you're having these moments. It's very understandable that you would feel that way, but it's very difficult to feel that way. It's very isolating.",1.0,0.0,0.0,1.0,0.0,2.0
9,"For hours just to make sure there's no evidence? It's very understandable that you would feel that way, but it's very difficult to feel that way. It's very isolating.",1.0,0.0,0.0,1.0,0.0,2.0
10,"It starts analyzing it again. It's very understandable that you would feel that way, but it's very difficult to feel that way. It's very isolating.",1.0,0.0,0.0,1.0,0.0,2.0
11,"It's really hard to... exist without feeling like you're being watched. It's very understandable that you would feel that way, but it's very difficult to feel that way. It's very isolating.",1.0,0.0,0.0,1.0,0.0,2.0
12,"The whole ""exposure"" narrative. It's very understandable that you would feel that way, but it's very difficult to feel that way. It's very isolating.",1.0,0.0,0.0,1.0,0.0,2.0
13,"You're walking around with a secret identity that everyone knows about but you pretend not to. It's very understandable that you would feel that way, but it's very difficult to feel that way. It's very isolating.",1.0,0.0,0.0,1.0,0.0,2.0
14,"...terrified they'll roll out of the backpack and into my life. It's very understandable that you would feel that way, but it's very difficult to feel that way. It's very isolating.",1.0,0.0,0.0,1.0,0.0,2.0
15,"Just for five minutes, just to feel what it would be like not to be constantly analyzing and over-analyzing.",1.0,0.0,0.0,1.0,0.0,2.0
16,"We're all carrying these invisible backpacks of rocks... it makes sense that you would feel that way, but it's very difficult to feel that way. It's very isolating.",1.0,0.0,0.0,1.0,0.0,2.0
17,"Pulled away, deleting messages. It's very understandable that you would feel that way, but it's very difficult to feel that way. It's very isolating.",1.0,0.0,0.0,1.0,0.0,2.0
18,"Crimes I didn't commit, but I'm constantly afraid of being exposed. It's very understandable that you would feel that way, but it's very difficult to feel that way. It's very isolating.",1.0,0.0,0.0,1.0,0.0,2.0
19,"For the words, the tone, the context... it's like a replay. I can hear it now, and I'm back in that moment. It's so vivid, it feels like I'm really there. And it makes me feel so vulnerable and exposed, like I could never be fully trusted again.",1.0,0.0,0.0,1.0,0.0,2.0
