turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Carly, it's clear you have a lot to tell us, and it's hard to imagine a way out that's good for all parties. I'm sorry it's so painful for you. I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
2,"You're right, it's painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,1.0,2.0
3,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,1.0,2.0
4,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,1.0,2.0
5,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,1.0,2.0
6,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
7,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
8,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
9,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
10,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
11,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
12,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
13,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
14,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
15,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
16,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
17,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
18,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
19,"You're right, it's very painful. It's very difficult to imagine a way out that's good for all parties. I'm sorry it's so painful for you, and I want to understand your perspective, especially with your history of being raised by your mom and how that's influenced you now.

How are you feeling about what's happening with your dad?",1.0,1.0,1.0,1.0,0.0,2.0
