turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Well, I'm sorry to hear that you're having a rough day. It's been a few weeks since you had the stomach virus, and it's understandable that you'd be feeling a little anxious.",1.0,0.0,-2.0,1.0,0.0,2.0
2,"Well, it's understandable that you'd feel overwhelmed by the way you're shaking. It's very distressing, especially when it feels so intense and familiar.",1.0,1.0,1.0,1.0,1.0,2.0
3,"Well, it's understandable that you'd feel that way. It is very difficult when you've worked so hard to stay in control and then you're back to the shaking, back to the panic.",1.0,1.0,1.0,1.0,1.0,2.0
4,"You're stuck in a loop where the more you try to shake the shaking, the more shaking you have, and the more you feel like you're back to the way it used to be.",1.0,1.0,1.0,1.0,1.0,2.0
5,"You're taking deep breaths, but you're still shaking. It's very difficult.",1.0,1.0,1.0,1.0,1.0,2.0
6,You feel so alone in this.,1.0,1.0,1.0,1.0,1.0,2.0
7,It's not just about the shaking; it's about the sense that you've lost control of your entire body.,1.0,1.0,0.0,1.0,0.0,2.0
8,You're drowning in a feeling of being completely overwhelmed by the shaking.,1.0,1.0,0.0,1.0,0.0,2.0
9,"It's stuck in a loop of intense, uncontrollable shaking.",1.0,1.0,0.0,1.0,0.0,2.0
10,You've lost the ability to regulate your own nervous system.,1.0,1.0,0.0,1.0,0.0,2.0
11,It makes it difficult to separate the sensation of being shaken from the reality of being in a state of panic.,1.0,1.0,0.0,1.0,0.0,2.0
12,"They see a person with shaking, but their reaction is often influenced by cultural assumptions that shake = illness or panic.",1.0,1.0,0.0,1.0,0.0,2.0
13,"You would tell them, ""This is a panic attack, I'm experiencing full-body shaking, and I'm feeling like I'm going to die.""",1.0,1.0,0.0,1.0,0.0,2.0
14,"It makes social interactions feel risky because if you do shake, it's easy for others to misinterpret what's going on.",1.0,1.0,0.0,1.0,0.0,2.0
15,The interaction instantly turns from a conversation to a situation where everyone is watching you.,1.0,1.0,0.0,1.0,0.0,2.0
16,"You worry that if you ever shake in public, it will be perceived as a sign of something serious or delusional.",1.0,1.0,0.0,1.0,0.0,2.0
17,It makes you feel like you need to avoid public shaking because it could be perceived as dangerous or unstable.,1.0,1.0,0.0,1.0,0.0,2.0
18,You're holding yourself rigidly to try to prevent shaking.,1.0,1.0,0.0,1.0,0.0,2.0
19,"You feel like you've failed yourself when you shake, even though you were trying to stay rigid to avoid it.",1.0,1.0,0.0,1.0,0.0,2.0
