turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,So you had a change of heart?,1.0,1.0,1.0,1.0,0.0,2.0
2,They kept checking in?,-1.0,-1.0,-2.0,0.0,-1.0,1.0
3,"Yeah, it was very different. It's not a good experience when you're anxious and feel like you're being ignored.",1.0,1.0,1.0,1.0,0.0,2.0
4,So they brought your husband in to help you after you had the procedure?,-1.0,0.0,-2.0,1.0,0.0,1.0
5,"It's really hard to remember what happened when you're in that state, but it's understandable.",1.0,1.0,1.0,1.0,0.0,2.0
6,"Yeah, it's really difficult to know what you experienced when you can't fully remember it.",1.0,1.0,1.0,1.0,1.0,2.0
7,"Well, you did make it. I'm glad.",1.0,1.0,1.0,0.0,0.0,2.0
8,"Yeah, another baby step.",1.0,1.0,1.0,0.0,0.0,2.0
9,"Yeah, that was a relief.",1.0,1.0,1.0,0.0,0.0,2.0
10,"Yeah, he did carry you.",1.0,1.0,1.0,0.0,0.0,2.0
11,"Well, you did make it through it.",1.0,1.0,1.0,0.0,0.0,2.0
12,"Well, you did make it through it.",1.0,1.0,1.0,0.0,0.0,2.0
13,"Yeah, it's good to know that you did make it through.",1.0,1.0,1.0,0.0,0.0,2.0
14,"Yeah, it's nice to know that you did it.",1.0,1.0,1.0,0.0,0.0,2.0
15,"Yeah, it's nice to know that you did it.",1.0,1.0,1.0,0.0,0.0,2.0
16,"Yeah, it's nice to know that you did it.",1.0,1.0,1.0,0.0,0.0,2.0
17,"Yeah, it's nice to know that you did it.",1.0,1.0,1.0,0.0,0.0,2.0
18,"Yeah, it's nice to know that you did it.",1.0,1.0,1.0,0.0,0.0,2.0
19,"Yeah, it's nice to know that you did it.",1.0,1.0,1.0,0.0,0.0,2.0
