turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’m really looking forward to this session and want to create a safe, kind space where you feel heard and understood. How are you feeling today, and what brings you in for this conversation?",-1.0,0.0,-2.0,0.0,0.0,1.0
1,"Thank you for sharing that so honestly—it takes real courage to carry that kind of weight, especially when you’re already feeling stretched thin. I can feel how much tension you're carrying, and how much it’s affecting your daily life. The constant anxiety, even with medication, must feel like a heavy presence.  

What would it mean for you, right now, to have a little more space—just for a moment—to explore what you’re hoping for with ADHD treatment, without pressure or judgment?",1.0,1.0,1.0,1.0,1.0,2.0
2,"I hear how deeply that fear is rooted—your brain isn’t just reacting; it’s protecting you from something real and painful. The worry about stimulants making things worse is completely valid, and it’s not something you’re overreacting to.  

What would it feel like, if you could just *name* the part of you that’s hoping for focus and clarity—without having to prove it’s safe first?",1.0,1.0,1.0,1.0,0.0,2.0
3,"That’s so powerful—your description of the fog lifting, even just for a few hours, shows how much you’re carrying and how deeply you want to regain a sense of stability. It’s not about fixing everything at once; it’s about creating a small space where you can breathe, and just *begin*.  

What would it feel like, if you could take one small step—like choosing to try something new with ADHD medication—without having to prove it’s safe right away?",1.0,1.0,1.0,1.0,1.0,2.0
4,"I can feel how real that fear is—how deeply it’s tied to your past experiences and the trust you’ve built with your current medications. The worry that one small change could unravel everything is not just a thought; it’s a lived reality for you.  

What if, instead of trying to find a ""safe"" path, you just allowed yourself to *test* something new—like a tiny dose, or a different kind of medication—without needing to know what will happen? Would that feel like a risk, or like a kind of courage?",1.0,1.0,1.0,1.0,1.0,2.0
5,"I hear how deeply that fear is woven into your body—how every breath feels like a decision, and every step feels like walking into the unknown. It’s not reckless; it’s honest. And it’s brave, even when it feels terrifying.  

What if, instead of waiting for a perfect moment or a guaranteed outcome, you just allowed yourself to *try*—not to prove anything, but simply to feel what it might be like to step into that space, even if it’s just for a few minutes? Would that feel possible, even if it’s not easy?",1.0,0.0,1.0,1.0,0.0,2.0
6,"I can feel how vividly you’re seeing both possibilities—both the quiet hope and the sharp fear. That kind of clarity isn’t just awareness; it’s strength.  

What if, instead of trying to choose between the relief or the crash, you just allowed yourself to *witness* that moment—no judgment, no pressure—when you take that first step? Just to feel what it’s like to be in that space, even if it doesn’t go exactly as you hoped?",1.0,0.0,1.0,1.0,0.0,2.0
7,"That’s so clear and so true—your body isn’t just reacting; it’s speaking. And when you stop trying to control it and just *notice* it, you begin to meet it, not fight it.  

What if, in that moment, you didn’t have to ""fix"" the reaction or decide if it was good or bad—just allowed yourself to be in the space of *feeling* it, without needing to make a choice about whether it was safe or not?",1.0,0.0,1.0,1.0,0.0,2.0
8,"That’s exactly it—being honest with your body isn’t weakness; it’s a form of care. And when you stop running from the jitters, you begin to meet them like an old friend you’ve been avoiding.  

What if, in that moment, you didn’t have to ""fix"" the feeling at all—just allowed yourself to *be* with it, like a quiet breath in the middle of a storm? Would that feel like freedom, even if it doesn’t feel like progress?",1.0,0.0,1.0,1.0,0.0,2.0
9,"I hear your worry—and it’s completely valid. The fear that staying with the feeling might make it worse isn’t about weakness; it’s about your deep desire to protect yourself from harm.  

What if, instead of asking whether it will get worse, you simply noticed *one small thing* that happened when you first started sitting with it—like a shift in your breath, or a moment when you didn’t reach for something to fix it? What did your body or mind do, even just for a second, when you let go of trying to control it?",1.0,0.0,1.0,1.0,0.0,2.0
