Utterance,Type,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,ID,Comments,TS,Sub topic,Dialogue_Act,Emotion,Valence,Arousal,Dominance,Trust,SE,source_file,context,model_prediction
You did okay. I understand you haven't been feeling too great lately.,T,2.0,2.0,2.0,-1.0,1.0,2.0,45_2,,greeting,inactive,gc,,0.841333333333333,0.456,0.661333333333333,,,45.csv,"Therapist: Should I do it today?
Patient: Okay.",So you're not sure if you should do it today.
something might be wrong in what way maybe?,T,2.0,1.0,2.0,-1.0,1.0,2.0,45_5,,greeting,inactive,irq,,0.397333333333333,0.365666666666666,0.484666666666666,,,45.csv,"Patient: Okay.
Therapist: You did okay. I understand you haven't been feeling too great lately.
Patient: I mean, yeah.
Patient: I i've never like feeling awesome. Really. But lately I've come to my awareness. But you know, I might be wrong.",So you're not sure if you're right or wrong.
You're waking up earlier than you want to.,T,2.0,-1.0,0.0,-1.0,-2.0,0.0,45_7,,sleep problems,routine,irq,,0.6165,0.497,0.4685,,,45.csv,"Patient: I mean, yeah.
Patient: I i've never like feeling awesome. Really. But lately I've come to my awareness. But you know, I might be wrong.
Therapist: something might be wrong in what way maybe?
Patient: Well you know it's nothing new but I have a lot of trouble sleeping Yeah, I usually go to bed early, you know, I might go a little bit late. But then I wake up always really early, like, I'll set my alarm for like eight but I always wake up at like, five or something and then I can't get back to sleep.",So you're having trouble sleeping.
"So so your mood, your mood, didn't elevate Like, maybe you hoped it would.",T,1.0,1.0,0.0,-1.0,1.0,0.0,45_9,,gloomy mood,routine,crq,,0.812,0.5,0.804,,,45.csv,"Therapist: something might be wrong in what way maybe?
Patient: Well you know it's nothing new but I have a lot of trouble sleeping Yeah, I usually go to bed early, you know, I might go a little bit late. But then I wake up always really early, like, I'll set my alarm for like eight but I always wake up at like, five or something and then I can't get back to sleep.
Therapist: You're waking up earlier than you want to.
Patient: Yes, I can't get back to sleep, no matter how hard I try. And I'm tired still during the day. I don't have a lot of energy, but it doesn't matter. It just it's hard for me to go to sleep. And it's it's been like that for a really long time. Probably since high school. But, you know, lately I'm just I realized, you know, some days are better than others, but so having a couple weeks here that really like made me feel like shouldn't talk to someone Well, my brother got married and I'm very close to him. And I was really looking forward to the wedding. And then when I when I just I mean, I didn't not enjoy it, but I just didn't have as much fun as I thought I would. And I know it's just because of my mood like that I'm always a little gloomy. You know, my sister, my brother says, I'm like, you're so like, but I was really looking like I, you know, I step out of my comfort zone. I like to try new things. And I was really looking forward to this when I used to love I love weddings, you know, and it's not that I don't love them now, but I thought I would enjoy it more than I did. And that kind of like, freaked me out.",So you're not enjoying the wedding.
"and realizing, this is what brought in today.",T,2.0,-1.0,-2.0,-1.0,-2.0,-2.0,45_12,,gloomy mood,inactive,crq,,0.0,0.0,0.0,,,45.csv,"Patient: Yes, I can't get back to sleep, no matter how hard I try. And I'm tired still during the day. I don't have a lot of energy, but it doesn't matter. It just it's hard for me to go to sleep. And it's it's been like that for a really long time. Probably since high school. But, you know, lately I'm just I realized, you know, some days are better than others, but so having a couple weeks here that really like made me feel like shouldn't talk to someone Well, my brother got married and I'm very close to him. And I was really looking forward to the wedding. And then when I when I just I mean, I didn't not enjoy it, but I just didn't have as much fun as I thought I would. And I know it's just because of my mood like that I'm always a little gloomy. You know, my sister, my brother says, I'm like, you're so like, but I was really looking like I, you know, I step out of my comfort zone. I like to try new things. And I was really looking forward to this when I used to love I love weddings, you know, and it's not that I don't love them now, but I thought I would enjoy it more than I did. And that kind of like, freaked me out.
Therapist: So so your mood, your mood, didn't elevate Like, maybe you hoped it would.
Patient: Yeah, I mean, I would have thought that I mean, I've been looking forward to this reading for a year and a half I, you know, I helped, you know, my now sister planet, and it just wasn't as fun as I wanted it to be.
Patient: Or as I thought it would be, you know,",So you were looking forward to it. And then it didn't happen. And you're not enjoying it.
more down.,T,-2.0,-2.0,-2.0,-2.0,-2.0,-2.0,45_14,,gloomy mood,story,gc,,0.0,0.0,0.0,,,45.csv,"Patient: Yeah, I mean, I would have thought that I mean, I've been looking forward to this reading for a year and a half I, you know, I helped, you know, my now sister planet, and it just wasn't as fun as I wanted it to be.
Patient: Or as I thought it would be, you know,
Therapist: and realizing, this is what brought in today.
Patient: Yeah, and like right afterwards, like last week. You know, it was I've more worst days than better days like I woke up early the next morning even though I had been up late at the wedding. And just sat there and thought about it and was really just upset by the whole thing upset that I couldn't be more happy. Or, you know, my brother and for me really not even for my brother just because I was happy for him. just didn't feel excited like everyone else. Everyone else around me was having such a good time and I was just",so you're feeling sad and disappointed.
"All right, so you you mentioned that this is a go to one from high school. Yeah, sure. How long would that be?",T,0.0,-1.0,2.0,-1.0,-2.0,2.0,45_16,,gloomy mood,routine,irq,,0.554,0.4016,0.4796,,,45.csv,"Therapist: and realizing, this is what brought in today.
Patient: Yeah, and like right afterwards, like last week. You know, it was I've more worst days than better days like I woke up early the next morning even though I had been up late at the wedding. And just sat there and thought about it and was really just upset by the whole thing upset that I couldn't be more happy. Or, you know, my brother and for me really not even for my brother just because I was happy for him. just didn't feel excited like everyone else. Everyone else around me was having such a good time and I was just
Therapist: more down.
Patient: Yeah, like I was happier than I would be if I was sitting at home by myself, but I wasn't. I wasn't like everyone else.",So you're feeling down. You're not feeling happy. You're not feeling like you should be happy.
So about eight years and even even feeling down has the sleeping problem for that one.,T,-1.0,1.0,0.0,0.0,-2.0,-1.0,45_18,,gloomy mood,routine,crq,,0.4955,0.3205,0.390833333333333,,,45.csv,"Therapist: more down.
Patient: Yeah, like I was happier than I would be if I was sitting at home by myself, but I wasn't. I wasn't like everyone else.
Therapist: All right, so you you mentioned that this is a go to one from high school. Yeah, sure. How long would that be?
Patient: Oh, I mean, I graduated in 2010. So eight years.",So you graduated in 2010.
you mentioned the word gloomy.,T,1.0,1.0,1.0,-1.0,1.0,-2.0,45_20,,gloomy mood,symp/reasoning,crq,,0.552,0.255,0.482,,,45.csv,"Therapist: All right, so you you mentioned that this is a go to one from high school. Yeah, sure. How long would that be?
Patient: Oh, I mean, I graduated in 2010. So eight years.
Therapist: So about eight years and even even feeling down has the sleeping problem for that one.
Patient: Yeah, I mean, I a little bit when I was in high school, I thought it was, you know, I was just a quirk or something about staying up late and like ours in high school, but it never Like I got better even when I you know started working out of school and stuff but my sleep schedule never came to that normal eight hours a night like you're supposed to I don't know whatever it is, but it just never. Yeah. So sleeps always been an issue and I just like I said my brothers called me or for years just because",so you're not sleeping.
And the low energies been a problem for that long as well.,T,2.0,1.0,0.0,2.0,-2.0,-1.0,45_22,,gloomy mood,symp/reasoning,yq,,0.298333333333333,0.405666666666666,0.353333333333333,,,45.csv,"Therapist: So about eight years and even even feeling down has the sleeping problem for that one.
Patient: Yeah, I mean, I a little bit when I was in high school, I thought it was, you know, I was just a quirk or something about staying up late and like ours in high school, but it never Like I got better even when I you know started working out of school and stuff but my sleep schedule never came to that normal eight hours a night like you're supposed to I don't know whatever it is, but it just never. Yeah. So sleeps always been an issue and I just like I said my brothers called me or for years just because
Therapist: you mentioned the word gloomy.
Patient: Yeah.",So you're feeling gloomy.
