Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hello, Alyssa.",T,ofnnuwscA1Y_1,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,,"Hello Sarah, how you doing today?"
It's good to see you today. I'm glad you could see me. So tell me a little bit more about why you're here.,T,ofnnuwscA1Y_3,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Hello, Alyssa.
Patient: Hello.",Hello. My name's Dr. Beddoe. I'm the psychiatrist here. My reference number is WREN 1234. Would you like to discuss what brings you here today?
So who told you to come here for it?,T,ofnnuwscA1Y_5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,"Therapist: Hello, Alyssa.
Patient: Hello.
Therapist: It's good to see you today. I'm glad you could see me. So tell me a little bit more about why you're here.
Patient: Um, well I guess I have anger issues. I just find myself getting mad all the time and I get in a lot of trouble over it. People can't handle it, so they told me to come here for it.",All right. So you have anger issues and you're getting in trouble getting in trouble because of that. Do you think you have trouble following the rules?
"You're not excited about being here. Yeah, I hear you. Well, what is your objective? What do you want out of this today?",T,ofnnuwscA1Y_7,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Hello, Alyssa.
Patient: Hello.
Therapist: It's good to see you today. I'm glad you could see me. So tell me a little bit more about why you're here.
Patient: Um, well I guess I have anger issues. I just find myself getting mad all the time and I get in a lot of trouble over it. People can't handle it, so they told me to come here for it.
Therapist: So who told you to come here for it?
Patient: The courts. Okay, so yeah, I'm not really... I don't really want to be here, so...",You're not really wanting to be here?
Okay. And maybe manage that a little bit better.,T,ofnnuwscA1Y_9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: It's good to see you today. I'm glad you could see me. So tell me a little bit more about why you're here.
Patient: Um, well I guess I have anger issues. I just find myself getting mad all the time and I get in a lot of trouble over it. People can't handle it, so they told me to come here for it.
Therapist: So who told you to come here for it?
Patient: The courts. Okay, so yeah, I'm not really... I don't really want to be here, so...
Therapist: You're not excited about being here. Yeah, I hear you. Well, what is your objective? What do you want out of this today?
Patient: I mean, I know I'm probably angrier than the average person. So people do a lot of things to make me mad, so I guess I'd like to find a way to not be so mad all the time.","So you're angry a lot, and you're frustrated. And you're feeling like you're at the top of the anger scale, you're really, really angry. And you want to be less angry."
"Okay. Tell me, um, is it school you're getting mad, is it home you're getting mad, is it friends? Tell me about that a little bit.",T,ofnnuwscA1Y_11,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,"Therapist: So who told you to come here for it?
Patient: The courts. Okay, so yeah, I'm not really... I don't really want to be here, so...
Therapist: You're not excited about being here. Yeah, I hear you. Well, what is your objective? What do you want out of this today?
Patient: I mean, I know I'm probably angrier than the average person. So people do a lot of things to make me mad, so I guess I'd like to find a way to not be so mad all the time.
Therapist: Okay. And maybe manage that a little bit better.
Patient: Yeah.",So being more aware of my emotions and trying to not be as angry would be part of it?
"Okay. Before we get into this a little bit, I'd like to tell you a little bit about your brain. Have you ever heard of the amygdala? It's known as the alarm center. It normally indicates fight, flight, or freeze.",T,ofnnuwscA1Y_13,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: You're not excited about being here. Yeah, I hear you. Well, what is your objective? What do you want out of this today?
Patient: I mean, I know I'm probably angrier than the average person. So people do a lot of things to make me mad, so I guess I'd like to find a way to not be so mad all the time.
Therapist: Okay. And maybe manage that a little bit better.
Patient: Yeah.
Therapist: Okay. Tell me, um, is it school you're getting mad, is it home you're getting mad, is it friends? Tell me about that a little bit.
Patient: I guess with my friends I'm cool. It's just definitely at home with my mom. We fight almost every day. And at school I get in fights with the teachers, so I get like detention and stuff like that.",Detention sounds like a pretty big one. And that sounds like you're really struggling a little bit with that. Do you think that's part of what's led to some of the fighting you've been having?
"Okay, you're a fighter. Tell me an example when the alarm is going off and you are really angry.",T,ofnnuwscA1Y_15,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: Okay. And maybe manage that a little bit better.
Patient: Yeah.
Therapist: Okay. Tell me, um, is it school you're getting mad, is it home you're getting mad, is it friends? Tell me about that a little bit.
Patient: I guess with my friends I'm cool. It's just definitely at home with my mom. We fight almost every day. And at school I get in fights with the teachers, so I get like detention and stuff like that.
Therapist: Okay. Before we get into this a little bit, I'd like to tell you a little bit about your brain. Have you ever heard of the amygdala? It's known as the alarm center. It normally indicates fight, flight, or freeze.
Patient: Yeah, I'm definitely a fighter.",You are a fighter. Okay. So the amygdala is telling you to fight. Do you think that makes you a fighter?
Okay. And that was just yesterday?,T,ofnnuwscA1Y_17,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,"Therapist: Okay. Tell me, um, is it school you're getting mad, is it home you're getting mad, is it friends? Tell me about that a little bit.
Patient: I guess with my friends I'm cool. It's just definitely at home with my mom. We fight almost every day. And at school I get in fights with the teachers, so I get like detention and stuff like that.
Therapist: Okay. Before we get into this a little bit, I'd like to tell you a little bit about your brain. Have you ever heard of the amygdala? It's known as the alarm center. It normally indicates fight, flight, or freeze.
Patient: Yeah, I'm definitely a fighter.
Therapist: Okay, you're a fighter. Tell me an example when the alarm is going off and you are really angry.
Patient: Just yesterday with my mom, she told me to do the dishes. I just wanted the show to end, but she kept yelling and I started yelling at her. I ended up punching a wall.","Okay, so when you're angry, you act on it. You're a fighter. And you used physical contact to try and get what you wanted."
"Okay. Your mom asked you to do something, she pestered you, and it escalated until you punched a wall. Tell me about a situation at school when your alarm center is going off.",T,ofnnuwscA1Y_19,1.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,2.0,"Therapist: Okay. Before we get into this a little bit, I'd like to tell you a little bit about your brain. Have you ever heard of the amygdala? It's known as the alarm center. It normally indicates fight, flight, or freeze.
Patient: Yeah, I'm definitely a fighter.
Therapist: Okay, you're a fighter. Tell me an example when the alarm is going off and you are really angry.
Patient: Just yesterday with my mom, she told me to do the dishes. I just wanted the show to end, but she kept yelling and I started yelling at her. I ended up punching a wall.
Therapist: Okay. And that was just yesterday?
Patient: Yeah, that was just yesterday.","Okay. So when you were yelling at your mom, did you notice any physical contact?"
