Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
Hi Rebecca. How are you doing today? What's been going on?,T,ZSDJymlMOxg_1,1.0,1.0,0.0,1.0,0.0,2.0,1,1,1,1,0,2,,"Hi, Carly. How are you doing today? I'm doing well, thanks for asking. How have things been?"
A car accident?,T,ZSDJymlMOxg_3,1.0,1.0,1.0,1.0,0.0,2.0,-1,-1,-2,0,0,2,"Therapist: Hi Rebecca. How are you doing today? What's been going on?
Patient: Well, nothing too bad. I kind of got in a little bit of a fender-bender accident.","Oh, I'm sorry about that. Well, tell me about it."
What happened?,T,ZSDJymlMOxg_5,1.0,0.0,0.0,1.0,0.0,2.0,0,0,-2,0,0,2,"Therapist: Hi Rebecca. How are you doing today? What's been going on?
Patient: Well, nothing too bad. I kind of got in a little bit of a fender-bender accident.
Therapist: A car accident?
Patient: Yeah.",So you were in a car accident. Tell me about what happened.
Oh. You okay?,T,ZSDJymlMOxg_7,-1.0,-1.0,-2.0,-1.0,-1.0,1.0,-1,-1,-2,0,0,1,"Therapist: Hi Rebecca. How are you doing today? What's been going on?
Patient: Well, nothing too bad. I kind of got in a little bit of a fender-bender accident.
Therapist: A car accident?
Patient: Yeah.
Therapist: What happened?
Patient: We were at a red light and the car behind me hit me, and then I hit the car in front of me.","So you were stopped at a red light and the car behind you rear-ended you, and you hit the car in front of you. Okay. And you were wearing your seatbelt at the time?"
So physically you're okay. Were you checked out by your physician?,T,ZSDJymlMOxg_9,1.0,0.0,1.0,1.0,0.0,2.0,-1,-1,-2,0,0,1,"Therapist: A car accident?
Patient: Yeah.
Therapist: What happened?
Patient: We were at a red light and the car behind me hit me, and then I hit the car in front of me.
Therapist: Oh. You okay?
Patient: I was jolted back and forth. I've got a couple of bruises, but physically I'm okay.",You're okay? You were in a car accident. You're okay physically?
All right. How about emotionally?,T,ZSDJymlMOxg_11,1.0,1.0,1.0,1.0,0.0,2.0,1,0,-2,1,0,2,"Therapist: What happened?
Patient: We were at a red light and the car behind me hit me, and then I hit the car in front of me.
Therapist: Oh. You okay?
Patient: I was jolted back and forth. I've got a couple of bruises, but physically I'm okay.
Therapist: So physically you're okay. Were you checked out by your physician?
Patient: Yeah, everything's okay there. I didn't break anything.",Good. So you were checked out and no physical problems found. And you're still having these thoughts of going back into the accident?
What was the thought that came into your mind?,T,ZSDJymlMOxg_13,1.0,0.0,0.0,1.0,0.0,2.0,1,0,0,1,0,2,"Therapist: Oh. You okay?
Patient: I was jolted back and forth. I've got a couple of bruises, but physically I'm okay.
Therapist: So physically you're okay. Were you checked out by your physician?
Patient: Yeah, everything's okay there. I didn't break anything.
Therapist: All right. How about emotionally?
Patient: It's been hard to get in my car. My boyfriend asked if I wanted to go on a trip, and I'm hesitant.",So you're having some difficulty with your relationship with your boyfriend and with driving. What happened to make you think that you might have a panic attack?
"So it was really all about the car, not anything else about the trip?",T,ZSDJymlMOxg_15,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: So physically you're okay. Were you checked out by your physician?
Patient: Yeah, everything's okay there. I didn't break anything.
Therapist: All right. How about emotionally?
Patient: It's been hard to get in my car. My boyfriend asked if I wanted to go on a trip, and I'm hesitant.
Therapist: What was the thought that came into your mind?
Patient: I'm going to get hurt.","All right, so you were thinking you were going to get hurt. And you didn't. So what was the feeling that came up when you were thinking you were going to get hurt?"
And you felt you were going to get hurt?,T,ZSDJymlMOxg_17,-1.0,-1.0,-2.0,0.0,0.0,1.0,1,1,1,1,0,2,"Therapist: All right. How about emotionally?
Patient: It's been hard to get in my car. My boyfriend asked if I wanted to go on a trip, and I'm hesitant.
Therapist: What was the thought that came into your mind?
Patient: I'm going to get hurt.
Therapist: So it was really all about the car, not anything else about the trip?
Patient: No, it was being in the car, driving the car.",So the thought was 'I'm going to get hurt' and the behavior was not getting in the car. What was the feeling that came up when you were in the car?
Much more nervous than usual?,T,ZSDJymlMOxg_20,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,0,2,"Patient: I'm going to get hurt.
Therapist: So it was really all about the car, not anything else about the trip?
Patient: No, it was being in the car, driving the car.
Therapist: And you felt you were going to get hurt?
Patient: Yeah, I'm going to get hit. I would normally be excited about a trip, but now I'm just scared.
Patient: Even coming here today, I didn't want to drive. I was more aware, but very nervous.",So you were nervous even about driving to the place where you're going to receive counseling. And you were nervous about driving to the airport for the trip that caused all this. So you were nervous about driving in general. And you were nervous about being in the car on the trip. And now you're nervous about driving to get here. So it sounds like you're really nervous about driving in general.
