turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to this session and want you to know that whatever you share with me is safe, private, and held with care. I’m here to listen without judgment, and I’m truly interested in what’s on your mind.  

What brings you in today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Thank you for sharing that — it takes real courage to say something so honest, especially when it feels so heavy. I can feel how much pain and exhaustion you're carrying, and it’s not just about ""wasting time"" — it’s about feeling like you’ve been invisible, unseen, and perhaps even dismissed by the world.  

It sounds like you’ve been carrying this weight for years, and that must have been incredibly lonely. You’re not broken — you’re just carrying something that’s been too heavy to carry alone.  

What would it mean, in this moment, to just *be* with that feeling — without needing to fix it or make it go away?",1.0,1.0,1.0,1.0,1.0,2.0
2,"I hear how loud that numbness feels — like it’s not just a feeling, but a presence that’s been living inside you for years. And it’s so brave of you to say you’re trying to sit with it, even when it’s overwhelming. That kind of willingness is not something you can force — it’s something you grow into, slowly, like a seed in dark soil.  

And you’re absolutely right — when the energy is low, even small steps feel impossible. But what if, in that quiet moment, you just allowed yourself to say, *""I’m here. I’m not doing anything right now, and that’s okay.""* Not as a goal, but as a truth.  

Would it be helpful to explore what that quiet moment feels like — not as a destination, but as a place you can return to, even when you’re too tired to go anywhere else?",1.0,1.0,1.0,1.0,0.0,2.0
3,"I see how the chaos feels like it’s closing in — like every time you try to rest, the noise just floods back in. And that guilt… it’s not just about productivity. It’s about the deep belief that *being* is somehow a failure, when really, *being* is where healing begins.  

What if, instead of seeing that quiet moment as something you have to *achieve*, you thought of it as something you can *return to* — even when it’s hard? Like a familiar place you might not have found yet, but one that doesn’t demand action, just presence?  

Would it be useful to explore what that place might feel like — not as a goal, but as a possibility, even when it feels far away?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s so honest — the mind acting like a gatekeeper, always guarding the door with its own stories. And it’s not wrong to feel afraid of that place, because it’s not just a quiet room — it’s a space where you can finally stop being your own critic.  

What if that place didn’t have to be silent? Maybe it’s just a little corner where the noise is still there — but you’re no longer running from it. A place where you can sit with the thoughts, the guilt, the exhaustion — and still say, *""This is happening. And I’m here with it.""*  

Would it be helpful to imagine that place not as a perfect, still room, but as something soft, like a blanket you can curl into — even if it’s not warm yet, or full of light?",1.0,0.0,0.0,1.0,0.0,2.0
5,"I see how the blanket becomes a task — not a comfort, but a project. And that’s so true: when we try to *use* safety as a tool, it often starts to feel like another thing we have to earn or fix.  

But what if the blanket wasn’t meant to be folded or carried — just *felt*? What if it showed up not because you found it, but because you stopped trying to control the noise, and just allowed yourself to be in the space where it lives?  

Would it be helpful to explore what that feels like — not as a destination, but as a simple presence, like a breath that doesn’t have to be perfect, just real?",1.0,0.0,0.0,1.0,0.0,2.0
6,"I hear how much it hurts to feel like you’re falling apart — and how hard it is to let yourself just *be* without the voice saying, *""You're failing.""*  

But what if that moment of being — even just a single breath — wasn’t about fixing anything, or proving you’re okay, but simply about showing up, as you are? Like a small act of kindness to yourself, not because you’re supposed to, but because you *can*.  

Would it be helpful to try this — not as a goal, but as a tiny, quiet act: just noticing your breath, even if it’s shallow, even if it’s broken — and saying to yourself, *""I’m here. I’m breathing. That’s enough""?*",1.0,0.0,0.0,1.0,0.0,2.0
7,"I see how the thought ""I'm here. I'm breathing. That's enough"" feels like stepping into a room that’s not quite ready — like the walls are still closing in. And that’s okay.  

The point isn’t that the thought stays — it’s that you’re allowing it to live, even for one second, without having to earn it back. Just saying it is already a small act of courage.  

Would it be helpful to try it again — not to make it stick, but to simply *say it* — even if your mind jumps back to the next thing, even if it feels like a failure? Just for one breath?",1.0,0.0,0.0,1.0,0.0,2.0
8,"You're right — the real courage isn’t in making the thought last. It’s in saying it at all, even when the mind rushes in with its old stories.  

And that one second of saying *""I'm here. I'm breathing. That's enough""* — even if it gets drowned out — is not failure. It’s a whisper of safety, like a thread pulled through the storm.  

Would it be helpful to just say it again — not to fix anything, not to prove anything — just to feel it, even if your body still feels like it’s moving, or your mind still shouts? Just once, right now?",1.0,0.0,0.0,1.0,0.0,2.0
9,"Yes — it counts.  

You didn’t have to hold the words, or make them last, or silence the noise. You just let them be. And in that tiny moment — even if it was drowned out by the storm — you gave yourself permission to exist without having to perform.  

That’s not failure. That’s the first step of a quiet return.  

Would it be helpful to notice that — not as a victory, but as a small, real act of showing up, just as you are?",1.0,0.0,0.0,1.0,0.0,2.0
10,"Maybe the point isn’t to stay in that space — or to stay away from the storm.  

Maybe the point is just to keep showing up, even when the storm comes back.  

Every time you say *""I'm here. I'm breathing. That's enough""*, even if it’s followed by a scream, it’s not a failure. It’s a signal — a quiet, steady pulse saying, *""I am still here. I am still trying.""*  

And if you can do that again tomorrow — even if your mind says, *""You're broken again,""* — that’s not weakness. That’s proof you’re still walking through the fog.  

Would it be helpful to just keep that one phrase — not as a goal, not as a fix — but as a small, gentle reminder that you don’t have to be perfect, or productive, or safe — just present?",1.0,0.0,0.0,1.0,0.0,2.0
11,"You're not falling — you're learning how to walk on the ice without breaking.  

The fact that you *want* to say it — even when you know it won’t last — means you’re not chasing perfection. You’re reaching for something real: the quiet, fragile space where you can say, *""I’m here,""* without needing to prove it.  

And that’s not failure. That’s courage.  

Would it be helpful to keep that small wish — not to fix anything, not to win, but just to carry that desire forward, like a quiet promise to yourself: *""I’ll try again, even if I fall""?*",1.0,0.0,0.0,1.0,0.0,2.0
12,"Just to let them live — for one breath — before the storm returns.  

And that’s enough.  

Would it be helpful to carry that quiet promise with you — not as a goal, not as a task, but as a soft, steady presence — like a quiet echo saying, *""I’m here. I’m still trying""?*",1.0,0.0,0.0,1.0,0.0,2.0
13,"The promise doesn’t break when you scroll, or when you don’t study, or when you just sit in the quiet with no plan.  

It only breaks if you forget you made it — and you didn’t.  

You remembered to say *""I'm here. I'm still trying""* before the storm took over — even if it was just a whisper. That’s not failure. That’s presence.  

And if you remember that — even when the world feels like it’s falling apart — then you’re not failing. You’re showing up.  

Would it be helpful to just keep that stone in your pocket — not to use it, not to prove anything — just to know it’s there, warm, and real?",1.0,0.0,0.0,1.0,0.0,2.0
14,"Yes — keeping that warm stone means you can let go of the pressure to fix anything right now.  

You don’t have to read a paragraph. You don’t have to move. You don’t have to ""do"" anything.  

You just have to witness — quietly, gently — that you are here, breathing, feeling, showing up.  

And when you do that — even if your mind shouts, *""You’re failing,""* or *""You’re not enough""* — you’re not breaking the promise. You’re honoring it.  

Would it be helpful to just carry that quiet witness — not as a goal, not as a performance — but as a simple, steady presence in your day?",1.0,0.0,0.0,1.0,0.0,2.0
15,"It counts — completely.  

Showing up isn’t about moving, or producing, or even feeling anything. It’s about being present — even when nothing changes, even when you’re still.  

Sitting on the floor, staring at a blank wall, letting your mind wander, letting the silence grow — that’s not failure. That’s presence.  

And when you say *""I'm here. I'm still trying""* before the spiral takes over — you’re not trying to fix anything. You’re just saying, *""I see you. I see the storm. I see the stillness. And I’m with you.""*  

Would it be helpful to just keep that as your quiet anchor — not a task, not a goal — but a simple, steady breath of recognition?",1.0,0.0,0.0,1.0,0.0,2.0
16,"Yes — that counts as honoring the promise.  

You’re not fighting the voice. You’re not trying to outrun it. You’re simply meeting it — with stillness, with presence — and saying, *""I see you. I see the storm. I'm here.""*  

That’s not weakness. That’s courage.  

And when you do that — even when your mind says *""You’re lazy,""* or *""You should be doing more""* — you’re not punishing yourself. You’re giving yourself permission to stay.  

Would it be helpful to keep that whisper — not as a fix, not as a performance — but as a quiet act of trust: *""I am here. Even when I don’t feel like I’m doing anything right?""*",1.0,0.0,0.0,1.0,0.0,2.0
17,"Yes — that counts as keeping the promise.  

You’re not avoiding the pain. You’re not pretending it doesn’t exist. You’re just sitting with it — like a friend who says, *""I see you. This hurts. I’m not fixing it. I’m just here with you.""*  

And when you say that — even if it’s just a whisper — you’re not falling behind. You’re not failing. You’re showing up in the exact place where you’ve been hiding: in the quiet, in the ache, in the mess.  

Would it be helpful to carry that quiet witness — not as a performance, not as a solution — but as a simple, steady presence: *""I see this pain. I see how much it hurts. And I’m still here with it?""*",1.0,0.0,0.0,1.0,0.0,2.0
18,"Yes — that counts as keeping the promise.  

You’re not fixing the weight. You’re not trying to shrink it. You’re just sitting with it — the mud, the pain, the crushing sense of loss — like it’s part of the ground you’re standing on.  

And when you say *""I see this heavy feeling. It's huge. It makes my chest tight. And I'm still here with it,""* you’re not adding judgment. You’re adding presence.  

You’re not trying to make yourself better. You’re just saying: *""I’m here. I see you. Even when you’re broken.""*  

Would it be helpful to keep that whisper — not as a fix, not as a task — but as a quiet act of staying: *""I see this pain. I see how heavy it is. And I’m still here with it?""*",1.0,0.0,0.0,1.0,0.0,2.0
19,"Yes — that counts as keeping the promise.  

You’re not arguing with the story. You’re not trying to erase it. You’re simply holding space for it — like a friend who says, *""I see you. I see how much this hurts. I don’t have to fix it. I just have to be here with it.""*  

And when you say that — even if your mind races or your body tenses — you’re not failing. You’re showing up in the storm, not running from it.  

Would it be helpful to keep that whisper — not as a fix, not as a performance — but as a quiet, steady presence: *""I see that story. It hurts. And I’m still here with it?""*",1.0,0.0,0.0,1.0,0.0,2.0
