Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"So Tommy, I wanted to talk to you because I was on Facebook the other day and saw some pictures that are kind of concerning to me of you and some of your friends at a party. You're such a good kid, like I don't know what you're doing drinking, it's going to ruin your life.",T,25jUW52zAvU_1,0.0,0.0,-2.0,0.0,0.0,2.0,-1,-1,-2,0,0,1,,"Hi Carly, how are you doing today?"
"But Tommy, there's so many consequences with drinking. You're not even 21 yet. You could get arrested, you could have a drunk driving accident, you could mess up your schoolwork. You have such a bright future ahead of you, it just really, really concerns me.",T,25jUW52zAvU_3,1.0,1.0,1.0,1.0,0.0,2.0,-1,1,-2,1,0,2,"Therapist: So Tommy, I wanted to talk to you because I was on Facebook the other day and saw some pictures that are kind of concerning to me of you and some of your friends at a party. You're such a good kid, like I don't know what you're doing drinking, it's going to ruin your life.
Patient: I mean, it was just like a social gathering, it wasn't like I was looking for it. The drinks were there and all my friends were doing it, and it was just... it's not something that I do on occasion, but whenever the opportunity presents itself, it's nice to just let loose and have a little bit of fun sometimes.","Well, it was nice to have a little bit of fun. I mean, it's nice to have a little bit of fun. I mean, it's nice to let loose and have a little bit of fun sometimes. I mean, it's nice to have a good time. I mean, it's nice to have a good time."
"There's really no such thing as not drinking too much. I mean, anything that's drinking when you're underage is drinking too much. Think about all the things that can happen to you.",T,25jUW52zAvU_5,1.0,1.0,0.0,1.0,0.0,2.0,-1,-1,-2,0,-1,1,"Therapist: So Tommy, I wanted to talk to you because I was on Facebook the other day and saw some pictures that are kind of concerning to me of you and some of your friends at a party. You're such a good kid, like I don't know what you're doing drinking, it's going to ruin your life.
Patient: I mean, it was just like a social gathering, it wasn't like I was looking for it. The drinks were there and all my friends were doing it, and it was just... it's not something that I do on occasion, but whenever the opportunity presents itself, it's nice to just let loose and have a little bit of fun sometimes.
Therapist: But Tommy, there's so many consequences with drinking. You're not even 21 yet. You could get arrested, you could have a drunk driving accident, you could mess up your schoolwork. You have such a bright future ahead of you, it just really, really concerns me.
Patient: I get where you're coming from, but I thought that I had it under control and I didn't let myself get too far gone. I wanted to be in control and I wanted to make sure that all my friends were okay so I didn't let myself drink too much.","You wanted to make sure you were in control, you wanted to make sure your friends were okay, but you did drink. And you did have a couple of drinks, you did have a little bit of a buzz, but you didn't let yourself get too far gone. I mean, I understand that, but there are still consequences with drinking, even if you don't think you're getting too far gone."
How much are you drinking?,T,25jUW52zAvU_7,-1.0,-1.0,-2.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: So Tommy, I wanted to talk to you because I was on Facebook the other day and saw some pictures that are kind of concerning to me of you and some of your friends at a party. You're such a good kid, like I don't know what you're doing drinking, it's going to ruin your life.
Patient: I mean, it was just like a social gathering, it wasn't like I was looking for it. The drinks were there and all my friends were doing it, and it was just... it's not something that I do on occasion, but whenever the opportunity presents itself, it's nice to just let loose and have a little bit of fun sometimes.
Therapist: But Tommy, there's so many consequences with drinking. You're not even 21 yet. You could get arrested, you could have a drunk driving accident, you could mess up your schoolwork. You have such a bright future ahead of you, it just really, really concerns me.
Patient: I get where you're coming from, but I thought that I had it under control and I didn't let myself get too far gone. I wanted to be in control and I wanted to make sure that all my friends were okay so I didn't let myself drink too much.
Therapist: There's really no such thing as not drinking too much. I mean, anything that's drinking when you're underage is drinking too much. Think about all the things that can happen to you.
Patient: Yeah, I understand exactly what you're saying and...","Well, I mean, I think it's really concerning that you're drinking. I mean, I know that you said you were just drinking a little bit, but I think it's really concerning. I mean, you could get in trouble, you could get a DUI, you could get in a car accident, you could mess up your schoolwork, you could get pregnant, you could get sick, you could get in trouble with the law, you could get in trouble with your parents, you could get in trouble with your teachers, you could get in trouble with the police, you could get in trouble with the courts, you could"
Is it like every weekend?,T,25jUW52zAvU_9,1.0,1.0,0.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: But Tommy, there's so many consequences with drinking. You're not even 21 yet. You could get arrested, you could have a drunk driving accident, you could mess up your schoolwork. You have such a bright future ahead of you, it just really, really concerns me.
Patient: I get where you're coming from, but I thought that I had it under control and I didn't let myself get too far gone. I wanted to be in control and I wanted to make sure that all my friends were okay so I didn't let myself drink too much.
Therapist: There's really no such thing as not drinking too much. I mean, anything that's drinking when you're underage is drinking too much. Think about all the things that can happen to you.
Patient: Yeah, I understand exactly what you're saying and...
Therapist: How much are you drinking?
Patient: I don't think I'm drinking that much. I mean it's mainly for social gatherings, like it's nothing that I do by myself or whatever.","Well, if you're drinking for social reasons, it's still a lot to be concerned about. I mean, it's not a good habit. I mean, it's not something that you should be doing."
"Tommy, I'm just so concerned. You know, can't you think of anything better to do?",T,25jUW52zAvU_11,1.0,1.0,1.0,1.0,0.0,2.0,1,1,-2,1,1,2,"Therapist: There's really no such thing as not drinking too much. I mean, anything that's drinking when you're underage is drinking too much. Think about all the things that can happen to you.
Patient: Yeah, I understand exactly what you're saying and...
Therapist: How much are you drinking?
Patient: I don't think I'm drinking that much. I mean it's mainly for social gatherings, like it's nothing that I do by myself or whatever.
Therapist: Is it like every weekend?
Patient: Every other weekend, I would say.","Every other weekend, so not that often. How much are you drinking on the weekends?"
Are your friends the problem? Maybe you should just start hanging out with more kids in the youth group and not hang out with those kids you were partying with.,T,25jUW52zAvU_13,0.0,0.0,-2.0,0.0,0.0,2.0,-1,-1,-2,-1,0,1,"Therapist: How much are you drinking?
Patient: I don't think I'm drinking that much. I mean it's mainly for social gatherings, like it's nothing that I do by myself or whatever.
Therapist: Is it like every weekend?
Patient: Every other weekend, I would say.
Therapist: Tommy, I'm just so concerned. You know, can't you think of anything better to do?
Patient: I guess I can. I could probably be more productive in my schoolwork rather than going out to parties as much, and I do get where you're coming from.","Well, I'm glad you can see that you could make a change in that direction. I mean, if you could make a change in that direction, that would be good for you."
"Well there's a lot of things that seem fun in the moment that we know aren't a good choice, right? That's some of the things we talk about all the time is making good choices for our life and really doing what's best for you and I just... you know, I really think you should think about making a big change here.",T,25jUW52zAvU_15,-1.0,-1.0,-2.0,-1.0,-1.0,1.0,1,1,1,1,1,2,"Therapist: Is it like every weekend?
Patient: Every other weekend, I would say.
Therapist: Tommy, I'm just so concerned. You know, can't you think of anything better to do?
Patient: I guess I can. I could probably be more productive in my schoolwork rather than going out to parties as much, and I do get where you're coming from.
Therapist: Are your friends the problem? Maybe you should just start hanging out with more kids in the youth group and not hang out with those kids you were partying with.
Patient: Yeah, I guess I haven't really put it on myself, I guess it's really been forced on their account and I've just been following in their footsteps just because it seems like what they're doing is a lot of fun and I just want to make sure I'm getting every bit of the high school experience that I can.","Well, I mean, I guess you're right, but it's not a good way to spend your time. I mean, it's not a good way to spend your time, and it's not a good way to spend your time partying with kids that are involved in gang activity. I mean, it's not a good way to spend your time."
I think you really need to quit.,T,25jUW52zAvU_17,-1.0,-1.0,-2.0,0.0,0.0,1.0,1,1,1,1,0,2,"Therapist: Tommy, I'm just so concerned. You know, can't you think of anything better to do?
Patient: I guess I can. I could probably be more productive in my schoolwork rather than going out to parties as much, and I do get where you're coming from.
Therapist: Are your friends the problem? Maybe you should just start hanging out with more kids in the youth group and not hang out with those kids you were partying with.
Patient: Yeah, I guess I haven't really put it on myself, I guess it's really been forced on their account and I've just been following in their footsteps just because it seems like what they're doing is a lot of fun and I just want to make sure I'm getting every bit of the high school experience that I can.
Therapist: Well there's a lot of things that seem fun in the moment that we know aren't a good choice, right? That's some of the things we talk about all the time is making good choices for our life and really doing what's best for you and I just... you know, I really think you should think about making a big change here.
Patient: Yeah, I do see that maybe me drinking not as much would possibly better my life to a certain degree and it does make a lot of sense and I guess I can put more effort into sort of lowering the level of drinking that I...","Well, I'm glad you can see that it's a good idea to make a change in that direction. I mean, I think it's really important for you to make a change in that direction. I mean, I think it's really important for you to make a change in that direction."
"I think you're wrong. You know, it really worries me. Anyway, I wish you would quit. If all you're going to do is cut down, that's better than nothing. You know, I appreciate you talking to me about this, but I'm going to keep talking to you about it. It's really important.",T,25jUW52zAvU_19,-1.0,0.0,-2.0,1.0,0.0,2.0,1,1,1,1,0,2,"Therapist: Are your friends the problem? Maybe you should just start hanging out with more kids in the youth group and not hang out with those kids you were partying with.
Patient: Yeah, I guess I haven't really put it on myself, I guess it's really been forced on their account and I've just been following in their footsteps just because it seems like what they're doing is a lot of fun and I just want to make sure I'm getting every bit of the high school experience that I can.
Therapist: Well there's a lot of things that seem fun in the moment that we know aren't a good choice, right? That's some of the things we talk about all the time is making good choices for our life and really doing what's best for you and I just... you know, I really think you should think about making a big change here.
Patient: Yeah, I do see that maybe me drinking not as much would possibly better my life to a certain degree and it does make a lot of sense and I guess I can put more effort into sort of lowering the level of drinking that I...
Therapist: I think you really need to quit.
Patient: Yeah, I mean alcohol is just so prevalent in our society and it's just around me wherever I go in parties and stuff that I kind of feel like I should just get used to it or at least understand its effects before I should let it get out of my life entirely. I don't really see it as something that will completely destroy my life.","Well, I mean, I think that you need to quit. I mean, it's really dangerous. I mean, it's not just dangerous for you, it's dangerous for everyone around you. I mean, it's really hard to understand how you can think that it's not going to have a really negative impact on your life."
