turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Well, I'm glad to hear you're having a rough day. I understand that. It's very difficult when your mind keeps spinning, especially if you feel like it could lead to some very bad things.",1.0,1.0,-2.0,1.0,1.0,2.0
2,You're afraid of being exposed to a situation where you could lose a relationship because you feel like you're vulnerable to being judged.,1.0,1.0,1.0,2.0,1.0,2.0
3,You have to delete people from your life if they know too much about your past?,1.0,0.0,-2.0,1.0,0.0,2.0
4,"You feel like you're building walls brick by brick, and you're deleting people from your life if you think they know too much about your past.",1.0,1.0,1.0,1.0,0.0,2.0
5,You're losing yourself in all this overthinking?,1.0,1.0,1.0,1.0,1.0,2.0
6,You'd rather hide than risk getting it wrong?,1.0,1.0,1.0,1.0,0.0,2.0
7,You saw a meme online that reminded you of something you said years ago in a group chat.,1.0,1.0,0.0,1.0,0.0,2.0
8,"You feel guilty for even thinking about what you said in the group chat years ago, but you're also terrified that if you're wrong, it could be used against you now.",1.0,1.0,0.0,1.0,0.0,2.0
9,You end up being so consumed by the fear that you can't forgive yourself.,1.0,1.0,0.0,1.0,0.0,2.0
10,"Even though most people wouldn't care or be able to prove you were wrong, you feel like you *could* be wrong.",1.0,1.0,0.0,1.0,0.0,2.0
11,"You feel like if you admit you might be wrong, you've already failed.",1.0,1.0,0.0,1.0,0.0,2.0
12,"You feel like you have to carry the burden of proof of innocence forever, constantly verifying that you didn't do something wrong.",1.0,1.0,0.0,1.0,0.0,2.0
13,"You feel like you're constantly under scrutiny, as if everyone can see that you're trying to verify your own worthiness.",1.0,1.0,0.0,1.0,0.0,2.0
14,You feel foolish for trusting others when your own mind is so hyper-protective and self-critical.,1.0,1.0,0.0,1.0,0.0,2.0
15,"It makes you feel isolated and untrustworthy, as though you're running from the truth.",1.0,1.0,0.0,1.0,0.0,2.0
16,"You want to join in, but part of you is terrified that you'll be exposed as a fraud.",1.0,1.0,0.0,1.0,0.0,2.0
17,You're mentally preparing for exposure as if it's already happened.,1.0,1.0,0.0,1.0,0.0,2.0
18,"You're living in a state of chronic anxiety where the worst case scenario is always playing out in your mind, even when it hasn't happened yet.",1.0,1.0,0.0,1.0,0.0,2.0
19,"It's clear that you're having a lot of trouble with anxiety. It's affecting your relationships, your appetite or weight, and your ability to concentrate.",1.0,1.0,0.0,1.0,0.0,2.0
