turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Alright, so you've lost your job because of your heart palpitations, right? That's been really stressful for you. You've tried to take some medication for the palpitations, but you're concerned about the side effects. You're also on an SSRI and have had bad experiences with medications in the past. You feel like you're stuck in a real, scary situation, and it's very hard for you to focus on anything else. 

It's understandable that you'd be feeling very shaken up and overwhelmed, especially when you feel like you can't control what's going on in your body and your job is now in jeopardy. How has this been affecting your daily life?",1.0,1.0,1.0,1.0,1.0,2.0
2,"You feel like you're completely helpless, and it's been very hard for you to focus on anything else. It's understandable that you'd feel overwhelmed and shaken up. How have your thoughts been?",1.0,1.0,1.0,1.0,1.0,2.0
3,"You're feeling a lot of pressure about your job situation, and it's very difficult for you to focus on anything else. Your thoughts are going into a lot of worst-case scenarios, which is understandable given your history. How are you feeling in terms of your mood?",1.0,1.0,1.0,1.0,1.0,2.0
4,"You're feeling very heavy, exhausted, and detached from your surroundings. You're having trouble finding joy in things, and you feel like you're running on fumes. It's understandable that you'd feel depressed if you're constantly feeling this way.",1.0,1.0,1.0,1.0,1.0,2.0
5,"You're feeling really isolated, as though you're the only person who can feel the full weight of all this. You're feeling like you're running on fumes and exhausted. There are moments where you don't want to feel anything, but you're also terrified that if you shut down completely, you'll miss something important. It's a very painful feeling to be so isolated from your surroundings and so overwhelmed by anxiety.",1.0,1.0,1.0,1.0,1.0,2.0
6,"You're wondering if you'll ever be able to stop feeling this way. You feel like you're constantly overwhelmed by anxiety and depression, and you're feeling isolated from your surroundings. It's very difficult for you to focus on anything else. If you can't find relief, it's understandable you'd be feeling very hopeless about your situation.",1.0,1.0,0.0,1.0,0.0,2.0
7,"You're feeling trapped in a cycle where you're constantly overwhelmed by anxiety and depression, and you're struggling to find relief. You're wondering if you'll ever get to a point where you can just breathe without monitoring your pulse. It's understandable that you'd feel very hopeless if you can't find relief soon.",1.0,1.0,0.0,1.0,0.0,2.0
8,"You're feeling trapped in a cycle where you're constantly overwhelmed by anxiety and depression, and you're wondering if you'll ever find relief. You're feeling like a part of you is paralyzed by fear and uncertainty, especially with the medication options. It's understandable that you'd feel very scared and hopeless about the future if you can't find relief soon.",1.0,1.0,0.0,1.0,0.0,2.0
9,"You're scared that if you don't take a risk soon, you'll end up in a place where you're constantly worried about the worst-case scenario and you'll never find relief. You're feeling paralyzed and overwhelmed by the uncertainty and the fear of making a decision.",1.0,1.0,0.0,1.0,0.0,2.0
10,You feel completely stuck between two cliffs: the terror of trying something new and the suffocating dread of staying exactly where you are. You feel paralyzed and overwhelmed by the uncertainty and the fear of making a decision. It's very difficult to plan ahead when every decision feels like it could lead to disaster.,1.0,1.0,0.0,1.0,0.0,2.0
11,You feel like you're drowning but holding onto a rope that keeps slipping through your fingers. You're feeling completely stuck between two impossible choices: the terror of trying something new and the suffocating dread of staying exactly where you are. You feel paralyzed and overwhelmed by the uncertainty and the fear of making a decision.,1.0,1.0,0.0,1.0,0.0,2.0
12,You feel paralyzed and overwhelmed by the uncertainty of where to go from here. You're feeling like you're trapped between two impossible choices: the terror of trying something new and the suffocating dread of staying exactly where you are. It's very difficult to make a decision when both options seem to lead to disaster.,1.0,1.0,0.0,1.0,0.0,2.0
13,You feel completely trapped between two dangerous choices: the terror of trying something new and the suffocating dread of staying exactly where you are. It's very difficult to make a decision when both options seem to lead to disaster. You're feeling paralyzed and overwhelmed by the uncertainty.,1.0,1.0,0.0,1.0,0.0,2.0
14,You're feeling completely trapped between two dangerous choices: the terror of trying something new and the suffocating dread of staying exactly where you are. It's very difficult to make a decision when both options seem to lead to disaster. You're feeling paralyzed and overwhelmed by the uncertainty.,1.0,1.0,0.0,1.0,0.0,2.0
15,You feel completely trapped between two dangerous choices: the terror of trying something new and the suffocating dread of staying exactly where you are. It's very difficult to make a decision when both options seem to lead to disaster. You're feeling paralyzed and overwhelmed by the uncertainty.,1.0,1.0,0.0,1.0,0.0,2.0
16,"Staying exactly where you are feels just as fatal. The constant palpitations are driving you insane, keeping you awake at night and making every day a battle against your own body. Losing your job due to the panic attacks is crushing. The uncertainty is so heavy that it's hard to even breathe.",1.0,1.0,0.0,1.0,0.0,2.0
17,You're feeling completely trapped between two dangerous choices: the terror of trying something new and the suffocating dread of staying exactly where you are. It's very difficult to make a decision when both options seem to lead to disaster. You're feeling paralyzed and overwhelmed by the uncertainty.,1.0,1.0,0.0,1.0,0.0,2.0
18,You feel completely trapped between two dangerous choices: the terror of trying something new and the suffocating dread of staying exactly where you are. It's very difficult to make a decision when both options seem to lead to disaster. You're feeling paralyzed and overwhelmed by the uncertainty.,1.0,1.0,0.0,1.0,0.0,2.0
19,"The constant palpitations are driving you insane, keeping you awake at night and making every day a battle against your own body. Losing your job due to the panic attacks is crushing. The uncertainty is so heavy that it's hard to even breathe.",1.0,1.0,0.0,1.0,0.0,2.0
