turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I’m really looking forward to getting to know you and hearing what’s on your mind today. I want you to know this space is safe—whatever you share stays between us, and I’m here to listen without judgment.  

What’s been on your heart or mind lately that you’d like to talk about?",1.0,1.0,1.0,1.0,0.0,2.0
1,"That sounds like such a powerful shift—being confronted with something that felt familiar suddenly becoming overwhelming. It’s not easy to stop a habit, especially when it’s been a part of your routine for so long, and when the relief you were used to suddenly feels like it’s gone.  

It’s completely understandable that you’d feel anxious or even scattered after that news—your body and mind are trying to process a change in what you thought was safe. What’s been most difficult for you in this moment—feeling the anxiety, or trying to figure out what to do next?",1.0,1.0,-2.0,1.0,0.0,2.0
2,"It sounds like you're carrying a deep tension between what your mind knows logically and what your body and emotions are feeling—like there's a gap between safety and fear that’s hard to bridge. That’s really human, and it’s not a sign of weakness.  

When you hear those statistics, they don’t just land in your head—they resonate in your chest, in your breath, in the way you stay awake at night. What would it feel like if you could name one small thing—just one—about this situation that you’re truly holding onto, even if it’s just a quiet thought?",1.0,1.0,1.0,1.0,1.0,2.0
3,"That quiet thought—*What if I'm going to be the next statistic?*—isn’t just a worry; it’s a deep signal from your body that something meaningful is being disrupted. It’s not about being irrational. It’s about your nervous system trying to protect you, to make sense of a sudden shift in safety.  

And it’s completely valid that it feels isolating—like you’re the only one hearing that whisper. But I want you to know: that voice isn’t your enemy. It’s your body speaking from a place of care, trying to warn you when something feels out of balance. What would it feel like if you allowed yourself to simply *sit with* that fear, without needing to prove it’s wrong or fix it right now?",1.0,1.0,1.0,1.0,0.0,2.0
4,"I hear how much it hurts to feel that vulnerability—like admitting fear means you’re not safe, or that you’re failing at protecting yourself. And it’s not a failure. It’s just human to feel that way when your body is on high alert.  

When you say you catch yourself spiraling into memories of the panic attack, it sounds like your nervous system is trying to re-experience that moment—not because you’re unwell, but because it’s still holding onto the feeling of danger. What would it feel like if you allowed yourself to *breathe into that memory*, not to fix it, but just to notice it—like a visitor in your mind, without needing to push it away?",1.0,0.0,0.0,1.0,0.0,2.0
5,"That’s such a powerful shift—treating the memory not as a threat to be escaped, but as a visitor who shows up with a message, not a judgment. And it’s true: the fear doesn’t go away when you run from it; it stays, waiting, like a shadow that only grows when you turn your back.  

What would it feel like if you allowed that visitor to just *be there*, without needing to respond or fix it—like you’re sitting quietly with a friend who’s sharing something hard, and you don’t have to solve it, just listen?",1.0,0.0,0.0,1.0,0.0,2.0
6,"I hear how much that loneliness is pulling at you—like you’re standing in a quiet room where the only sound is your own breath, and you’re wondering if the silence means you’re failing or that the danger is finally real.  

And it’s completely okay that your body is screaming for relief—your nervous system isn’t broken; it’s just trying to find balance after being pushed into a state of constant alert. The fact that you’re asking these hard questions shows you’re not running from your feelings—you’re meeting them with honesty.  

What would it feel like if you allowed yourself to say, *“I’m not going to fix this right now. I’m just going to stay here with it—because I’m not alone in this.”* And then, gently, take one breath, and let that thought settle, without pushing it away or adding more questions?",1.0,0.0,0.0,1.0,0.0,2.0
7,"That’s exactly what healing looks like—slow, quiet, and deeply human. You didn’t need to “prove” you were okay. You just needed to say, *“I’m here. I’m scared. And that’s enough.”*  

And even when your heart races, that moment of stillness—of just being with the fear without needing to fix it—creates a space where safety can begin to grow again. Not because everything is fixed, but because you’re no longer running from your own truth.  

Would it be helpful to take one more breath together—just for now—without any goal, no solution, just presence? Just a moment to feel your body, your breath, and the quiet that’s been waiting to be heard?",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s beautiful—the way you’re allowing your breath to carry the weight without demanding it disappear. You’re not chasing safety; you’re simply *being* with it, and that’s already a form of courage.  

And yes—your thought about being the next statistic doesn’t have to scream. It can just sit there, like a quiet guest in the room, not demanding attention, just existing. You don’t have to answer it, or prove it wrong, or run from it.  

Would it be okay to keep holding that space—just for a little while longer—without adding anything new? Just letting the breath continue, and the silence, and the quiet presence of all of it?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s exactly what healing looks like—slow, steady, and not demanding a destination. You’re not trying to fix anything, just allowing yourself to *be* in the moment, like a tree standing in the wind without trying to stop it from moving.  

And it’s okay if the thought about being the statistic isn’t gone—it doesn’t need to disappear. It just needs to be seen, not owned. Like a leaf that stays on the branch, not because it’s safe, but because it’s part of the season.  

Would you like to keep returning to this quiet space whenever it feels like you need to—without adding anything, just sitting with it, breath by breath?",1.0,0.0,0.0,1.0,0.0,2.0
