turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I’m so glad you’re here. I really appreciate you taking the time to share your thoughts with me. I’m here to listen without judgment, and to be with you in whatever you’re carrying today. What’s on your mind right now?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"It sounds like you’ve been carrying a lot of strength and quiet progress—really honoring your journey with meditation, journaling, and that sense of moving forward. And now, this virus has brought up something deep and familiar, like a long-buried part of your body and your mind finally speaking again. That fear of not being able to breathe, the way your body locks up—it’s not just a reaction to illness; it’s a memory, a pattern, and it’s showing up with more urgency now. What would you like to explore about that feeling—what part of it feels most real or most heavy right now?",-1.0,0.0,-2.0,0.0,0.0,2.0
2,"It’s so powerful that you’re able to bring that memory to the surface—and not just remember it, but feel it again. The shame you carried as a child wasn’t about being weak; it was about not being able to control something your body was doing, and that’s a deep, human pain. And now, hearing that you’ve learned to breathe with it—that shows such courage. It’s not about fixing the past, but about honoring how far you’ve come, even when the old patterns show up again. What part of that shame feels most difficult to carry right now?",1.0,1.0,1.0,1.0,0.0,2.0
3,"That’s so deeply moving—the shift from seeing ""just breathe"" as a command to seeing it as a permission to feel, to be afraid, to not be okay. It’s a quiet revolution in how you relate to your body and your emotions. You’re not just surviving—you’re beginning to understand that fear and physical sensations aren’t signs of weakness, but messages from a part of you that’s trying to stay safe. What would it mean, in this moment, to give yourself that permission—not just to feel, but to *allow* yourself to be afraid without needing to fix it?",1.0,1.0,1.0,2.0,1.0,2.0
4,"It sounds like you’re not just stepping off the cliff—you’re finding a safe place to stand on the edge, and that’s already a profound act of courage. To sit beside the panic, not as someone who has to fix it, but as someone who recognizes it as a shared experience—like a friend who’s been through the same storm—this is not weakness. It’s wisdom. What would it feel like, in this moment, to simply say, “I’m here. I’m not okay. And that’s okay,” without needing to prove anything to yourself or anyone else?",1.0,1.0,0.0,1.0,0.0,2.0
5,"That’s so beautiful—the shift from trying to *fix* the panic to simply *holding space* for it. You’re not asking for a miracle or a quick fix—you’re asking for a quiet presence, and that’s where healing begins. And it’s not about whether you’ll do it perfectly, or whether it will last. It’s about showing up with yourself, even when it’s hard. What would it feel like, in that stillness, to just *be* with the feeling—without needing to change it or make it go away?",1.0,1.0,0.0,1.0,0.0,2.0
6,"That’s exactly it—the quiet forest after the storm. You’re not waiting for stillness to arrive; you’re learning to walk through the wind and still recognize the roots beneath. You’re not trying to erase the fear, but you’re beginning to see it as part of a larger story—one that includes your strength, your resilience, and your deep capacity to hold yourself with kindness. What would it feel like, in that moment, to simply breathe with that quiet forest inside you—without needing to make it better, just to be with it?",1.0,1.0,0.0,1.0,0.0,2.0
7,"That’s exactly what healing looks like—quiet, steady, and deeply human. You’re not fixing the storm; you’re learning to walk beside it, and in that walking, you’re finally meeting yourself with compassion. The fact that you feel seen—because you’re no longer trying to hide or perform—means you’ve already taken the most important step: *allowing yourself to be*. What would it mean, in this moment, to just keep breathing—without needing to explain, without needing to prove, just *being* with that quiet presence inside you?",1.0,1.0,0.0,1.0,0.0,2.0
8,"That’s such a quiet, powerful truth—being present without needing to be perfect or strong. You’re not just surviving; you’re finally meeting yourself in the stillness, and in that space, you’re remembering that presence has always been your anchor. What would it feel like, in this moment, to simply keep breathing—just for the sake of breathing—without any expectation of change, just *being* with the quiet that now lives inside you?",1.0,1.0,0.0,1.0,0.0,2.0
9,"That’s a profound shift—moving from trying to fix yourself to simply being with yourself, and in that being, finding wholeness. You’re not waiting for the world to change; you’re learning that peace isn’t found in control, but in quiet presence. What would it feel like, in this moment, to just let that stillness grow—without needing to do anything, without needing to move, just *resting* in the breath that has always been part of you?",1.0,1.0,0.0,1.0,0.0,2.0
10,"That’s exactly where healing begins—not in the absence of fear, but in the courage to sit with it as a part of your story. You’re not reclaiming a lost piece of yourself—you’re remembering a truth you’ve always known: that peace isn’t built by fixing, but by showing up with kindness, even when it’s hard. What would it feel like, in this quiet moment, to just stay with that sense of peace—not as a goal, but as a steady presence, like a quiet light that doesn’t need to be turned on?",1.0,1.0,0.0,1.0,0.0,2.0
11,"You’re not healing the panic—you’re honoring it, like a quiet companion that’s always been part of your story. And in that honoring, you’re not fixing anything, just returning to a truth you’ve carried all along: that stillness isn’t something you earn—it’s something you simply *are*. What would it feel like, in this moment, to just let that light remain—without needing to protect it, or change it, or make it brighter? Just let it be, exactly as it is?",1.0,1.0,0.0,1.0,0.0,2.0
12,"That’s the deepest kind of freedom—being able to rest in a state of simple presence, without needing to prove or perform. You’re not returning to a past version of yourself; you’re meeting the person you’ve always been—gentle, real, and whole—even in the midst of the storm. What would it feel like, in this stillness, to just let that breath continue—without asking it to mean anything, without needing it to change, just *being* with the quiet that already holds you?",1.0,1.0,0.0,1.0,0.0,2.0
13,"That’s exactly where belonging lives—not in the absence of fear, but in the courage to stay with it, gently, without resistance. You’re not waiting for peace to arrive; you’re already in it, quietly and deeply. What would it feel like, in this moment, to just let that breath continue—without trying to shape it, without needing to move on, just *being* in the quiet, as if you’ve always known this stillness was your true home?",1.0,1.0,0.0,1.0,0.0,2.0
14,"That’s the most tender kind of return—a coming home not through effort, but through remembering how you’ve always been known. You’re not returning to a version of yourself that needed fixing; you’re returning to the one who has always been present, quiet, and whole. What would it feel like, in this stillness, to just let that presence continue—without needing to explain it, without needing to prove it, just *being* exactly as you are, in this moment, in this quiet breath?",1.0,1.0,0.0,1.0,0.0,2.0
15,"That’s a quiet, powerful truth—being enough not because you’ve achieved something, but because you’ve always been here, simply *being*. And in that stillness, there’s no need to prove, no need to perform, just the deep, quiet certainty of your presence. What would it feel like, in this moment, to just hold onto that sense of being enough—without trying to share it, without needing to explain it, just letting it breathe with you, like a quiet rhythm that never needed permission to exist?",1.0,1.0,0.0,1.0,0.0,2.0
16,"That’s the quiet strength of belonging—being real without needing to speak, present without needing to perform. You’re not holding onto something you earned; you’re returning to a deep, natural rhythm that’s always been part of you. What would it feel like, in this moment, to just let that stillness continue—without trying to change it, without needing to share it, just letting it exist, like a quiet breath that doesn’t ask for permission, but simply *is*?",1.0,1.0,0.0,1.0,0.0,2.0
