turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I'm so glad you're here. I'm really looking forward to spending some time with you today. I want you to know that whatever you share with me is safe, private, and held with care—nothing we talk about will be shared without your permission.  

What’s been on your mind lately that you’d like to talk about today?",-1.0,-1.0,-2.0,0.0,-1.0,1.0
1,"That sounds really heavy and tender—thank you for sharing that. It’s clear how much your body and your emotions were involved in that moment, even when you didn’t realize it.  

The way your husband carried you, even if it wasn’t exactly how he said, feels like a quiet act of care that must have meant a lot to you. And it’s okay that you’re still feeling hollow—your body and mind are processing things that were both physical and emotional.  

What would it mean to you, right now, if you could just feel safe with that fear—not avoid it, but hold it gently?",-1.0,0.0,-2.0,1.0,0.0,1.0
2,"It sounds like you're holding a deep sense of trust and vulnerability—wanting to be seen, not just by your husband, but by yourself, in that moment. To be able to look at their hands without fear or shame… that would be a quiet act of courage, wouldn’t it?  

And it’s not about being strong or unbroken—it’s about being present, even when your body is trembling. That kind of presence is already a form of safety. Would it help to explore what that moment might feel like, just for a moment—like a small, quiet picture of what that look might mean to you?",-1.0,0.0,-2.0,1.0,0.0,2.0
3,"That’s such a powerful and honest way to put it—feeling like you’re still *here*, breathing, watching, even when your body is trying to shut down.  

And yes, it *is* a leap—because it means trusting yourself to stay awake, to stay connected, even when the fear is loud. But you’re already doing it, just by saying that.  

Would it be helpful to keep exploring what that feeling of “being here” might look or feel like in one small moment—like a quiet breath, or a glance, or just the way your hand rests on the arm of the chair?",1.0,1.0,1.0,1.0,1.0,2.0
4,"Yes, that sounds like something we could gently try together—just as a small, safe place to land.  

Focusing on your hand resting on the chair, feeling the wood, the slight resistance, the warmth of your skin—just that small, real connection. Not to stop the fear, but to say, *“I am here. I am present. This moment is mine.”*  

Would it be okay to just stay with that for a moment—without pressure, without needing to move on? You’re not doing it perfectly, and that’s completely okay. You’re just showing up.",1.0,1.0,1.0,1.0,0.0,2.0
5,"That’s so beautifully clear—your hand is *yours*, and it’s a quiet act of presence, even when the world inside feels loud and shifting.  

You’re not trying to fix anything. You’re just allowing yourself to be here, with that small, real touch. And in that space—between the fear and the body—you’re already building something stronger than you realize.  

Would it be okay to keep returning to that hand, just as a quiet place to return to when the thoughts start to race again? Not to stop the fear, but to say, *“I’m still here. I’m still with myself.”*",1.0,1.0,1.0,1.0,0.0,2.0
6,"That’s so true—your hand on the chair isn’t a fix, but it’s a companion. A quiet witness to your presence.  

And knowing that you’re not alone in the fear—that you can return to this small, steady touch when the storm comes—means you’re already building a new kind of safety. Not one that erases the past, but one that says: *I can feel it, I can carry it, and I can still be here.*  

Would it be helpful to keep that hand as a place you can return to, even when the thoughts come back? Just as a soft, grounded signal that you’re still in your body, still in your own care?",1.0,1.0,1.0,1.0,0.0,2.0
7,"That’s exactly it—holding the anchor isn’t about stopping the storm, it’s about not losing yourself in it.  

And you’re not just surviving—you’re learning to carry yourself through it, one small, steady moment at a time. That quiet touch, that breath, that whisper of *""I am here""*—it’s already a form of strength.  

Would you like to keep bringing that hand back to that spot whenever it feels like the thoughts are starting to pull you under? Just as a gentle, steady return to your own body?",1.0,1.0,1.0,1.0,0.0,2.0
8,"That’s a beautiful and powerful intention—bringing that hand back not as a fix, but as a quiet promise to yourself: *I am here. I am not lost.*  

So, if you’d like, right now—just for a moment—we can gently practice it:  
Rest your hand on the armrest. Feel the wood, the slight coolness, the texture. Take a slow breath in… and as you exhale, softly say to yourself: *""I am here. I am safe. I am not alone.""*  

No pressure. Just a small, gentle return to your body.  

Would you like to try that right now—just for a few seconds?",1.0,1.0,1.0,1.0,0.0,2.0
9,"That’s so powerful—your voice carrying those words, even when the mind is still buzzing.  

It doesn’t erase the memories or the fear, but it places them in a different space—no longer the only thing in the room. You’re not just surviving the storm—you’re naming your presence in it.  

And that small act—just whispering, *""I am here""*—is already a quiet act of courage.  

Would you like to keep returning to that hand, that breath, and those words whenever the thoughts start to pull you under? Just as a gentle, steady return to yourself?",1.0,1.0,1.0,1.0,0.0,2.0
10,"That’s such a gentle, wise way to move through it—no rushing, no pressure, just returning again and again to the small, steady place that holds you.  

You’re not trying to outgrow the fear. You’re learning to walk beside it, with your hand on the chair, your breath slow, your voice soft—*you are here*.  

And that, simply, is enough.  

Would you like to keep that practice going as a quiet part of your day—just a few seconds each time the thoughts start to rise? Or would you prefer to explore something else together next time?",1.0,1.0,1.0,1.0,0.0,2.0
11,"That’s so true—your fortress isn’t built with walls or armor, but with quiet, steady moments like this.  

Each time you return to that hand, that breath, that whisper, you’re not just grounding yourself—you’re saying, *“I see you. I carry you. I’m not going to let this fear carry me away.”*  

And that—simple, gentle, human—means more than any big solution ever could.  

Would you like to keep that small check-in as a daily habit, just when the fog starts to rise? Maybe a quiet pause in the morning, or before you drive home, or when a memory comes back? Just as a soft return to your own presence?",1.0,1.0,1.0,1.0,0.0,2.0
12,"That’s so gentle, so real.  

Waking up with that hand on the sink, the coolness of the glass, the quiet whisper—*“I am here”*—it’s not about perfection. It’s about presence. And that small act becomes a quiet promise: *You are not alone in the morning. You are not lost in the fog.*  

And yes—driving home once a week, just to check in, is a kind of care too. A small ritual that says: *I’m still here. I’m still choosing to stay with myself.*  

That little pocket of safety you’ve built—it’s not just for moments of panic. It’s for the quiet days, the early mornings, the memories that come back like shadows.  

Would you like to keep that as your daily anchor—just a five-second pause, a breath, a whisper—whenever the fog starts to rise? Just you, your hand, and that quiet truth?",1.0,1.0,1.0,1.0,0.0,2.0
13,"You’re welcome.  

And thank you for trusting me with this—because building something so quiet, so steady, takes courage.  

That five-second pause? It’s not a fix. It’s a friendship with yourself—one that says: *I see you. I carry you. You don’t have to be strong all the time. You just have to be present.*  

And you already are.  

I’m so glad we built this together. Just keep returning to it—when you need, when it feels right. And remember: no pressure. Just presence.  

You’ve got this.",1.0,1.0,1.0,1.0,0.0,2.0
