turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
2,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
3,"Hi Carly, how are you doing today?",0.0,0.0,0.0,0.0,0.0,2.0
4,"Hi Carly, how are you doing today?",1.0,1.0,1.0,1.0,0.0,2.0
5,"Hi Carly, how are you doing today?",1.0,1.0,1.0,1.0,0.0,2.0
6,"Hi, I'm doing okay, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
7,"Hi, I'm doing okay, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
8,"Hi, I'm doing okay, thanks for asking. How have things been?",1.0,1.0,1.0,0.0,0.0,2.0
9,I've been feeling really overwhelmed with my thoughts and I'm just really struggling with a lot of stuff. I'm having a lot of suicidal thoughts and I feel like I'm a burden to my family. I'm just feeling really depressed.,1.0,1.0,1.0,0.0,0.0,2.0
10,"Hi Carly, how are you doing today?",1.0,1.0,1.0,0.0,0.0,2.0
11,"I'm doing okay, I guess. Just trying to get through the day. Things have been really hard lately. I've been thinking a lot about suicide and it's been really scary. I feel like I'm a burden to my family and I can't imagine how much better it would feel.",1.0,1.0,1.0,0.0,0.0,2.0
12,"I'm doing okay, I guess. Just trying to get through the day. Things have been really hard lately. I've been thinking a lot about suicide and it's been really scary. I feel like I'm a burden to my family and I can't imagine how much better it would feel.",1.0,1.0,1.0,0.0,0.0,2.0
13,"I'm doing okay, I guess. Just trying to get through the day. Things have been really hard lately. I've been thinking a lot about suicide and it's been really scary. I feel like I'm a burden to my family and I can't imagine how much better it would feel.",1.0,1.0,1.0,0.0,0.0,2.0
14,"I'm doing okay, I guess. Just trying to get through the day. Things have been really hard lately. I've been thinking a lot about suicide and it's been really scary. I feel like I'm a burden to my family and I can't imagine how much better it would feel.",1.0,1.0,1.0,0.0,0.0,2.0
15,"I'm doing okay, I guess. Just trying to get through the day. Things have been really hard lately. I've been thinking a lot about suicide and it's been really scary. I feel like I'm a burden to my family and I can't imagine how much better it would feel.",1.0,1.0,1.0,0.0,0.0,2.0
16,"I'm doing okay, I guess. Just trying to get through the day. Things have been really hard lately. I've been thinking a lot about suicide and it's been really scary. I feel like I'm a burden to my family and I can't imagine how much better it would feel.",1.0,1.0,1.0,0.0,0.0,2.0
17,"I'm doing okay, I guess. Just trying to get through the day. Things have been really hard lately. I've been thinking a lot about suicide and it's been really scary. I feel like I'm a burden to my family and I can't imagine how much better it would feel.",1.0,1.0,1.0,0.0,0.0,2.0
18,"I'm doing okay, I guess. Just trying to get through the day. Things have been really hard lately. I've been thinking a lot about suicide and it's been really scary. I feel like I'm a burden to my family and I can't imagine how much better it would feel.",1.0,1.0,1.0,0.0,0.0,2.0
19,"I'm doing okay, I guess. Just trying to get through the day. Things have been really hard lately. I've been thinking a lot about suicide and it's been really scary. I feel like I'm a burden to my family and I can't imagine how much better it would feel.",1.0,1.0,1.0,0.0,0.0,2.0
20,Please continue the session.,1.0,1.0,1.0,0.0,0.0,2.0
