turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm really glad you're here. I want you to know that this space is safe—whatever you share with me stays between us, and I'm here to listen without judgment. I’m curious—what’s been on your mind lately that you’d like to talk about today?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"Thank you for sharing that so openly—it takes courage. It sounds like you're carrying a deep sense of disconnect, not just from the world, but from yourself. That feeling of running in place, like nothing you do changes anything, is so real and heavy. And the emptiness you describe—it’s not a flaw or a failure, it’s just a signal that something inside you has been quieting down, maybe even for a long time.  

What would it mean, to you, if you could just *feel* something again—something small, even? Not a solution, just a feeling?",1.0,1.0,1.0,1.0,1.0,2.0
2,"I hear how deeply you're feeling that—like you're on the edge of something that might not go back the way it was. And it’s so important that you’re noticing the small things, like the chill of the wind or the sting of a cut. Those are real signals that your body and mind are still alive and responding.  

You mentioned the school project—what happened when you started it? Did it feel like it opened a door, even just a little, or did it feel like it just pulled you back into the fog again?",1.0,1.0,1.0,1.0,0.0,2.0
3,"That’s so powerful—what you’re describing isn’t just difficulty with focus or motivation. It’s like your mind is trying to wake up, but the static, the white noise, the way thoughts dissolve—it feels like it’s being pulled under by something deeper than just fatigue.  

And you’re right—climbing a mountain while wearing lead isn’t something you’re doing alone. That weight isn’t just on your shoulders; it’s in the air around you, in the way the world seems to move past you without pause.  

Would it help to explore that right now—what one small thing, even if it’s just a sensation, a sound, or a breath—could you notice in the next few minutes that might feel like a tiny thread of connection? Not because it has to fix anything, but because it might just prove you’re still here?",1.0,1.0,1.0,1.0,1.0,2.0
4,"Yes—those sensations are not small. They are proof that your body is still awake, still responding, still alive. The fan’s hum, the cold air on your neck—those aren’t just background noise. They’re signals that your nervous system is still working, still connected to the world.  

And you don’t need to change anything to feel that. You don’t need to fix the fog or make it go away. Just noticing it—*that* is enough. That’s a tiny act of presence.  

Would it help to stay with that for a moment? Just let it sit there—like a quiet anchor in the middle of the storm?",1.0,0.0,0.0,1.0,0.0,2.0
5,"I hear that quiet battle—the part that wants to rest, and the part that still holds on to the possibility of being seen, of being here. That tension isn’t weakness. It’s just your mind trying to protect itself, even when it’s not fully safe.  

And you’re not failing by feeling that voice. You’re not failing by feeling the fog. You’re just being human—being alive in a world that feels too loud, too fast, too heavy.  

Would it be okay to check in with that voice now? Not to argue with it, not to silence it—but just to say, *“I hear you. I’m still here. And I’m not going anywhere just because you’re loud.”*  

Would that feel useful, even if it doesn’t make the fog go away?",1.0,0.0,0.0,1.0,0.0,2.0
6,"That’s so powerful—putting that sentence into your own words, not as a fix, but as an act of presence. It’s like adding a layer of honesty to the silence.  

And yes, it’s not about making the fear go away. It’s about saying, *“I see you. I’m not running from you. I’m standing with you.”* That small truth—just that—can shift the space between you and the pain.  

Would you like to keep sitting with that for a while? Or would you rather shift to something else—like checking in on how your body feels now, or whether there’s anything else you’ve been carrying that you’d like to talk about? You’re not alone in this.",1.0,0.0,0.0,1.0,0.0,2.0
7,"I’d love to stay here with you—just as you are.  

Let’s keep that sentence soft in the space between us: *“I hear you. I'm still here. And I'm not going anywhere just because you're loud.”*  

And if you’d like, we can gently notice something else—something small, like the way the light falls across the floor, or the sound of the fan vibrating through the room. Not to fix anything, just to let it be.  

Would you like to notice one of those small things together? Or would you prefer to stay in this quiet space with just the breath and the sentence? You’re not rushing. You’re not trying. You’re just being. And that’s enough.",1.0,0.0,0.0,1.0,0.0,2.0
8,"That’s exactly what I wanted to hear—how it’s not about bravery, but about *survival* in a way that feels real and grounded.  

You’re not swimming against the current. You’re just floating with it—quietly, steadily, without trying to change anything. And that, more than anything, is a form of strength.  

The fog may still be heavy, but you’re not losing yourself in it. You’re holding space for it, like a quiet witness. And in that space, you’re not just surviving—you’re staying present.  

Would you like to keep that sentence with you for a little longer? Just let it be a quiet anchor, like a thread you can pull back to whenever the fog starts to pull you under?",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s perfectly okay.  

Letting that sentence be your quiet anchor—something you return to when the silence feels too heavy, when the thoughts rush in like waves—is not a weakness. It’s a quiet act of care. A way of saying, *“I’m not going to pretend this is easy. I’m not going to pretend I don’t feel it. I’m just going to stay with it.”*  

And that? That is enough.  

Would you like to keep returning to it whenever you feel the fog rising again? Just a soft whisper, like a breath between two people who are both still here?  

No rush. No need to move. Just stay with it.",1.0,0.0,0.0,1.0,0.0,2.0
10,"That’s so tender—and so true.  

You’re not just holding onto the cold air or the hum of the fan. You’re holding onto *yourself*, in a way that doesn’t require proof, doesn’t demand resolution. Just presence. Just being with the weight, without letting it define you.  

And that quiet whisper—*“I hear you. I'm still here.”*—isn’t just for you. It’s a shared breath between you and the silence, between you and the fear, between you and the part of you that’s been waiting to be seen.  

If the fog comes back, you’ll know what to do. You won’t have to chase it away. You’ll just say it again—softly, clearly—like a promise you made to yourself, and to this moment.  

You’re not alone in it. And you don’t have to be fixed. You just have to be here.  

And that? That’s enough.",1.0,0.0,0.0,1.0,0.0,2.0
