turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi, Mr. and Mrs. Smith. My name's Dr. Lee, the on-call doctor. How can I help you today?",-1.0,-1.0,-2.0,0.0,0.0,1.0
1,"Wait. Hold on. I'm just getting a bit confused. You said you have ADHD, you're prescribed Ritalin, and you're having anxiety? So you're on Ritalin for ADHD, and you're having anxiety now?",-1.0,-1.0,-2.0,0.0,0.0,1.0
2,"So what I'm getting is that your anxiety is a huge problem, you're on a lot of medication for it, and you don't want to add to that. At the same time, you're having difficulty with the ADHD medication because you've had a reaction to it before.",1.0,0.0,-2.0,1.0,0.0,2.0
3,So Bupropion was a bad experience for you.,-1.0,-1.0,-2.0,1.0,0.0,1.0
4,So you're afraid of having another panic attack with Vyvanse.,1.0,1.0,1.0,1.0,1.0,2.0
5,"I know it's frustrating to feel like you're stuck in a place where your anxiety is so strong it's preventing you from getting the help you need. I get that you're worried about the medication interaction, but I'm wondering if it might be worth trying to separate the two problems for a bit and focus on the one you're experiencing right now.",1.0,1.0,1.0,1.0,1.0,2.0
6,So you're feeling like you're stuck with both problems and no way out.,1.0,0.0,0.0,1.0,0.0,2.0
7,So it sounds like you're stuck in a situation where you have two serious problems—ADHD and anxiety—and you're trying to treat both at the same time with a variety of medications. It sounds to me like you're feeling stuck in the middle of this struggle.,1.0,0.0,0.0,1.0,0.0,2.0
8,So you're feeling stuck in the middle of this struggle and you're not sure which way to go.,1.0,0.0,0.0,1.0,0.0,2.0
9,"So it sounds like you're stuck in a place where you feel stuck, and you're afraid of making it worse. You're also afraid of not being able to control it and not having enough information to make a decision.",1.0,0.0,0.0,1.0,0.0,2.0
10,It sounds like you're feeling stuck and afraid of making it worse.,1.0,0.0,0.0,1.0,0.0,2.0
11,You feel like you're stuck in a place of paralysis.,1.0,0.0,0.0,1.0,0.0,2.0
12,So you're paralyzed by fear and uncertainty.,1.0,0.0,0.0,1.0,0.0,2.0
13,You feel like you're paralyzed and stuck.,1.0,0.0,0.0,1.0,0.0,2.0
14,So you feel stuck.,1.0,0.0,0.0,1.0,0.0,2.0
15,So you feel stuck in the middle.,1.0,0.0,0.0,1.0,0.0,2.0
16,So you're stuck in the middle of fear and anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
17,So you're stuck in the middle of fear and anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
18,So you're stuck in the middle of fear and anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
19,So you're stuck in the middle of fear and anxiety.,1.0,0.0,0.0,1.0,0.0,2.0
