Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi Sarah, how are you doing today?",T,SNstOn6owcI_1,1.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,,"Hi, Ms. Alexander. How are you doing today?
user
I'm okay.
model
I understand you've been having some symptoms that have been bothersome to you. Can you tell me about those?
user
I've been having a lot of anxiety, just been stressed out lately.
model
Stressed out? What's been going on?
user
Well, I just started a new job and I'm only there a week and I'm already so nervous about it. I'm so worried all the time that"
Doing well?,T,SNstOn6owcI_3,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,"Therapist: Hi Sarah, how are you doing today?
Patient: Good.","Doing well?
user
Yeah, I guess so. Yeah. I'm just, you know, I'm really tired. I'm just, you know, I just want to go to sleep and not have to do anything like stressful and I just can't it's hard for me to get to sleep and sometimes I'll fall asleep like in front of the television.
model
So you're having trouble with sleep?
user
Yes.
model
All right. Do you drink alcohol or use any drugs?
user
No."
"A little better than last time, or worse?",T,SNstOn6owcI_5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: Hi Sarah, how are you doing today?
Patient: Good.
Therapist: Doing well?
Patient: Okay.","I understand you've been having some symptoms which have been bothersome to you. Can you tell me about those?
user
Well, I've been having a lot of anxiety.
model
Anxiety?
user
I'm worried all the time and just every day, all day, and then at night I can't fall asleep and I just lie there and think about how awful the next day is going to be.
model
So you're thinking about the school environment and your anxiety's really high.
user
Yeah."
No change?,T,SNstOn6owcI_7,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,"Therapist: Hi Sarah, how are you doing today?
Patient: Good.
Therapist: Doing well?
Patient: Okay.
Therapist: A little better than last time, or worse?
Patient: Kind of no change.","So the reality of the situation is that you're drinking a lot, but when you're in the middle of it, you're not really thinking about it much.
user
No, not at all.
model
So the thoughts about it, or the worry about it, is it something that's in the morning or afternoon or evening?
user
It's most intense in the morning. The thoughts just seem to be at the forefront of my mind and it's very difficult to get away from that.
model
Right. And you mentioned it'"
So you're still having sadness?,T,SNstOn6owcI_8,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,"Patient: Good.
Therapist: Doing well?
Patient: Okay.
Therapist: A little better than last time, or worse?
Patient: Kind of no change.
Therapist: No change?","So the feelings are a bit better but the behaviors are not.
user
Please continue the session.
model
I'm wondering if we can think of an experiment to test out our predictions about the experiment. Let's say that we both agree that the experiment is worthwhile and that it has the potential to work. There's also the other side of it, that maybe it doesn't, and we have to be willing to accept that. Can we agree that if we do this and it doesn't work, we'll still meet next week, and we'll take those results and"
And frustrated?,T,SNstOn6owcI_10,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Patient: Okay.
Therapist: A little better than last time, or worse?
Patient: Kind of no change.
Therapist: No change?
Therapist: So you're still having sadness?
Patient: Yeah.","Are you still having the feelings of worthlessness?
user
Yeah.
model
So this time's a little different because you're aware of it and you're recognizing that this is something you want to talk about.
user
Yeah, I definitely want to talk about it.
model
What's the first thing that comes to mind when you think about the shooting?
user
The memories just come and go, like flashes of what happened. I can't seem to get rid of that memory. It's just always there."
Tell me what's been going on this last week.,T,SNstOn6owcI_12,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,"Patient: Kind of no change.
Therapist: No change?
Therapist: So you're still having sadness?
Patient: Yeah.
Therapist: And frustrated?
Patient: Yeah.","And what's stopped you from doing it?
user
I don't have a knife or anything like that.
model
So you don't have the means. Do you have any hankerings for the kids or your husband?
user
No, nothing like that. I'm completely focused on my business.
model
Can I ask you a few more general questions about your relatives?
user
Okay.
model
Are any of your relatives aware of your difficulties?
user
Not really, no."
How much have you been sleeping each night on average?,T,SNstOn6owcI_14,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: So you're still having sadness?
Patient: Yeah.
Therapist: And frustrated?
Patient: Yeah.
Therapist: Tell me what's been going on this last week.
Patient: Mary's been crying a lot and I'm really tired. I've needed extra help with her because I just can't get out of bed.","You just can't get out of bed?
user
Yeah. I'm missing work. I'm not getting paid and I'm just miserable there.
model
So you're missing work and you're not getting paid for that work. Are you worried about losing your job?
user
Oh, definitely.
model
How about your financial outlook?
user
I mean, it's kind of scary because I've always paid my rent on time and I've always had enough money, but it's just kind of scary"
And how long did you sleep each night before you had Mary?,T,SNstOn6owcI_16,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,"Therapist: And frustrated?
Patient: Yeah.
Therapist: Tell me what's been going on this last week.
Patient: Mary's been crying a lot and I'm really tired. I've needed extra help with her because I just can't get out of bed.
Therapist: How much have you been sleeping each night on average?
Patient: Maybe eight or ten hours, maybe more.","You get a lot of sleep?
user
Yeah.
model
Do you have any trouble staying awake?
user
No, I don't.
model
You don't? All right. Do you have any trouble with your appetite?
user
No.
model
You're not eating more than usual, or less than usual?
user
No, I'm not.
model
You're not. Okay. Any feelings of worthlessness?
user
No.
model"
So your sleep habits have changed. What else has changed besides feeling sad?,T,SNstOn6owcI_18,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,"Therapist: Tell me what's been going on this last week.
Patient: Mary's been crying a lot and I'm really tired. I've needed extra help with her because I just can't get out of bed.
Therapist: How much have you been sleeping each night on average?
Patient: Maybe eight or ten hours, maybe more.
Therapist: And how long did you sleep each night before you had Mary?
Patient: Maybe six or eight at the most.","So you've been sleeping more but you're not getting good quality sleep. You're probably tired.
user
Yeah, definitely.
model
Do you use any drugs or alcohol?
user
No, not at all.
model
I want to talk about your medical history. Have you ever been in the hospital?
user
No.
model
Have you ever had any surgeries?
user
No.
model
Any health problems at home, like asthma or allergies?
user
No."
What specifically is contributing to that thought?,T,SNstOn6owcI_20,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,2.0,"Therapist: How much have you been sleeping each night on average?
Patient: Maybe eight or ten hours, maybe more.
Therapist: And how long did you sleep each night before you had Mary?
Patient: Maybe six or eight at the most.
Therapist: So your sleep habits have changed. What else has changed besides feeling sad?
Patient: I'm feeling like I'm not doing well with Mary and maybe I should think about getting a job again.","What kind of job did you have?
user
I had a job working with kids with autism in the schools. I left that job because they were under the influence a lot and it was hard to get things done.
model
It was frustrating for you.
user
Yeah, so I left that job.
model
How did that make you feel when you left that job?
user
Sad and lonely, but I knew I had to. I knew it was time.
model
And now you're here with me, talking about it."
