Utterance,Type,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,ID,Comments,TS,Sub topic,Dialogue_Act,Emotion,Valence,Arousal,Dominance,Trust,SE,source_file,context,model_prediction,NJ,WE,RA,AL,RF,SA
Are you having snoring issues?. Do you notice that yourself?,T,1.0,1.0,0.0,-1.0,1.0,0.0,129_2,,greeting,symp/reasoning,crq,,0.658,0.478,0.5135,,,129_faith.csv,"Therapist: Thanks How are you? I'm doing good to see your history physical today. Sure. So what brings you into the
Patient: doc I'm having snoring issues.",So you're having some trouble sleeping.,1,1,0,-1,1,0
Yeah. When did that start?,T,1.0,1.0,0.0,2.0,1.0,-1.0,129_4,,snoring issues,routine,irq,,0.0,0.0,0.0,,,129_faith.csv,"Therapist: Thanks How are you? I'm doing good to see your history physical today. Sure. So what brings you into the
Patient: doc I'm having snoring issues.
Therapist: Are you having snoring issues?. Do you notice that yourself?
Patient: My wife tells me Okay, and she does like this.",So you're having some difficulty sleeping.,1,1,0,-1,1,0
"Okay, gained some weight. Yeah. How much weight have you gained? ",T,1.0,1.0,0.0,-1.0,-2.0,0.0,129_6,,snoring issues,routine,irq,,0.6035,0.3845,0.585,,,129_faith.csv,"Therapist: Are you having snoring issues?. Do you notice that yourself?
Patient: My wife tells me Okay, and she does like this.
Therapist: Yeah. When did that start?
Patient: Well, since I gained weight, I've been snoring a lot. ",So you've noticed that you've been snoring a lot since you've gained weight.,2,1,0,-1,-2,2
"We can make a plan together. I'll set you on the right direction. Okay. Excuse me, I'm just reading some notes ifyou don't mind. ",T,2.0,-1.0,2.0,-1.0,-2.0,2.0,129_8,,snoring issues,routine,id,,0.610571428571428,0.433285714285714,0.534285714285714,,,129_faith.csv,"Therapist: Yeah. When did that start?
Patient: Well, since I gained weight, I've been snoring a lot. 
Therapist: Okay, gained some weight. Yeah. How much weight have you gained? 
Patient: 50 pounds. Yeah. Okay. I want to lose this my love handles over here. Okay, you see this love handles. I wish I could lose sore. Oh, can you help me off with losing love handles?",So you've been experiencing some symptoms related to your weight. And you're concerned about your health.,1,1,0,-1,1,2
Sorry if this stuff How long should you say this started?,T,1.0,1.0,0.0,-1.0,0.0,2.0,129_10,,snoring issues,routine,irq,,0.534999999999999,0.348,0.375,,,129_faith.csv,"Therapist: Okay, gained some weight. Yeah. How much weight have you gained? 
Patient: 50 pounds. Yeah. Okay. I want to lose this my love handles over here. Okay, you see this love handles. I wish I could lose sore. Oh, can you help me off with losing love handles?
Therapist: We can make a plan together. I'll set you on the right direction. Okay. Excuse me, I'm just reading some notes ifyou don't mind. 
Patient: That's fine.","Okay, so I'm going to read these notes. Okay, so I have a couple of different things that I want to talk about. Okay, so I want to talk about the first one is the anxiety. Okay, so I want to talk about anxiety. Okay, so I want to talk about anxiety. Okay, so I want to talk about anxiety. Okay, so I want to talk about anxiety. Okay, so I want to talk about anxiety. Okay, so I want to talk",1,1,0,-1,1,0
Has this ever happened the past or the first time?,T,1.0,1.0,0.0,0.0,1.0,-1.0,129_12,,snoring issues,routine,yq,,0.5575,0.460999999999999,0.5495,,,129_faith.csv,"Therapist: We can make a plan together. I'll set you on the right direction. Okay. Excuse me, I'm just reading some notes ifyou don't mind. 
Patient: That's fine.
Therapist: Sorry if this stuff How long should you say this started?
Patient:  I'll just talk about like two years, two years ago.",So you've been having these symptoms for two years.,2,1,0,-1,-2,2
Try using anything?,T,2.0,-1.0,0.0,-1.0,1.0,-1.0,129_14,,snoring issues,routine,yq,,0.604,0.551,0.556,,,129_faith.csv,"Therapist: Sorry if this stuff How long should you say this started?
Patient:  I'll just talk about like two years, two years ago.
Therapist: Has this ever happened the past or the first time?
Patient: Not exactly.",So you've never had a problem like this before.,1,1,0,-1,1,-1
"Yeah, sometimes sometimes that helps out sometimes. It doesn't depends person to person and are you having trouble sleeping at night because of your snoring? ",T,1.0,2.0,2.0,2.0,0.0,2.0,129_16,,snoring issues,symp/reasoning,yq,,0.5458,0.4048,0.472,,,129_faith.csv,"Therapist: Has this ever happened the past or the first time?
Patient: Not exactly.
Therapist: Try using anything?
Patient: No, somebody told me there's a thing called as easy liquidation. You know, you open up, you open up and you start at trial, but I couldn't really tell the difference. Okay.",So you're not sure if you can tell the difference.,2,2,0,-1,-2,-1
Okay. So make sure do you feel tired during the day.,T,2.0,1.0,0.0,-1.0,-2.0,-1.0,129_18,,snoring issues,routine,id,,0.601,0.4314,0.5192,,,129_faith.csv,"Therapist: Try using anything?
Patient: No, somebody told me there's a thing called as easy liquidation. You know, you open up, you open up and you start at trial, but I couldn't really tell the difference. Okay.
Therapist: Yeah, sometimes sometimes that helps out sometimes. It doesn't depends person to person and are you having trouble sleeping at night because of your snoring? 
Patient: Yes doctor.",So you're having trouble sleeping.,1,1,0,-1,1,0
Make sure we're covering all the bases Do you have anu allergioes to anything?,T,1.0,-1.0,-1.0,2.0,-1.0,-2.0,129_20,,snoring issues,routine,irq,,0.669833333333333,0.374166666666666,0.596,,,129_faith.csv,"Therapist: Yeah, sometimes sometimes that helps out sometimes. It doesn't depends person to person and are you having trouble sleeping at night because of your snoring? 
Patient: Yes doctor.
Therapist: Okay. So make sure do you feel tired during the day.
Patient: it has been but before that I was not even that. So since I'm gaining weight, open, I have gotten more and more fatigued and tired Good question. Oh doctor very smart. Nice.",So you're feeling tired.,1,1,0,-1,1,-1
What kind of reaction you get?,T,-1.0,-2.0,-1.0,1.0,-1.0,-1.0,129_22,,snoring issues,routine,irq,,0.694,0.5255,0.661999999999999,,,129_faith.csv,"Therapist: Okay. So make sure do you feel tired during the day.
Patient: it has been but before that I was not even that. So since I'm gaining weight, open, I have gotten more and more fatigued and tired Good question. Oh doctor very smart. Nice.
Therapist: Make sure we're covering all the bases Do you have anu allergioes to anything?
Patient: Yes, doctor. Hi have even minimal idea, Nickle, or anything containing nickel. I get a rash. And then I'm allergic to penicillin and allergy to the, you know, a special kind of alcoholic drink. I don't want to name off that. And that energy to that trick. Yeah. It's a hard liquor. I don't remember that. That's why I've stopped smoking. That's why I stopped drinking alcohol.",So you've been smoking and drinking alcohol for a while. And you've been experiencing some symptoms.,-1,-2,-1,1,-1,1
What about alcohol?,T,-1.0,-2.0,-1.0,1.0,-1.0,-1.0,129_24,,snoring issues,routine,irq,,0.0,0.0,0.0,,,129_faith.csv,"Therapist: Make sure we're covering all the bases Do you have anu allergioes to anything?
Patient: Yes, doctor. Hi have even minimal idea, Nickle, or anything containing nickel. I get a rash. And then I'm allergic to penicillin and allergy to the, you know, a special kind of alcoholic drink. I don't want to name off that. And that energy to that trick. Yeah. It's a hard liquor. I don't remember that. That's why I've stopped smoking. That's why I stopped drinking alcohol.
Therapist: What kind of reaction you get?
Patient: Just a rash.",What kind of rash?,1,1,0,2,-2,-1
What does it change to?,T,1.0,1.0,0.0,-1.0,-1.0,1.0,129_26,,alcohol,routine,irq,,0.625,0.575,0.606,,,129_faith.csv,"Therapist: What kind of reaction you get?
Patient: Just a rash.
Therapist: What about alcohol?
Patient:  Oh, you know, whenever i drink that I get a lot of gurgling in the belly. I start getting diarrhea, you know, and my poop changes. And that's what happens",So you're experiencing some gastrointestinal symptoms.,1,1,0,-1,1,2
Do you have any medicines that you're taking right now?,T,-1.0,-2.0,0.0,1.0,-1.0,-1.0,129_28,,alcohol,routine,yq,,0.722333333333333,0.429666666666666,0.613,,,129_faith.csv,"Therapist: What about alcohol?
Patient:  Oh, you know, whenever i drink that I get a lot of gurgling in the belly. I start getting diarrhea, you know, and my poop changes. And that's what happens
Therapist: What does it change to?
Patient: It becomes mushy, mushy.",So it's a change in texture.,2,-1,0,-1,-2,-1
That's fine. Okay. Have you had any surgeries in the past?,T,1.0,1.0,0.0,-2.0,-2.0,-1.0,129_30,,alcohol,routine,yq,,0.757,0.389,0.593,,,129_faith.csv,"Therapist: What does it change to?
Patient: It becomes mushy, mushy.
Therapist: Do you have any medicines that you're taking right now?
Patient: Oh, I just taking medications last week, I think Xanax or any other medications. ",What kind of medications?,2,1,0,-1,-2,-1
no. Okay. Any diseases that run through your family?,T,0.0,1.0,0.0,2.0,-2.0,-1.0,129_32,,alcohol,routine,yq,,0.542,0.787,0.543,,,129_faith.csv,"Therapist: Do you have any medicines that you're taking right now?
Patient: Oh, I just taking medications last week, I think Xanax or any other medications. 
Therapist: That's fine. Okay. Have you had any surgeries in the past?
Patient: No, ",no.,2,2,2,2,1,2
"Mr. Smith, I want to ask you about your lifestyle. Have you consumed tobacco?",T,2.0,0.0,-1.0,-1.0,0.0,-1.0,129_34,,alcohol,routine,irq,,0.653,0.490333333333333,0.549999999999999,,,129_faith.csv,"Therapist: That's fine. Okay. Have you had any surgeries in the past?
Patient: No, 
Therapist: no. Okay. Any diseases that run through your family?
Patient: No",any mental health conditions?,1,1,0,-1,-2,-1
What did you consume and when did you start?,T,-1.0,-2.0,-1.0,1.0,0.0,1.0,129_36,,tobacco,routine,irq,,0.427,0.62,0.509,,,129_faith.csv,"Therapist: no. Okay. Any diseases that run through your family?
Patient: No
Therapist: Mr. Smith, I want to ask you about your lifestyle. Have you consumed tobacco?
Patient: I used to but not now",How about alcohol?,2,2,-1,-1,-2,2
