Utterance,Type,ID,NJ,WE,RA,AL,RF,SA,Non-Judgmental Language,Warmth and Encouragement,Respect for Autonomy,Active Listening,Reflecting Feelings,Situational Appropriateness,context,model_prediction
"Hi, Kyle. How you doing today?",T,yNqaUMiU0Dk_1,0.0,0.0,-2.0,0.0,0.0,2.0,1,1,1,1,0,2,,"Hi Carly, how are you doing today?"
Not bad. Thanks for asking. What brings you in?,T,yNqaUMiU0Dk_3,1.0,0.0,0.0,1.0,0.0,2.0,1,0,-2,1,0,2,"Therapist: Hi, Kyle. How you doing today?
Patient: I'm doing all right. Not doing too bad. How are you, Dr. Galante?","I'm doing well, thanks for asking. How have things been?"
So you came into therapy today because your girlfriend pressured you.,T,yNqaUMiU0Dk_5,-1.0,-1.0,-2.0,1.0,0.0,1.0,-1,-1,-2,1,0,1,"Therapist: Hi, Kyle. How you doing today?
Patient: I'm doing all right. Not doing too bad. How are you, Dr. Galante?
Therapist: Not bad. Thanks for asking. What brings you in?
Patient: My girlfriend saw your ad for smoking cessation and she's been nagging me for weeks to come talk to you, so I figured I would just come in so she'd stop bugging me.","Well, I'm glad you came in. I'm glad to hear that you're interested in quitting smoking."
So you weighed the cost-benefit and decided to come in.,T,yNqaUMiU0Dk_7,-1.0,-1.0,-2.0,-1.0,0.0,1.0,1,1,1,1,1,2,"Therapist: Hi, Kyle. How you doing today?
Patient: I'm doing all right. Not doing too bad. How are you, Dr. Galante?
Therapist: Not bad. Thanks for asking. What brings you in?
Patient: My girlfriend saw your ad for smoking cessation and she's been nagging me for weeks to come talk to you, so I figured I would just come in so she'd stop bugging me.
Therapist: So you came into therapy today because your girlfriend pressured you.
Patient: Yeah, it's easier for me to spend 45 minutes with you compared to hours of her nagging me through the week.","Well, that's good. It's nice to have a place to talk about the issues with your girlfriend."
Her goal would be for you to stop smoking. Tell me what your goal is.,T,yNqaUMiU0Dk_9,1.0,1.0,0.0,1.0,0.0,2.0,-1,0,-2,1,0,2,"Therapist: Not bad. Thanks for asking. What brings you in?
Patient: My girlfriend saw your ad for smoking cessation and she's been nagging me for weeks to come talk to you, so I figured I would just come in so she'd stop bugging me.
Therapist: So you came into therapy today because your girlfriend pressured you.
Patient: Yeah, it's easier for me to spend 45 minutes with you compared to hours of her nagging me through the week.
Therapist: So you weighed the cost-benefit and decided to come in.
Patient: Yeah, it's covered by insurance. It's just 45 minutes of my time.",It's a good use of your time. How is it going with your girlfriend?
So you don't have a goal of quitting smoking?,T,yNqaUMiU0Dk_11,-1.0,-1.0,-2.0,1.0,1.0,2.0,1,1,1,1,1,2,"Therapist: So you came into therapy today because your girlfriend pressured you.
Patient: Yeah, it's easier for me to spend 45 minutes with you compared to hours of her nagging me through the week.
Therapist: So you weighed the cost-benefit and decided to come in.
Patient: Yeah, it's covered by insurance. It's just 45 minutes of my time.
Therapist: Her goal would be for you to stop smoking. Tell me what your goal is.
Patient: I don't really have one. I don't think smoking's that bad. It's never bothered me. My only goal is to have her stop bugging me.","You don't think smoking is a problem, but you want to stop her nagging."
Can you tell me about some of the other good things about smoking?,T,yNqaUMiU0Dk_13,1.0,1.0,1.0,1.0,1.0,2.0,-1,0,-2,1,0,2,"Therapist: So you weighed the cost-benefit and decided to come in.
Patient: Yeah, it's covered by insurance. It's just 45 minutes of my time.
Therapist: Her goal would be for you to stop smoking. Tell me what your goal is.
Patient: I don't really have one. I don't think smoking's that bad. It's never bothered me. My only goal is to have her stop bugging me.
Therapist: So you don't have a goal of quitting smoking?
Patient: Not at all. There's so many good things about smoking. It gives me one-on-one time with my boss at work, so that makes it completely worth it.","You don't see a problem with smoking, and you don't have a goal to quit."
"So the way you're presenting it, smoking has been a positive thing in your life.",T,yNqaUMiU0Dk_15,1.0,1.0,1.0,1.0,0.0,2.0,1,1,1,1,1,2,"Therapist: Her goal would be for you to stop smoking. Tell me what your goal is.
Patient: I don't really have one. I don't think smoking's that bad. It's never bothered me. My only goal is to have her stop bugging me.
Therapist: So you don't have a goal of quitting smoking?
Patient: Not at all. There's so many good things about smoking. It gives me one-on-one time with my boss at work, so that makes it completely worth it.
Therapist: Can you tell me about some of the other good things about smoking?
Patient: It's how I meet people. I carry cigarettes but no lighter, so I have to ask for a light. It's a way in to meet groups of people.",Smoking is a way for you to meet people?
Are there any negative aspects to smoking?,T,yNqaUMiU0Dk_17,1.0,0.0,0.0,1.0,0.0,2.0,1,1,0,1,1,2,"Therapist: So you don't have a goal of quitting smoking?
Patient: Not at all. There's so many good things about smoking. It gives me one-on-one time with my boss at work, so that makes it completely worth it.
Therapist: Can you tell me about some of the other good things about smoking?
Patient: It's how I meet people. I carry cigarettes but no lighter, so I have to ask for a light. It's a way in to meet groups of people.
Therapist: So the way you're presenting it, smoking has been a positive thing in your life.
Patient: Yeah, and I only do it socially.",You only do it socially?
So you don't seem like you're too worried about the negative aspects.,T,yNqaUMiU0Dk_19,-1.0,0.0,-2.0,0.0,0.0,1.0,1,1,1,1,0,2,"Therapist: Can you tell me about some of the other good things about smoking?
Patient: It's how I meet people. I carry cigarettes but no lighter, so I have to ask for a light. It's a way in to meet groups of people.
Therapist: So the way you're presenting it, smoking has been a positive thing in your life.
Patient: Yeah, and I only do it socially.
Therapist: Are there any negative aspects to smoking?
Patient: Everyone knows it's unhealthy, but I don't smoke a lot. I might have a heavy cough on Mondays and Tuesdays, but it's usually gone by Wednesday.","You have a heavy cough on Mondays and Tuesdays, but it seems to clear up by Wednesday."
