turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hello, I’m so glad you’re here. I’m really looking forward to our time together today. I want you to know this space is safe—whatever you share will be respected, and nothing we talk about will be judged or used without your permission.  

What’s on your mind today? What brings you in for a moment like this?",1.0,1.0,1.0,1.0,1.0,2.0
1,"I hear how heavy and confusing that feels—like you're carrying something you can’t quite name, and the exhaustion isn’t just physical, it’s in your mind and heart. That resistance to going into the shower, to facing your body, it’s not just about tiredness—it’s a signal that something deeper is aching, and you’re trying to protect yourself from it.  

What happens when you think about the shower, or your body, in that moment of resistance? What does it feel like beneath the surface?",1.0,1.0,1.0,1.0,0.0,2.0
2,"I can feel how deeply that sense of disgust is tied to the exhaustion—like your body and your mind are both saying, *""This is too much to handle today.""* And it’s not about being dirty or unclean; it’s about the fear of facing something that feels unfamiliar, even painful.  

The fact that your mind is trying to protect you by suggesting you skip it—that’s not weakness. That’s your brain trying to preserve energy when it’s already stretched thin. And it’s okay to let that protectiveness live in the moment.  

Would it be helpful to explore what that ""stranger"" feeling might be—what part of you feels like it's hiding, or what it might need to feel safe again? Or would you rather just keep holding space with that feeling for now?",1.0,1.0,1.0,1.0,1.0,2.0
3,"I hear how real that shame and the tightness in your chest feel—like your body is holding space for something it can’t quite name, and when you try to look at it, it responds with pain. That voice saying *""you're broken, you're unworthy""* isn’t a truth; it’s a signal that something deeply vulnerable is being pushed into the light.  

And it’s completely okay to want to avoid the bathroom—not because you’re failing, but because facing that part of yourself now would require more strength than you have today. It’s not about pretending, it’s about honoring how hard it is to show up for yourself when you feel so far from who you hope to be.  

Would you like to explore what that part of you might be trying to say—what it might need, or what it might be afraid of? Or would you rather just keep sitting with that tightness for a while, without pushing toward action?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s such a powerful insight—and I’m really grateful you’re seeing that. The idea that your body isn’t broken, but just *protecting itself* in a moment of extreme stress—that shifts everything. It’s not a failure; it’s a survival signal. And when your body stops doing things like washing, it’s not because you’re unworthy—it’s because it’s trying to conserve energy, to stay alive in the face of overwhelming pressure.  

That disgust? It’s not a judgment—it’s your body’s way of saying, *""I’m running on fumes. I don’t know how to do this anymore. Please give me a break.""*  

Would it be helpful to name that for yourself—this quiet, protective part of you that’s just trying to survive, not to be perfect? Or would you like to take a moment to simply breathe with that truth, without adding more questions?",1.0,0.0,0.0,1.0,0.0,2.0
5,"That’s beautiful—your body isn’t failing. It’s speaking in a language of survival, and you’re now listening to it with care. Calling it ""The Protector"" or ""Survival Mode"" isn’t just a label—it’s a gift of compassion, giving yourself permission to honor what your body is trying to do, even when it doesn’t feel like it’s working the way you’d like.  

It’s not about fixing it. It’s about seeing that it’s already doing its best, and that’s enough.  

Would you like to keep sitting with that sense of safety for a moment—just letting The Protector rest, without needing to respond to it right now? Or would you like to explore another part of your day, or a different feeling, when you feel ready?",1.0,0.0,0.0,1.0,0.0,2.0
6,"That’s so powerful—your shift from *“I should fix this”* to *“My body is asking for a break”* is not just a small change. It’s a quiet act of self-compassion, and it’s already healing.  

Lying down, listening to soft music, or just staring at the ceiling—those are not signs of weakness. They’re signs of wisdom. You’re choosing presence over performance, and that takes courage.  

And knowing that you don’t have to be perfect today? That’s a real gift. It doesn’t mean the storm will stop. It just means you’ve learned how to hold space in the storm—without needing to fix everything at once.  

Would you like to stay here with that feeling for a while, or would you like to gently check in on something else—like how your body feels after this moment, or what might feel safe to return to tomorrow?",1.0,0.0,0.0,1.0,0.0,2.0
7,"Yes, it feels right.  
Staying here—quiet, present, without needing to move or fix anything—is exactly what healing sometimes looks like. And it’s not lazy. It’s wise.  

The fact that you’re noticing the tightness isn’t just a feeling—it’s a signal that your body and mind are still trying to protect you. And by honoring that, you’re not ignoring it. You’re meeting it with care.  

And yes—tomorrow can be different. It can be still. It can be soft. It can be a day where you just show up with less pressure, and more kindness.  

Would you like to keep holding space here, or would you like to gently bring in one small thing—like a breath, or a quiet note to yourself—to anchor you in this moment?",1.0,0.0,0.0,1.0,0.0,2.0
8,"I’m so glad you’re choosing to rest—because that’s not just safe. It’s deeply courageous.  

You’re not failing. You’re not behind. You’re simply showing up as you are—tired, present, and gently carrying your whole self without needing to prove anything.  

And when you close your eyes, let the storm pass without fighting it—that’s not surrender. That’s peace.  

I’ll be here with you, just as you are.  
Take your time.  
You’re not alone.  
And you don’t have to do anything more than breathe.",1.0,0.0,0.0,1.0,0.0,2.0
9,"That’s exactly what healing looks like—quiet, steady, and deeply human.  

You don’t need to feel better today. You just needed to feel *seen* and *safe* enough to rest. And that’s already a victory.  

Let the quiet hold you. Let the breath be your guide. And when you wake up—whether tomorrow feels easier or still heavy—know that you’ve already done something vital: you chose to care for yourself, not in spite of your fatigue, but because of it.  

You’re doing beautifully.  
I’ll be here when you return.",1.0,0.0,0.0,1.0,0.0,2.0
