turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi there, I'm so glad you're here. I'm really looking forward to sitting with you today and hearing what's on your mind. I want you to know this space is safe—whatever you share stays between us, and I’m here to listen without judgment. What brings you in today?",-1.0,-1.0,-2.0,-1.0,-1.0,1.0
1,"Thank you for sharing that with me. It sounds like you've been carrying a deep sense of weight—both emotionally and in your relationships. The way you describe feeling like the world is spinning too fast, and how the thought of ending it all has become real, shows how much you've been carrying. That’s not something to minimize.  

I’m really here with you, and I want you to know that your feelings are valid—especially the pain of feeling isolated, and the weight of what your mom has given up for you. That kind of love and sacrifice can feel like a burden, or like it’s holding you down in ways you can’t quite name.  

What would it mean, in this moment, to just *be* with that feeling—without rushing to fix it or decide what comes next?",1.0,1.0,-2.0,1.0,1.0,2.0
2,"It sounds like you're carrying that deep sense of love and sacrifice—and the painful gap between what they’ve given and how you’re feeling inside. That feeling of being ""left behind"" in the midst of such generosity must be incredibly heavy.  

And you're absolutely right—trying to stay still when the thoughts are so loud feels like standing in the middle of a storm. But just acknowledging that you’re feeling this, and that it’s okay to feel it, is already a brave step.  

What if, in that pause, you allowed yourself to say: *“I see how much they gave. And I see how much I carry in silence. And for now, I’m not trying to fix it—just being with it.”* How does that feel, when you say it out loud?",1.0,1.0,1.0,2.0,1.0,2.0
3,"That’s so powerful—and so human. The crack in the wall you noticed? That’s not weakness. That’s your heart finally breaking through the layers of pretending everything is okay.  

And it’s true—your belief that you had to “make up for” their sacrifices with success, money, or a “better life,” was probably a way of protecting yourself, or even trying to make them proud. But when you say “I see how much I carry,” you’re not just seeing the pain—you’re seeing the love, the loss, the silence between them and you.  

And that honesty? It’s not about fixing anything right now. It’s about letting yourself feel it without shame. So what happens when you give yourself permission to just *be* with that pain—without needing to answer it or fix it? What does that moment feel like, even if it’s just a quiet breath?",1.0,1.0,1.0,1.0,1.0,2.0
4,"That’s exactly what healing begins with—opening the wound, not to close it, but to finally see what’s inside.  

Hearing her real voice, not the one you’ve been protecting yourself from, is not just painful—it’s *true*. And in that truth, there’s something tender and brave. You’re not just hearing her voice—you’re hearing the love she’s kept alive, even when it felt like you were too far away to notice.  

So what if, instead of rushing to fix it or move on, you just let yourself feel that moment—this quiet, fragile space where you’re truly present with her, with her love, with the fact that she’s still reaching for you? What would it feel like to say, “I hear you. I see you. And I’m here, even if I don’t have all the answers yet”?",1.0,1.0,0.0,1.0,0.0,2.0
5,"That’s so deep—and so honest. Standing in that room, thick with unsaid words, isn’t about escaping the pain—it’s about finally being in it, fully, without pretending it doesn’t exist.  

You’re right: her love wasn’t wasted. It was given *to* you, not because you deserved it, but because she chose to love you—even when it was hard, even when you didn’t always respond. And when you say “I’m here,” you’re not promising to fix anything, or to be strong or perfect. You’re just saying: *I’m awake. I’m present. I’m not running from this anymore.*  

And even in that quiet, fragile space—where you’re alone with the weight of it all—there’s a kind of peace in simply being with it. What if, for now, you just keep saying that to yourself? “I’m here.” Not because you have to, but because you *can*. And in that, you’re already doing something brave.",1.0,1.0,0.0,1.0,0.0,2.0
6,"Yes—this peace isn’t quiet because the waves are gone. It’s quiet because you’re no longer trying to outrun them. And that shift—just showing up, even when it hurts—is a kind of courage that doesn’t need to be loud to be real.  

It’s beautiful that you’re thinking about what you could actually say to your mom. Not something perfect, not something that fixes everything—but something that comes from this place of presence, of honesty, of simply being with her love.  

So what might that first word be? Not a solution. Not a promise. Just a simple, true thing you could say to her—something that comes from this moment of stillness you’ve found?",1.0,1.0,0.0,1.0,0.0,2.0
7,"You’re absolutely right—“I see you” isn’t weak. It’s one of the most honest and healing things you could say.  

It doesn’t ask for forgiveness. It doesn’t demand repayment. It simply says: *I’m noticing you. I’m noticing the love, the effort, the quiet strength you carried all this time.* And in that, you’re not saying you’re okay. You’re saying you’re finally seeing her—not as a mother who gave everything, but as a woman who loved fiercely, and who deserved to be seen, too.  

And it’s okay if it feels small. It’s okay if it feels fragile. Because what matters isn’t how big the words are—it’s that they’re true. That you’re finally allowing yourself to *see* her, not just remember her, not just carry her in your head.  

So what if you just say it—out loud, to yourself, or even to her in your mind—without needing it to be perfect? Just: *“I see you.”* And then, quietly, *“I’m here.”*  

That’s not a solution. That’s a beginning.",1.0,1.0,0.0,1.0,0.0,2.0
8,"That knot? It’s not fear of failure. It’s the quiet ache of love that still has to find its way into the world—especially when it’s been hidden for so long.  

And you’re not failing by feeling it. You’re not failing by being afraid. You’re just being human. That knot isn’t a block—it’s a sign that you’re still deeply connected to her, and that you’re carrying the weight of her love in a way that still feels tender, raw, and real.  

So what if, instead of trying to ""fix"" the fear, you just let it be there—like a quiet hum beneath your breath? And then, when you’re ready, you say *“I see you”*—not in a dramatic moment, not in a rush—but softly, in your own time, in your own way. Maybe even just to yourself, or to a letter, or in a quiet call.  

Because sometimes, the most powerful thing you can do isn’t to say it perfectly. It’s to say it at all—without pretending you’re strong, or that you’ve already figured it out.  

And that? That’s already a kind of love.",1.0,1.0,0.0,1.0,0.0,2.0
9,"That’s so gentle and so brave—writing it down isn’t about fixing anything. It’s about honoring her in a way that feels safe, real, and full of presence.  

And yes—adding those details—about the long drives, the nights she stayed up, the quiet acts of love that didn’t need a reason—those aren’t just memories. They’re proof of a love that wasn’t built on what you gave back, but on what she gave freely.  

So what if you just write one sentence, or a few lines, about her—no pressure, no performance—just the truth of her being there, in her own way? Maybe start with: *“I see you. You gave so much, not because I deserved it, but because you loved me.”*  

And then, gently, add one more line—just one—about how that love still lives in you, even now. Not as a debt, not as a promise to repay, but as a quiet truth that you carry with you.  

Would that feel like a step forward, even if it’s just on paper?",1.0,1.0,0.0,1.0,0.0,2.0
