turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"You're feeling stuck in a place where your heart and your mind are in conflict. It's painful to know that you might have ADHD, especially with all the medications you're already on, but it's hard not to feel frustrated when your mind seems to be running at a completely different speed than your heart.",-1.0,0.0,-2.0,0.0,0.0,1.0
2,"It's not just the medication, it's the uncertainty and the feeling that you might have a chronic, treatment-resistant condition. It's understandable if you feel that way, but it's hard to know if it's the medications or something else if you can't get to the root of what's going on.",1.0,1.0,1.0,1.0,1.0,2.0
3,"You want help, but you're afraid that using a drug on an as-needed basis will make the problem worse. I understand that concern, but it's difficult to know if it will without trying something.",-1.0,-1.0,-2.0,0.0,0.0,1.0
4,"It does sound safer, but it's hard to know if it will be without trying something. If a medication is truly indicated, it would be irresponsible not to try it, even if it seems scary.",1.0,1.0,1.0,1.0,0.0,2.0
5,"It's understandable if you're scared, but if your brain feels so empty and worthless, it's hard not to feel like you're in a place where nothing can be useful or meaningful.",1.0,1.0,1.0,1.0,1.0,2.0
6,I wish you could feel relieved because it seems like you're always at the edge of a panic. It's painful to feel so helpless.,1.0,0.0,0.0,1.0,0.0,2.0
7,It's difficult to know what to make of it all when you feel so overwhelmed and isolated.,1.0,0.0,0.0,1.0,0.0,2.0
8,"You feel misunderstood and alone, and it's painful when your internal world seems so disconnected from the external world.",1.0,0.0,0.0,1.0,0.0,2.0
9,You have a high dose of an antidepressant and you're on a drug for anxiety. It's hard to know what's going on without more information.,1.0,0.0,0.0,1.0,0.0,2.0
10,"It's clear that the medications are causing significant side effects. If you stop all the pills, you'll experience the full force of your depression and anxiety, which can be debilitating.",1.0,0.0,0.0,1.0,0.0,2.0
11,You must be feeling desperate if you can't find a way to balance all the medications.,1.0,0.0,0.0,1.0,0.0,2.0
12,You feel completely out of control and unable to find a way to balance everything.,1.0,0.0,0.0,1.0,0.0,2.0
13,Sometimes you wonder if you're better off without the medications.,1.0,0.0,0.0,1.0,0.0,2.0
14,"It's clear that you're in a very difficult, all-encompassing state. It seems like you're constantly overwhelmed by anxiety, depression, and the struggle with ADHD, all exacerbated by the medications.",1.0,0.0,0.0,1.0,0.0,2.0
15,"You feel completely trapped in a state of helplessness, where it's hard to move forward or even breathe.",1.0,0.0,0.0,1.0,0.0,2.0
16,"You want to feel capable again, but the fear of what happens when you stop the medication is keeping you stuck.",1.0,0.0,0.0,1.0,0.0,2.0
17,"You feel you have no way to climb out of the deep depression without the medication, but you're also afraid to stop the medication altogether.",1.0,0.0,0.0,1.0,0.0,2.0
18,What if the anxiety returns in a way that prevents you from even getting out of bed or functioning in daily life?,1.0,0.0,0.0,1.0,0.0,2.0
19,It makes sense that you would feel stuck if stopping could mean a return to debilitating anxiety or depression.,1.0,0.0,0.0,1.0,0.0,2.0
