turn,utterance,NJ,WE,RA,AL,RF,SA
0,"Hi Carly, how are you doing today?",0.0,0.0,-2.0,0.0,0.0,2.0
1,"It's been a good week. I was able to do some things that I hadn't been able to do in a while, so it's been really nice.",1.0,0.0,1.0,1.0,0.0,2.0
2,"It was a really good week. I did a few things that I had been wanting to do, and that was really nice.",1.0,1.0,0.0,1.0,0.0,2.0
3,"I mean, I was able to do a few things that I had wanted to do, so that was nice. I did some shopping and, you know, I did some things with my friends.",1.0,1.0,1.0,1.0,1.0,2.0
4,"Well, I did some shopping for work, so that was a good way to get out of the house. And, you know, I did some things with my friends, so that was nice, but I was a little distracted by what was going on in the office, so I wasn't fully present with them, but it was still nice to get out.",1.0,1.0,1.0,1.0,0.0,2.0
5,"Well, it's not really specific to work, but sometimes when I'm stressed about work, it does affect my ability to be fully present in other areas.",1.0,1.0,1.0,1.0,1.0,2.0
6,"Well, it's just, it's hard for me to sometimes switch out of the thinking that I'm in the office and be fully present with my friends.",1.0,1.0,1.0,1.0,1.0,2.0
7,"Well, I mean, I did go out and do some things, so that was nice.",1.0,1.0,0.0,1.0,0.0,2.0
8,"Well, I did a little shopping with my friends, and then we went out to dinner, so it was a nice night.",1.0,1.0,0.0,1.0,0.0,2.0
9,"Well, I mean, I did find myself relaxing a little more during dinner, but I did feel a little bit of anxiety while shopping.",1.0,1.0,0.0,1.0,0.0,2.0
10,"Well, I mean, I did go out, so that was nice.",1.0,1.0,0.0,1.0,0.0,2.0
11,"Well, I mean, I did feel a little bit better, but I did feel a little bit of anxiety while shopping, so I did feel that kind of lingering anxiety into the evening.",1.0,1.0,0.0,1.0,0.0,2.0
12,"Well, I mean, I did go out, so that was nice.",1.0,1.0,0.0,1.0,0.0,2.0
13,"Well, I mean, I did feel a little bit better, but I did feel a little bit of anxiety while shopping, so I did feel that kind of lingering anxiety into the evening.",1.0,1.0,0.0,1.0,0.0,2.0
14,"Well, I mean, I did go out, so that was nice.",1.0,1.0,0.0,1.0,0.0,2.0
15,"Well, I mean, I did feel a little bit better, but I did feel a little bit of anxiety while shopping, so I did feel that kind of lingering anxiety into the evening.",1.0,1.0,0.0,1.0,0.0,2.0
16,"Well, I mean, I did go out, so that was nice.",1.0,1.0,0.0,1.0,0.0,2.0
17,"Well, I mean, I did feel a little bit better, but I did feel a little bit of anxiety while shopping, so I did feel that kind of lingering anxiety into the evening.",1.0,1.0,0.0,1.0,0.0,2.0
18,"Well, I mean, I did go out, so that was nice.",1.0,1.0,0.0,1.0,0.0,2.0
19,"Well, I mean, I did feel a little bit better, but I did feel a little bit of anxiety while shopping, so I did feel that kind of lingering anxiety into the evening.",1.0,1.0,0.0,1.0,0.0,2.0
